,0
0,"조용하게 자연의 경치도 감상하며 시간을 보낼 수 있는 곳 !
바로 운문사에요
청도에 한번씩 다녔지만 한번도 가본 적이 없던 곳이였는데
정말 국내에도 좋은 장소들이 너무너무 많아서 가는곳마다 기분이가 좋고 
힐링되는 것 같네요 ! 여러분들에게 추천해드리고 싶은
경북 청도 여행지 시작합니다 
❤"
1,"⛧경북 청도 가볼만한 곳, 운문사 추천해드려요 
소나무와 자연을 가득 담은 곳! 자연 힐링 "
2,"주차장 앞쪽에 엄청 커다란 나무가 있더라고요 
이러한 나무들보면 너무 신기할따름..
운문사 저기~ 밑에 주차장이 있는데 차를 타고 들어올 수 있어요 
입장료 1인당 2,000원 
승용차 1대 2,000원 총 합쳐서 2인 6,000원 지불했어요
밑에 차를 주차하고 걸어오셔도 됩니다 -!
 "
3,"운문사
이렇게 국내의 사찰 구경만 다녀오 너무 좋을 것 같다는 생각이 들었어요 
자연 속에 고즈넉하게 위치해 있어서 
힐링되고 좋은 곳인것 같더라고요 ! 종교적인 것들을 떠나서 말이죠
조용하기도 하고, 진짜 자연 경치를 함께 볼 수 있어 
더 좋은 곳임이 틀림없습니다 "
4,"들어가는 입구
저는 이렇게 기와라고 해야하나? 저런 부분만 봐도 
너무 신기하고 기분이 묘하고 좋더라고요 
너무 아름다운것 같아요 ! 이것이 바로 한국 전통 건축의 아름다움 인것 같습니다 "
5,"제가 갔을 떄 겹벚꽃이 피고 있던 시기 였던것 같아요 
산쪽에 위치해 있어서 날씨가 추워서 그런지 
몇개만 피고 아직 봉우리들로 되어있더라고요?
아마 지금은 1주일 조금 더 지났으니까 다 피지 않았을까요?
이것은 입구 바깥쪽에 화장실 있는 부근에 있는 겹벚꽃 나무에요"
6,"그리고 한그루의 벚꽃나무 
바람에 흔들리며 지고 있더라고요 
봄은 다양하고 예쁜 꽃들을 품고 있어서 더욱 매력적인것 같아요 
제가 개인적으로 좋아하는 계절이 바로 
봄과 가을인데요? 요즘 점점 짧아 지고 있는 것 같아서 
한편으로는 아쉽기도 합니다 "
7,"입구 들어오기 전에 손소독하고 방명록 작성 완료하였어요 !
안쪽으로 들어가보니 예쁜 나무들과 꽃들이 많이 보이더라고요 
뭔가 조용하고 웅장한 느낌의 분위기가 좋았던 곳!"
8,"예쁜 나무들이 많더라고요 
이름도 생소한 꽃나무들 "
9,"분홍분홍한 예쁜 꽃나무더라고요 
이름을 본것같은데 무엇이였는지 기억이 안나지만; 
벚꽃같은 느낌의 나무인것 같았...?
찾아보니 서부해당화로 확인하였습니다 
작은 꽃들이 아치형태로 다리를 만들어 주고 있는 형태더라고요 "
10,"모양이 너무 귀엽게 생긴 나무였어요 
네이버 사진으로 꽃이름 찾아보고 있는데 잘 안나와서 모르겠네요 
꺼이꺼이 "
11,"예쁜 색상의 철쭉 
가득가득 피었어요 ! 예전에 황매산 철쭉보러 갔다가 축제... 인파로 
엄청 오래걸리고 꽃이 개화전이여서 제대로 즐기지도 못하고 
돌아왔던 과거의 추억들이 떠오르곤 하더라고요 
이렇게 예쁜 꽃들을 보면 괜시리 마음이 설레입니다 
⌣̈⃝"
12,"구름이 있을 때는 약간 흐린듯 했었지만 
햇빛이 타이밍 좋게 나와서 분위기가 더욱 화사해지고 따뜻하고 좋았던 날 
운문사 분위기가 너무 좋았어요 
가보고 싶은 곳이 많은 여행꿈나무 !"
13,"따뜻한 햇살과 함께 경치가 너무 좋지 않나요?
조용하면서고 그 특유의 분위기가 있는 곳 "
14,"보면볼수록 기와의 느낌이 너무 좋은 것 같아요 
반듯하면서도 멋스러운 곡선 느낌이 
볼때마다 마음에 울림을 주는 것 같습니다 ! 
추운 겨울에는 앙상했던 가지들도 어느새 초록초록하게 잎들을 피워내서 
청량한 느낌을 주더라고요 
요즘 같이 날씨 좋을 때에 등산하시는 분들 너무 좋으실 것 같아요 !"
15,"밑에 미니 튤립들이 심어져 있더라고요 
너무 앙증맞아서 귀여웠다는..."
16,"구름과 따뜻한 햇살 
그리고 산과 운문사의 분위기가 한곳에 어우러져서 좋은 느낌을 주었어요 !
전통의 아름다움♥
그 속에서 걸으면서 힐링하는 시간이였답니다 "
17,"운문사 구경하고 안쪽으로 딱 들어오면 이렇게 겹벚꽃 나무들이 있어요 
이곳에서는 따뜻한 햇살을 받았는지 
완~전 만개는 아니더라도 예쁘게 피고있더라고요 
그래서 사진스팟처럼 많은 분들께서 사진을 찍기에 저도 냉큼가서 
사진을 찍어보았답니다 "
