,name,score,loc,lowest_price,category,loc2
0,부산 대연동 호텔 보스코,4.8,"경성대 차량 3분거리, 눌러서 위치보기-330.8km","40,000원",m,경성대/대연/용호동/문현
1,부산 대연동 뮤리,4.8,"대연역 6번출구 도보2분, 클릭-331km","34,800원",m,경성대/대연/용호동/문현
2,부산 대연동 G&G 호텔,4.8,"대연역 도보로 2분, 눌러서 위치보기-331km","45,000원",m,경성대/대연/용호동/문현
3,부산 대연동 웰킨,4.7,"대연역 도보 2분, 눌러서 위치보기-331km","33,000원",m,경성대/대연/용호동/문현
4,부산 대연동 HOTEL ONNA(호텔 온나),4.9,"대연역까지 도보 1분, 눌러서 위치보기-331.1km","50,000원",m,경성대/대연/용호동/문현
5,부산 대연동 르이데아,4.5,"대연역 3번 출구 도보 5분,눌러서 위치보기-331.4km","50,000원",m,경성대/대연/용호동/문현
6,부산 대연동 호텔 스미스,4.7,"★경성대,부경대 차량 3분, 클릭★★-330.7km","40,000원",m,경성대/대연/용호동/문현
7,부산 용호동 베니스,4.7,동명대학교에서 차량 4분거리(위치보기)-333.5km,"45,000원",m,경성대/대연/용호동/문현
8,부산 대연동 STAY ROAD 12 호텔(스테이로드 12),4.7,"대연역6번출구 3분, 못골역2번출구 3분, 눌러서 위치보기-330.8km","35,000원",m,경성대/대연/용호동/문현
9,부산 대연동 비지니스 호텔 더 그랑,4.9,"대연역 1번출구 도보2분, 눌러서 위치확인-331.2km","40,000원",m,경성대/대연/용호동/문현
10,부산 대연동 V,4.7,"못골역 도보1분, 광안리 차량 10분! 눌러서 위치보기-330.7km","35,000원",m,경성대/대연/용호동/문현
11,부산 대연동 Z,4.5,"대연역 5번출구까지 도보 2분, 눌러서 위치확인-331km","35,000원",m,경성대/대연/용호동/문현
12,부산 문현동 정성호텔,4.9,"문현역 2번출구까지 도보 3분거리 ,눌러서 위치보기-329.6km","54,000원",m,경성대/대연/용호동/문현
13,부산 대연동 꿈,4.7,"대연역 도보 2분, 눌러서 위치보기-331.2km","33,000원",m,경성대/대연/용호동/문현
14,부산 대연동 리베,4.8,"대연역 도보 3분,눌러서 위치확인-331km","29,000원",m,경성대/대연/용호동/문현
15,부산 문현동 그랜드,4.4,"문현 지하철역 도보4분거리,클릭-329.7km","36,000원",m,경성대/대연/용호동/문현
16,부산 대연동 한스빌,4.3,"대연역 도보1분, 눌러서 위치보기-331km","26,000원",m,경성대/대연/용호동/문현
17,부산 용호동 시카고,4.8,"경성대역 5분 거리, 눌러서 위치보기-333.5km","45,000원",m,경성대/대연/용호동/문현
18,부산 대연동 브라운도트 대연점,4.9,"대연역에서 도보 3분거리, 눌러서 위치보기-331km","47,000원",m,경성대/대연/용호동/문현
19,부산 용호동 넘버25 용호점,4.8,"용호동의 중심, 눌러서 위치보기-333.6km","45,000원",m,경성대/대연/용호동/문현
20,부산 문현동 보브호텔,4.8,"문현역 1번출구 까지 도보 2분, 눌러서 위치보기-329.5km","50,000원",m,경성대/대연/용호동/문현
21,부산 문현동 T호텔,4.5,"문현역까지 도보1분거리, 눌러서 위치보기-329.5km","45,000원",m,경성대/대연/용호동/문현
22,부산 문현동 클라우드나인,4.8,문현역 2번출구에서 도보 2분거리(클릭)-329.7km,"28,000원",m,경성대/대연/용호동/문현
23,부산 대연동 UV,3.8,"대연역 도보 3분거리,클릭-331.1km","25,000원",m,경성대/대연/용호동/문현
24,부산 용호동 서울,4.6,"동명대학교에서 차량 4분거리, 눌러서 위치보기-333.4km",예약마감,m,경성대/대연/용호동/문현
25,부산 대연동 황금,4.0,대연역5번출구에서도보 2분거리-331km,"40,000원",m,경성대/대연/용호동/문현
26,부산 문현동 목화,3.5,"대연역 5번출구에서 도보 1분거리, 눌러서 위치보기-329.7km","30,000원",m,경성대/대연/용호동/문현
27,부산 문현동 산해,3.0,"문현역 2번출구에서 4분거리, 눌러서 위치보기-329.7km",예약마감,m,경성대/대연/용호동/문현
28,부산 용호동 노블레스,5.0,"부경대에서 타량 8분거리, 눌러서 위치보기-333.6km","45,000원",m,경성대/대연/용호동/문현
29,부산 문현동 엔터,1.0,"문현역 1번출구에서 도보 1분거리, 눌러서 위치보기-329.5km","35,000원",m,경성대/대연/용호동/문현
30,부산 용호동 버킹엄,4.7,"이기대까지 차량 5분거리,클릭-333.6km","33,000원",m,경성대/대연/용호동/문현
31,르 이데아 호텔,5.0,대연역 3번출구 도보 5분-331.4km,"60,000원",h,경성대/대연/용호동/문현
32,아바니 센트럴 부산,4.9,국제금융센터.부산은행역 도보 3분-328.4km,"121,000원",h,경성대/대연/용호동/문현
33,호텔더그랑 대연,4.5,대연역 1번 출구 인근-331.2km,"40,000원",h,경성대/대연/용호동/문현
34,부산 호텔 뮤리,3.8,대연역 6번출구 도보3분-331km,"44,800원",h,경성대/대연/용호동/문현
35,넘버25 용호점,4.9,동명대학교 도보 10분-333.6km,"45,000원",h,경성대/대연/용호동/문현
