,name,score,loc,lowest_price,category,loc2
0,부산 수영 브라운도트 수영점,4.7,수영역까지 도보 2분거리-329.2km,"40,000원",m,광안리/수영
1,부산 수영 OOPS 호텔,4.6,"광안리 차량 3분, 벡스코 차량 2분, 수영역 도보 10초 눌러서 위치보기-329.4km","35,000원",m,광안리/수영
2,부산 광안리 라찌,4.7,"광안역 5번출구 1분, 눌러서 위치확인-330.3km","40,000원",m,광안리/수영
3,부산 광안리 부띠크 호텔 휴,4.6,"광안해수욕장까지 도보 2분, 클릭-330.7km","35,000원",m,광안리/수영
4,부산 광안 YAJA 광안리점,4.6,"광안리바다 2분, 민락회센터1분 거리-330.8km","45,000원",m,광안리/수영
5,부산 광안리 호텔 망고,4.6,"광안해수욕장 바로 앞 도보10초, 클릭-330.8km","40,000원",m,광안리/수영
6,부산 광안리 호텔 메종,4.5,"수변공원 도보2분,광안리해수욕장 도보1분-330.8km","35,000원",m,광안리/수영
7,부산 광안리 누리 호텔,4.6,"광안해수욕장 도보 1분, 클릭-330.8km","37,000원",m,광안리/수영
8,부산 광안리 WABA,4.6,"광안리 해변, 수변공원 도보2분, 눌러서 위치확인-330.8km","35,000원",m,광안리/수영
9,부산 광안리 투헤븐,4.7,"광안리 해수욕장 도보 1분, 눌러서 위치보기-330.9km","35,000원",m,광안리/수영
10,부산 광안리 Y,4.8,"광안리해변 위치, 눌러서 위치보기-330.9km","30,000원",m,광안리/수영
11,부산 광안리 Q,4.3,"광안리 바닷가 바로 앞, 클릭-330.9km","40,000원",m,광안리/수영
12,부산 광안리 마린뷰,4.6,"수변공원 차로 3분 ,눌러서 위치보기-331km","37,000원",m,광안리/수영
13,부산 광안리 브라운도트 광안리민락점,4.3,"부산 광안리 해수욕장 앞, 눌러서 위치보기-331km","45,000원",m,광안리/수영
14,부산 광안리 더베이 클럽호텔,4.9,"광안리 해수욕장에서 도보 1분, 클릭-331km",예약마감,m,광안리/수영
15,부산 광안리 오션 더 포인트 호텔,4.7,광안해수욕장 바로 앞-331km,"40,000원",m,광안리/수영
16,부산 광안리 오션 투헤븐,4.7,"광안리해수욕장 바로 앞, 눌러서 위치보기-331km","55,000원",m,광안리/수영
17,부산 광안리 호텔 라움103,4.8,"수변공원 도보 1분, 눌러서 위치보기-331.4km","60,000원",m,광안리/수영
18,부산 수영 호텔 스미스,4.4,"벡스코, 광안리해수욕장 차량2분, 클릭-329.4km","40,000원",m,광안리/수영
19,부산 수영 봄날,4.7,수영역 9번출구 바로 앞! 클릭-329.4km,"35,000원",m,광안리/수영
20,부산 수영 WABA,4.7,"수영역11번 출구 인근, 클릭-329.5km","40,000원",m,광안리/수영
21,부산 광안리 넘버25 광안점,4.8,광안리 해변까지 도보 1분(클릭)-331km,"40,000원",m,광안리/수영
22,부산 광안리 호텔 디 옴므,3.5,광안리 바로앞 눌러서 위치보기-331km,예약마감,m,광안리/수영
23,부산 광안리 그레이193,4.6,"광안리 야경이 훤~~히 보이는곳, 클릭-331km","45,000원",m,광안리/수영
24,부산 광안리 비지니스 호텔 더 그랑,4.5,"광안리해변 도보 1분,눌러서 위치확인-330.9km","45,000원",m,광안리/수영
25,부산 광안리 스타 호텔,4.5,"광인리 해변에서 도보 1분거리, 눌러서 위치보기-330.9km","40,000원",m,광안리/수영
26,부산 광안리 피코블루,4.3,"수변공원에서 도보 2분, 클릭-330.8km","35,000원",m,광안리/수영
27,부산 수영 타임,4.5,"수영역 5번출구 도보 1분, 눌러서 위치보기-329.4km","30,000원",m,광안리/수영
28,부산 광안 에이치에비뉴-H Avenue 광안리점,4.6,"광안해수욕장 1분거리, 스타벅스건물12F-331.1km","70,000원",m,광안리/수영
29,부산 광안리 호텔 오션뷰,4.5,"광안리 해수욕장 1분거리, 눌러서 위치보기-331km","70,000원",m,광안리/수영
30,부산 수영 그랜드,4.5,"수영역 5번출구에서 도보 1분거리, 눌러서 위치보기-329.4km","30,000원",m,광안리/수영
31,부산 수영 2U(투유),4.7,"광안리해수욕장 차로 5분, 눌러서 위치보기-329.5km","35,000원",m,광안리/수영
32,부산 광안리 궁,4.7,"민락역 도보 15분, 눌러서 위치보기-330.9km","40,000원",m,광안리/수영
33,부산 광안리 브라운도트 광안리해수욕장점,4.2,"광안리해수욕장 도보1분, 눌러서 위치보기-330.9km","40,000원",m,광안리/수영
34,부산 광안리 호텔 런더너,4.6,"광안리해수욕장 도보8분, 플스4 가능한 오락실 무료오픈 눌러서 위치확인-330.9km","40,000원",m,광안리/수영
35,부산 광안리 수변 호텔,4.2,"광안리 해수욕장에서 도보 2분 거리, 눌러서 위치보기-331km","40,000원",m,광안리/수영
36,부산 광안리 꿈,4.2,"광안리해변까지 도보 1분, 눌러서 위치보기-330.7km",예약마감,m,광안리/수영
37,부산 광안리 호텔 마레,4.8,"광안리 해변가 도보 1분, 클릭-331km","40,000원",m,광안리/수영
38,부산 광안리 유토피아관광호텔,4.4,수영역 5번출구에서 도보 2분거리-329.4km,"40,000원",m,광안리/수영
39,부산 광안리 J,4.3,"광안역 바로 앞, 눌러서 위치보기-330km","25,000원",m,광안리/수영
40,부산 광안리 비엔나,4.8,"민락수변공원까지 차량 3분거리, 눌러서 위치보기-331km","25,000원",m,광안리/수영
41,부산 광안리 하운드 광안리,4.6,"광안리해수욕장 바로 앞, 도보 1분-331km","60,000원",m,광안리/수영
42,부산 광안 해변 에이치에비뉴-H Avenue 광안리해변점,4.6,"광안리 해변 1분거리, 투썸플레이스건물-331km","69,000원",m,광안리/수영
43,부산 광안리 베스트루이스해밀턴,4.1,"광안리해수욕장 도보 1분거리, 위치보기-330.9km","69,900원",m,광안리/수영
44,부산 수영 블루밍,4.2,"망미역 2번출구까지 도보 2분거리, 눌러서 위치보기-328.6km","25,000원",m,광안리/수영
45,부산 광안리 더엠,5.0,"광안리 해수욕장 도보 3분, 눌러서 위치보기-330.9km","40,000원",m,광안리/수영
46,부산 광안리 씨티,4.5,"광안역 2번출구에서 도보 1분거리, 눌러서 위치보기-330km","25,000원",m,광안리/수영
47,부산 광안리 A(에이),3.5,"광안리 해수욕장에서 도보 2분거리, 눌러서 위치보기-330.9km",예약마감,m,광안리/수영
48,부산 수영 맥스,4.7,329.5km,"45,000원",m,광안리/수영
