,name,score,loc,lowest_price,category,loc2
0,부산 남포동 투헤븐,4.7,부산국제시장 도보1분(위치보기)-330.6km,"40,000원",m,남포동/중앙동/태종대/송도/영도
1,부산 남포동 넘버25 남포대청점,4.8,"용두산공원 도보1분, 깡통시장 도보7분-330.9km","35,000원",m,남포동/중앙동/태종대/송도/영도
2,부산 남포동 V (브이),4.6,"부평깡통야시장, 자갈치시장 도보 1분 거리, 눌러서 위치보기-331km","45,000원",m,남포동/중앙동/태종대/송도/영도
3,부산 남포동 더 하운드,4.7,"용두산공원까지 도보 3분거리, 클릭-331.1km","40,000원",m,남포동/중앙동/태종대/송도/영도
4,부산 남포동 호텔 바르도,4.6,"지하철 1호선 남포역까지 도보로 4분거리, 눌러서 위치보기-331.3km","42,500원",m,남포동/중앙동/태종대/송도/영도
5,부산 남포동 The Lua (더 루아),4.4,"중앙역 1번출구 도보1분, 클릭-331.3km","34,000원",m,남포동/중앙동/태종대/송도/영도
6,부산 남포동 MU,4.8,"용두산공원 도보3분거리, 눌러서위치보기-331.3km","45,000원",m,남포동/중앙동/태종대/송도/영도
7,부산 남포동 브라운도트 남포충무점 (자갈치시장),4.7,"남포 충무, 자갈치 시장 옆, 클릭-331.3km","50,000원",m,남포동/중앙동/태종대/송도/영도
8,부산 송도 YAM 부산 송도점,4.7,송도해수욕장 도보 1분-332.5km,"40,500원",m,남포동/중앙동/태종대/송도/영도
9,부산 송도 EL호텔,4.7,"송도 해수욕장 도보 1분거리, 케이블카 도보 5분 거리 눌러서 위치보기-332.5km","40,000원",m,남포동/중앙동/태종대/송도/영도
10,부산 송도 투헤븐,4.6,"송도해변 도보2분, 눌러서 위치보기-332.7km","30,000원",m,남포동/중앙동/태종대/송도/영도
11,부산 송도 파인힐,4.7,"송도해수욕장 차로 5분, 클릭-333.4km","29,000원",m,남포동/중앙동/태종대/송도/영도
12,부산 2월호텔(송도암남점),4.8,"암남공원 차량 5분, 눌러서 위치 확인-333.5km","43,000원",m,남포동/중앙동/태종대/송도/영도
13,부산 송도 아리아,4.6,"암남공원 초인점! 차량 5분, 눌러서 위치보기 -333.5km","29,000원",m,남포동/중앙동/태종대/송도/영도
14,부산 보수동 호텔그레이 (남포점),4.7,"국제시장까지 도보 5분, 눌러서 위치확인-330.4km","41,200원",m,남포동/중앙동/태종대/송도/영도
15,부산 남포동 더샵,4.4,"자갈치역 4번출구 30초, 눌러서 위치보기-331.1km","44,900원",m,남포동/중앙동/태종대/송도/영도
16,부산 남포동 폭시,4.4,"용두산공원까지 도보 2분,눌러서위치확인-331.2km",예약마감,m,남포동/중앙동/태종대/송도/영도
17,부산 남포동 J,4.7,"남포역까지 도보 2분, 눌러서 위치확인-331.2km","35,000원",m,남포동/중앙동/태종대/송도/영도
18,부산 남포동 HOTEL LIN (린),4.8,"남포역까지 도보 3분거리, 클릭-331.3km","37,000원",m,남포동/중앙동/태종대/송도/영도
19,부산 남포동 콤마,4.5,"남포역 3번출구까지 도보 1분, 눌러서 위치확인-331.4km","40,000원",m,남포동/중앙동/태종대/송도/영도
20,부산 남포동 VOV,4.3,"부평깡통야시장,BIFF 광장 1분, 클릭-330.8km","49,500원",m,남포동/중앙동/태종대/송도/영도
21,부산역(중앙동) 뉴브이,4.8,"부산역 2번출구 도보7분,눌러서 위치보기-330.5km","45,000원",m,남포동/중앙동/태종대/송도/영도
22,부산 송도 코자자,4.5,송도해수욕장 도보5분-332.7km,"30,000원",m,남포동/중앙동/태종대/송도/영도
23,부산 영도 호텔 브릿지,4.6,남포역 8번출구 도보4분 -332.1km,"34,900원",m,남포동/중앙동/태종대/송도/영도
24,부산 영도 G2,4.5,"한국 해양대학교 근처, 눌러서 위치보기-336.7km","40,000원",m,남포동/중앙동/태종대/송도/영도
25,부산 남포동 베이202호텔(BAY202),4.8,"광복동 중앙광장까지 도보 1분,클릭-331.2km","29,500원",m,남포동/중앙동/태종대/송도/영도
26,부산 보수동 빌리(남포점),4.5,"남포역에서 차량 6분거리, 클릭-330.2km","37,900원",m,남포동/중앙동/태종대/송도/영도
27,부산 남포동 YTT HOTEL,4.8,"남포역7번출구 도보 3분거리, 위치보기-331.2km","45,000원",m,남포동/중앙동/태종대/송도/영도
28,부산 영도 글랜스,4.6,"남포역 8번출구 도보 3분, 클릭-332.1km","31,900원",m,남포동/중앙동/태종대/송도/영도
29,부산 남포동 헤르메스,4.9,BIFF광장 도보 1분거리-330.9km,"39,900원",m,남포동/중앙동/태종대/송도/영도
30,부산 남포동 스테이웰 호텔,4.5,"남포역 1번출구에서 도보 1분거리, 클릭-331.4km","29,900원",m,남포동/중앙동/태종대/송도/영도
31,부산 남포동 아리아,4.4,"남포역 도보 10분, 눌러서 위치보기-331.2km","35,000원",m,남포동/중앙동/태종대/송도/영도
32,부산 송도 비치&테라스 호텔,4.6,"송도 바닷가 앞 위치, 눌러서 위치보기-332.3km","60,000원",m,남포동/중앙동/태종대/송도/영도
33,부산 남포동 미니호텔 메이,4.3,남포역 1번 출구 도보3분-331.3km,"32,000원",m,남포동/중앙동/태종대/송도/영도
34,부산 남포동 센트럴파크 호텔,4.8,"비프광장 5분거리, 클릭-331.3km","49,000원",m,남포동/중앙동/태종대/송도/영도
35,부산 영도 신원,4.7,영도우체국 도보 1분거리-332.3km,"30,000원",m,남포동/중앙동/태종대/송도/영도
36,부산 영도 태종파크텔,4.8,"태종대까지 도보5분, 눌러서 위치보기-336.9km","40,000원",m,남포동/중앙동/태종대/송도/영도
