,name,score,loc,lowest_price,category,loc2
0,부산 화명동 덴 바스타 호텔,4.9,화명역 3번 출구 도보3분 (클릭)-317.5km,"44,500원",m,덕천/화명/만덕/구포(구포역/KTX역)
1,부산 화명동 런더너,4.7,"화명역 바로 앞, -317.6km","35,000원",m,덕천/화명/만덕/구포(구포역/KTX역)
2,부산 화명동 아바,4.8,"화명기차역 도보3분, -317.6km","40,000원",m,덕천/화명/만덕/구포(구포역/KTX역)
3,부산 덕천 AU,4.7,"덕천역 5번출구 도보 3분, 클릭-319.6km","39,900원",m,덕천/화명/만덕/구포(구포역/KTX역)
4,부산 덕천 브라운도트 덕천점,4.8,덕천역 12번출구 도보 2분 122m -319.7km,"45,000원",m,덕천/화명/만덕/구포(구포역/KTX역)
5,부산 만덕 더 젠틀,4.7,"만덕역에서 차량 4분거리, 클릭-321.8km","29,500원",m,덕천/화명/만덕/구포(구포역/KTX역)
6,부산 만덕 넘버25 만덕점,4.8,"덕천까지 차로 10분, 동래역까지 차로 15분,  -321.8km","35,000원",m,덕천/화명/만덕/구포(구포역/KTX역)
7,부산 만덕 투헤븐,4.8,"만덕역 차로 2분, -321.8km","40,000원",m,덕천/화명/만덕/구포(구포역/KTX역)
8,부산 구포 A(에이),4.8,"구포역 3번출구 3분, -319.7km","30,000원",m,덕천/화명/만덕/구포(구포역/KTX역)
9,부산 만덕 브라운도트 만덕점,4.8,"덕천역 차량 10분, 만덕역 4분 클릭-321.7km","45,000원",m,덕천/화명/만덕/구포(구포역/KTX역)
10,부산 만덕 파라디아,4.5,"덕천먹자거리 차로 5분, -321.4km","35,000원",m,덕천/화명/만덕/구포(구포역/KTX역)
11,부산 구포 WOW,4.6,"덕천역 도보 5분, -319.5km",예약마감,m,덕천/화명/만덕/구포(구포역/KTX역)
12,부산 화명동 스카이,4.6,"화명역 1번출구 도보5분,-317.7km","35,000원",m,덕천/화명/만덕/구포(구포역/KTX역)
13,부산 구포 썸,4.8,"기차 구포역까지 도보 5분 30초 거리, 눌러서 위치확인-319.6km","30,000원",m,덕천/화명/만덕/구포(구포역/KTX역)
14,부산 화명동 브라운도트 화명점,4.8,"전구역 1일 2회 소독 및 방역 / 화명 기차역 바로 앞 도보2분, -317.5km","44,500원",m,덕천/화명/만덕/구포(구포역/KTX역)
15,부산 덕천 투헤븐,4.7,"덕천역 5번출구 도보1분, 클릭-319.6km","40,000원",m,덕천/화명/만덕/구포(구포역/KTX역)
16,부산 구포 바르도 호텔,4.9,신축GRAND OPEN -319.5km,"34,900원",m,덕천/화명/만덕/구포(구포역/KTX역)
