,name,score,loc,lowest_price,category,loc2
0,부산 구서동 브라운도트 구서역점,4.7,구서역 4번출구 도보2분-320.9km,"50,000원",m,동래/사직/온천장/부산대/구서
1,부산 온천장 YOU아인,4.7,"온천장역 도보3분, 눌러서 위치보기-322.7km","35,000원",m,동래/사직/온천장/부산대/구서
2,부산 온천장 녹천온천호텔,4.5,"허심청 도보5분, 눌러서 위치보기-322.7km","70,000원",m,동래/사직/온천장/부산대/구서
3,부산 온천장 카리노 호텔,4.6,"허심청 도보2분, 눌러서 위치보기-322.9km","35,000원",m,동래/사직/온천장/부산대/구서
4,부산 온천장 보노,4.8,"명륜역 3번출구 5분, 눌러서 위치보기-323.1km","33,000원",m,동래/사직/온천장/부산대/구서
5,부산 온천장 미스터브릭,4.7,"미남역 8번출구 앞, 눌러서 위치보기-323.4km","40,000원",m,동래/사직/온천장/부산대/구서
6,부산 사직 하루,4.6,"사직야구장 차량 5분,눌러서 위치보기-323.5km","30,000원",m,동래/사직/온천장/부산대/구서
7,부산 사직 투헤븐,4.9,"사직야구장 10분거리, 클릭-323.5km","49,500원",m,동래/사직/온천장/부산대/구서
8,부산 사직 덴바스타 시그니처 호텔,4.9,"미남역 2번출구 3분거리, 클릭-323.6km","34,500원",m,동래/사직/온천장/부산대/구서
9,부산 미남 브라운도트 미남역점,4.9,"미남역 2번출구 도보 6분거리, 눌러서 위치보기-323.7km","39,900원",m,동래/사직/온천장/부산대/구서
10,부산 사직 더스톤브릿지호텔,4.9,"미남역2번출구 도보 6분,눌러서위치보기-323.8km","49,500원",m,동래/사직/온천장/부산대/구서
11,부산 사직 브라운도트 사직야구장점,4.8,사직야구장에서 도보 3분거리-323.8km,"45,000원",m,동래/사직/온천장/부산대/구서
12,부산 동래 아마레,4.7,"메가마트 도보3분, 눌러서 위치보기-324.3km",예약마감,m,동래/사직/온천장/부산대/구서
13,부산 동래 VOV,4.7,수안역 3번출구 도보 5분거리-324.3km,"39,000원",m,동래/사직/온천장/부산대/구서
14,부산 서동 호텔 블랑,4.7,"서동역 3번출구 도보 3분, 눌러서 위치보기-324.7km","40,000원",m,동래/사직/온천장/부산대/구서
15,부산 서동 넘버25,4.8,"서동역 3번출구 도보2분,눌러서 위치보기-324.7km","40,000원",m,동래/사직/온천장/부산대/구서
16,부산 금사동 호텔 헤이브(HAVE),4.8,"서동역 3번출구 도보2분, 눌러서 위치보기-324.7km","40,000원",m,동래/사직/온천장/부산대/구서
17,부산 온천장 호텔 이그니스,4.6,"온천장역 1번출구 도보5분, 눌러서 위치보기-323.1km","44,900원",m,동래/사직/온천장/부산대/구서
18,부산 동래 메가,4.6,동래역 2번출구 눌러서 위치보기-324.2km,"40,000원",m,동래/사직/온천장/부산대/구서
19,부산 동래 프린스,4.5,"낙민,수안역 도보5분, 눌러서 위치보기-324.8km","27,800원",m,동래/사직/온천장/부산대/구서
