,name,score,loc,lowest_price,category,loc2
0,부산 범일동 브라운도트 범일점(부산역),4.8,"서면차량5분,부산역차량7분-328.7km","40,000원",m,부산역/범일동/부산진역
1,부산역 SHIRE(샤이어),4.8,"20.06오픈, 부산역도보3분,위치보기-329.9km","40,000원",m,부산역/범일동/부산진역
2,부산역 맥시멈,4.6,부산역 신축 GRAND OPEN-330.1km,"40,000원",m,부산역/범일동/부산진역
3,부산역 탑,4.4,"부산역 근처 위치, 눌러서 위치보기-330.4km","26,000원",m,부산역/범일동/부산진역
4,부산역 팝콘,4.6,부산역 2번출구 도보3분(클릭)-330.4km,"33,000원",m,부산역/범일동/부산진역
5,부산역 호텔 르이데아,4.6,부산역 기차역 인접 부산역 지하철 2번 출구 눌러서 위치보기!-330.5km,"35,000원",m,부산역/범일동/부산진역
6,부산 범일동 하운드 범일(부산역),4.9,"범일동 조방골목, 범일동 포장마차촌-329km","40,000원",m,부산역/범일동/부산진역
7,부산 범일동 호텔 라온,4.7,"범일역 도보4분, 눌러서 위치보기!-329km","35,000원",m,부산역/범일동/부산진역
8,부산역 호텔 26,4.8,부산역 신축  2020.01 GRAND OPEN 눌러서 위치보기️-330km,"35,000원",m,부산역/범일동/부산진역
9,부산 하운드 부산역,4.8,"부산역 도보 3분거리, 클릭-330.1km","55,000원",m,부산역/범일동/부산진역
10,부산역 디노 호텔,4.6,"부산역까지 도보 3분, 눌러서 위치확인-330.1km","40,000원",m,부산역/범일동/부산진역
11,부산 범일동 U,4.4,"부산1호선 범일역 도보5분,눌러서 확인-329.2km","40,000원",m,부산역/범일동/부산진역
12,부산역 베스트인시티,4.6,"초량 지하철역에서 도보2분, 눌러서 위치보기-329.8km","34,000원",m,부산역/범일동/부산진역
13,부산 범일동 라메르 호텔,4.5,범일역 인근 (눌러서 위치보기)-329km,"45,000원",m,부산역/범일동/부산진역
14,부산역 BUSAN VIEW HOTEL,4.6,부산역 도보 3분 거리 눌러서 위치보기-330.4km,"45,000원",m,부산역/범일동/부산진역
15,부산 범일동 틴토 호텔,4.7,"범일역에서 도보 3분거리, 클릭-329.1km","35,000원",m,부산역/범일동/부산진역
16,부산 수정동 브라운도트 부산진역점,4.9,"부산역 인근, 눌러서 위치보기-329.3km","50,000원",m,부산역/범일동/부산진역
17,부산역 더웨이,4.6,"부산역에서 도보 2분, 눌러서 위치보기-330km","32,000원",m,부산역/범일동/부산진역
18,부산 범일동 호텔 루이스,4.8,"범일역 도보4분, 눌러서 위치보기-329km","40,000원",m,부산역/범일동/부산진역
19,부산 범일동 더디자인,4.2,"범일역 차량 6분거리, 눌러서 위치보기-328.7km",예약마감,m,부산역/범일동/부산진역
20,부산역 테마,4.9,"초량역에서 도보 1분거리, 눌러서 위치보기-329.9km","28,000원",m,부산역/범일동/부산진역
21,부산역 플러스,3.7,부산역3번출구에서 도보3분거리-329.9km,"30,000원",m,부산역/범일동/부산진역
22,부산역 비즈니스 호텔,4.0,"부산역 2번출구에서 도보 3분거리, 눌러서 위치보기-330.4km",예약마감,m,부산역/범일동/부산진역
23,부산역 369,4.3,"부산역 10번출구에서 도보 3분거리, 눌러서 위치보기-330.1km","35,000원",m,부산역/범일동/부산진역
24,부산역 아리아,4.7,"부산역 7번출구에서 도보 2분거리, 눌러서 위치보기-330km","40,000원",m,부산역/범일동/부산진역
25,부산역 OJ,3.5,"초량역 12번출구에서 도보 5분거리, 눌러서 위치보기-329.6km","35,000원",m,부산역/범일동/부산진역
26,부산역 썬,3.5,"부산역 7번출구에서 도보 2분거리, 눌러서 위치보기-330km","35,000원",m,부산역/범일동/부산진역
27,부산역 호텔 오름,4.8,"부산역까지 도보3분, 클릭-330.4km","35,000원",m,부산역/범일동/부산진역
28,부산역 센텀 호텔,4.1,"초량역 2번출구에서 도보1분거리, 클릭-330km","40,000원",m,부산역/범일동/부산진역
29,부산 범일동 나포리,3.5,"범일역 2번출구에서 도보 2분거리, 눌러서 위치보기-329.1km",예약마감,m,부산역/범일동/부산진역
30,부산 범일동 호텔 프린스,4.8,"범일역 1번출구에서 도보 1분거리, 눌러서 위치보기-328.9km",예약마감,m,부산역/범일동/부산진역
