,name,score,loc,lowest_price,category,loc2
0,부산 사상 OOPS,4.7,삼락공원 근처 위치 눌러서 위치보기-321km,"35,000원",m,사상(경전철)/엄궁/학장
1,부산 사상 ND.1226 HOTEL,4.7,"삼락공원 바로앞, 위치보기-322km",예약마감,m,사상(경전철)/엄궁/학장
2,부산 사상 빈스70,4.7,"사상터미널 도보3분, 눌러서 위치보기-322.6km","35,000원",m,사상(경전철)/엄궁/학장
3,부산 사상 투헤븐,4.6,서부산시외버스터미널 도보3분-322.7km,"40,000원",m,사상(경전철)/엄궁/학장
4,부산 사상 YAJA 사상 터미널점,4.8,"사상지하철역,시외버스터미널 도보3분-322.7km","38,000원",m,사상(경전철)/엄궁/학장
5,부산 사상 하운드 사상,4.8,"서무시외버스터미널 5분거리, 클릭-322.7km","45,000원",m,사상(경전철)/엄궁/학장
6,부산 사상 호텔 더반,4.9,"사상역 도보 3분거리, 위치 클릭-322.7km","50,000원",m,사상(경전철)/엄궁/학장
7,부산 사상 썸,4.8,서부산시외버스터미널 도보1분-322.8km,"45,000원",m,사상(경전철)/엄궁/학장
8,부산 사상 브라운도트 사상르네시떼점,4.9,322.8km,"50,000원",m,사상(경전철)/엄궁/학장
9,부산 사상 ZAM 101 HOTEL,4.9,"사상역 도보 4분거리, 눌러서 위치보기-323km","45,000원",m,사상(경전철)/엄궁/학장
10,부산 사상 르이데아 호텔,4.8,"서부시외버스터미널 3분거리, 클릭-323km","40,000원",m,사상(경전철)/엄궁/학장
11,부산 사상 프리미엄 아바,4.9,"서부산시외버스터미널 도보3분, 눌러서 위치보기-323km","50,000원",m,사상(경전철)/엄궁/학장
12,부산 사상 호텔 1954,4.8,김해공항 차량 10분/눌러서 위치확인-323.4km,"40,000원",m,사상(경전철)/엄궁/학장
13,부산 사상 덴 바스타 호텔,4.9,"사상터미널 차량 3분, 눌러서 위치보기-324.1km","50,000원",m,사상(경전철)/엄궁/학장
14,부산 사상 호텔 프리마,4.9,감전역 도보 10분 / 김해공항 차량 12분-324.1km,"45,000원",m,사상(경전철)/엄궁/학장
15,부산 사상 넘버25,4.6,"김해공항까지 차량 10분거리, 눌러서 위치보기-324.2km","30,000원",m,사상(경전철)/엄궁/학장
16,부산 엄궁 짝,4.8,엄궁파출소 건너편 도보3분 (위치보기)-325.5km,"29,900원",m,사상(경전철)/엄궁/학장
17,부산 학장 코코,4.9,75인치 영화관+고사양 커플 PC+버블스파 -326.1km,"30,000원",m,사상(경전철)/엄궁/학장
