,name,score,loc,lowest_price,category,loc2
0,부산 초읍 브라운도트 초읍점,4.6,부산시립도서관 도보5분-324.6km,"45,000원",m,서면/양정/초읍/부산시민공원
1,부산 양정 브라운도트 양정점,4.8,양정역 1번출구 도보 2분-326.6km,"45,000원",m,서면/양정/초읍/부산시민공원
2,부산 서면 HOTEL BAND,4.8,"롯데백화점 5분거리,클릭-326.8km","35,000원",m,서면/양정/초읍/부산시민공원
3,부산 서면 놈,4.7,"서면 롯데백화점 도보 4분, 클릭-326.9km","31,000원",m,서면/양정/초읍/부산시민공원
4,부산 서면 라라비안코 호텔,4.9,"서면 롯데백화점 도보2분, 위치보기-327km","45,000원",m,서면/양정/초읍/부산시민공원
5,부산 서면 넘버25 서면역점,4.5,"서면역 15번 출구 앞, 눌러서 위치보기-327.2km","29,900원",m,서면/양정/초읍/부산시민공원
6,부산 서면 브라운도트 서면1호점,4.8,"서면역 12번출구 1분, 눌러서 위치보기-327.3km","50,000원",m,서면/양정/초읍/부산시민공원
7,부산 서면 YAJA 서면 본점 (롯데백화점 뒤 위치),4.6,"서면롯데백화점 후문 도보 0분, 클릭 후 위치보기-327.3km","35,000원",m,서면/양정/초읍/부산시민공원
8,부산 서면 소호 호텔,4.8,"부산 서면 NC백화점까지 도보 2분, 눌러서 위치확인-327.3km","39,000원",m,서면/양정/초읍/부산시민공원
9,부산 서면 호텔 더 스위트,4.8,서면롯데백화점 도보 2분-327.4km,"38,000원",m,서면/양정/초읍/부산시민공원
10,부산 서면 하운드 1번가점,4.7,"서면롯데백화점 후문 도보1분, 위치보기-327.4km","30,000원",m,서면/양정/초읍/부산시민공원
11,부산 서면 더블린,4.8,"서면롯데백화점 도보2분, 눌러서 위치보기-327.4km","38,000원",m,서면/양정/초읍/부산시민공원
12,부산 서면 더클럽호텔,4.8,서면역 7번출구 도보6분-327.4km,"40,000원",m,서면/양정/초읍/부산시민공원
13,부산 서면 A+ 호텔,4.6,"서면 중심가에 위치,눌러서 위치보기-327.4km","27,800원",m,서면/양정/초읍/부산시민공원
14,부산 서면 시카고 2호점,4.5,"서면 1번가까지 도보 1분, 눌러서 위치확인-327.5km","25,000원",m,서면/양정/초읍/부산시민공원
15,부산 서면 TRT Hotel,4.8,"서면 1번가 도보1분, 눌러서 위치보기-327.5km","37,000원",m,서면/양정/초읍/부산시민공원
16,부산 서면 아바,4.6,"서면 중심가에 위치, 눌러서 위치보기-327.5km","40,000원",m,서면/양정/초읍/부산시민공원
17,부산 서면 하루 호텔(서면2번가점),4.8,"쥬디스태화 도보 1분, 눌러서 위치보기-327.5km","35,000원",m,서면/양정/초읍/부산시민공원
18,부산 서면 홈 호텔,4.7,"서면 쥬디스태화 도보1분,  위치보기-327.5km","37,000원",m,서면/양정/초읍/부산시민공원
19,부산 서면 시티호텔 G&G,4.8,"서면1번가 중심지, 클릭-327.5km","43,000원",m,서면/양정/초읍/부산시민공원
20,부산 서면 호텔 치즈,4.8,"서면 1번가 중심까지 도보 3분, 눌러서 위치확인-327.5km","40,000원",m,서면/양정/초읍/부산시민공원
21,부산 서면 다뉴브,4.7,서면 부전도서관 바로 옆-327.5km,"35,000원",m,서면/양정/초읍/부산시민공원
22,부산 서면 넘버25 서면1번가점,4.8,"서면 중심가 위치, 클릭 후 위치보기-327.6km","39,900원",m,서면/양정/초읍/부산시민공원
23,부산 서면 샤이어 호텔,4.9,"서면 1번가 중심까지 도보 3분, 클릭-327.7km","30,000원",m,서면/양정/초읍/부산시민공원
24,부산 서면 YAJA 서면1번가점(교보문고 맞은편),4.6,"서면역 1번출구 도보7분,교보문고 맞은편-327.8km","35,000원",m,서면/양정/초읍/부산시민공원
25,부산 서면 사우스반데코 호텔,4.8,서면1번가 위치-327.8km,"50,000원",m,서면/양정/초읍/부산시민공원
26,부산 서면 The 7th,4.6,"범내골역 7번출구 도보3분,눌러서 위치보기-328.1km","35,000원",m,서면/양정/초읍/부산시민공원
27,부산 서면 LeeSunDeok Hotel,4.7,"★범내골역(8번 출구)도보 3분, 클릭★-328.1km","33,000원",m,서면/양정/초읍/부산시민공원
28,부산 서면 콤마,4.7,"범내골역 8번출구 도보1분, 눌러서 위치보기-328.2km","30,000원",m,서면/양정/초읍/부산시민공원
