,name,score,loc,lowest_price,category,loc2
0,부산 정관 호텔라움,4.7,"기장 임랑해수욕장 차로 14분거리,눌러서 위치보기-319.8km","50,000원",m,송정/기장/정관
1,부산 정관 브라운도트 정관점,4.8,부산 정관 폴리텍대학까지 도보 8분-319.8km,"50,000원",m,송정/기장/정관
2,부산 기장 하운드 기장일광,4.7,일광해수욕장 도보 5분(클릭)-327km,"60,000원",m,송정/기장/정관
3,부산 기장 HiLL,4.9,"기장역 차량 6분, 눌러서 위치확인-327.1km","35,000원",m,송정/기장/정관
4,부산 송정 애플,4.6,"송정해수욕장 도보 약 6분거리, 눌러서 위치보기-332.6km","30,000원",m,송정/기장/정관
5,부산 송정 브라운도트 송정점,4.6,송정해수욕장 도보 3분/이케아 차량 5분-332.7km,"50,000원",m,송정/기장/정관
6,부산 2월호텔(송정점),4.8,"송정해수욕장 도보3분, 기장 롯데아울렛, 기장이케아 차량 5분 눌러서 위치확인-332.8km","45,000원",m,송정/기장/정관
7,부산 송정 젬,4.6,"송정해수욕장 도보 3분, 클릭-332.8km","35,000원",m,송정/기장/정관
8,부산 송정 아이엠,4.6,"송정해수욕장 도보2분,눌러서 위치확인-332.8km","45,000원",m,송정/기장/정관
9,부산 송정 여우비,4.7,"송정해수욕장  3분거리,클릭-332.9km","39,000원",m,송정/기장/정관
10,부산 송정 OLLA HOTEL,4.6,"송정해수욕장 근처, 이케아/아울렛 인접 눌러서 위치보기-332.9km","49,000원",m,송정/기장/정관
11,부산 송정 브룩스 호텔,4.9,"송정해수욕장 바로 앞, 눌러서 위치보기-332.9km","50,000원",m,송정/기장/정관
12,부산 정관 호텔 다온,4.8,"정관 일반산업단지 2분 위치, 클릭-319.2km","50,000원",m,송정/기장/정관
13,부산 송정 V,4.8,"송정해수욕장 / 기장롯데아울렛 / 기장이케아 초인접, 눌러서 위치보기-332.9km","40,000원",m,송정/기장/정관
