,name,score,loc,lowest_price,category,loc2
0,부산 연산동 하운드 연산,4.8,"연산역 17번 출구에서 도보1분,눌러서 위치확인-325.8km","60,000원",m,연산/토곡
1,부산 연산동 MU플러스,4.5,"연산역 까지 도보 2분거리, 클릭-325.8km","40,000원",m,연산/토곡
2,부산 연산동 OOPS,4.6,"연산역 2번출구 도보1분,눌러서 위치보기-326km","33,000원",m,연산/토곡
3,부산 연산동 YOU아인,4.7,"연산역 8번,6번 출구 도보2분거리-326km","35,000원",m,연산/토곡
4,부산 연산동 The Lua(더루아),4.7,"연산역 2번출구 도보 5분, 클릭-326.1km","30,000원",m,연산/토곡
5,부산 연산동 엠버스,4.7,"연산역 바로 앞, 눌러서 위치보기-326.1km","40,000원",m,연산/토곡
6,부산 연산 토곡 호텔 로이,4.9,01.01GRAND OPEN위치보기-327.2km,"40,000원",m,연산/토곡
7,부산 연산 토곡 브라운도트 연산토곡점,4.7,연산 토곡사거리 인근-327.2km,"40,000원",m,연산/토곡
8,부산 연산 토곡 GRAY191,4.8,"토곡사거리까지 차량 1분거리, 클릭-327.3km","40,000원",m,연산/토곡
9,부산 연산동 호텔 스미스,4.7,지하철 연산역 17번출구 2분(위치보기)-325.7km,"40,000원",m,연산/토곡
10,부산 연산 토곡 오,4.7,"부산소방본부에서 4분거리, 클릭-327.2km","30,000원",m,연산/토곡
11,부산 연산동 YAM 연산점,4.7,"연산역에서 도보 3분거리, 눌러서 위치보기-325.7km","33,000원",m,연산/토곡
12,부산 연산동 BNB,4.7,"연산역 6번출구 도보5분, 눌러서 위치보기-326km","30,000원",m,연산/토곡
13,부산 연산동 WABA,4.5,"연산역 14번출구 도보 3분, 클릭-325.8km","29,000원",m,연산/토곡
14,부산 연산동 아마레,4.7,"연산역 도보 4분거리, 눌러서 위치보기-325.7km","38,000원",m,연산/토곡
15,부산 연산동 위드,4.7,"연산 금융센터 뒷편위치, 눌러서 위치보기-325.7km","40,000원",m,연산/토곡
16,부산 연산동 브이,4.1,"연산역 16번출구 도보 2분 , 눌러서 위치보기-325.8km","27,000원",m,연산/토곡
17,부산 연산동 17th,4.5,"연산역 17번출구 도보1분, 눌러서 위치보기-325.8km","45,000원",m,연산/토곡
18,부산 연산동 MU,3.7,"연산역까지 도보 2분거리, 눌러서 위치보기-325.8km","40,000원",m,연산/토곡
19,부산 연산 토곡 투헤븐,4.5,"부산시청 도보10분, 눌러서 위치보기-327.2km",예약마감,m,연산/토곡
20,부산 연산동 엘루이,4.5,"연산역에서 도보 3분거리, 눌러서 위치보기-325.7km","40,000원",m,연산/토곡
21,부산 연산 토곡 더킹호텔,4.8,"해운대, 광안리 차량으로 15분, 눌러서 위치보기-327.2km","45,000원",m,연산/토곡
22,부산 연산동 조이,4.5,"연산역 2분거리,위치보기-325.8km","30,000원",m,연산/토곡
23,부산 연산동 넘버25,4.4,"연산역 1번출구에서 도보 3분거리, 눌러서 위치보기-325.7km",예약마감,m,연산/토곡
24,부산 연산동 굿타임,3.9,"연산역 도보 8분거리, 클릭-326.2km","35,000원",m,연산/토곡
25,부산 연산동 잠자리,4.8,"연산역 8번 출구까지 1분거리, 클릭-326km","35,000원",m,연산/토곡
26,부산 연산동 휴,4.7,"연산교차로까지 도보 1분,눌러서 위치보기-325.8km",예약마감,m,연산/토곡
27,부산 연산동 IU,4.8,"연산역 바로 앞, 눌러서 위치보기-326.1km",예약마감,m,연산/토곡
28,부산 연산동 시애틀비 호텔,4.6,"연산역 인근 위치, 눌러서 위치보기-325.7km","60,000원",m,연산/토곡
29,부산 연산동 필,5.0,"연산역 14번출구에서 도보 2분거리, 눌러서 위치보기-325.8km","35,000원",m,연산/토곡
30,17th Hotel,4.5,연산역 17번출구 도보 1분-325.8km,"45,000원",h,연산/토곡
31,하운드 연산,4.8,연산역 17번출구 도보 3분-325.8km,"60,000원",h,연산/토곡
32,브라운도트 연산토곡점,4.9,부산경상대학교 도보 8분-327.2km,"45,000원",h,연산/토곡
33,아르반시티 호텔,4.8,연산역 12번출구 도보 1분-325.9km,"45,500원",h,연산/토곡
34,시애틀비호텔,4.6,연산역 17번출구 도보 3분-325.7km,"30,000원",h,연산/토곡
35,부산 연산동 다이아몬드호텔,3.9,연산역 7번출구 도보 3분-325.6km,예약마감,h,연산/토곡
