,name,score,loc,lowest_price,category,loc2
0,부산 강서 지사동 굿프라임,4.9,"지사과학산단, 지사공단 인근-316.6km","45,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
1,부산 강서 범방동 베스트루이스 해밀턴 호텔,4.8,"렛츠런파크 인접, 클릭-319.2km","58,800원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
2,부산 2월호텔(신호점본관),4.8,르노삼성자동차공장까지 도보 5분!-324.8km,"50,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
3,부산 2월호텔(신호점신관),4.8,"신호단지 중심 위치, -324.9km","50,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
4,부산 강서 신호동 블랑호텔,4.8,"신호동 산업단지 내 위치, -324.9km","50,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
5,부산 명지 호텔 OIA,4.8,"명지스타필드 인근 위치 , 클릭-325.1km","50,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
6,부산 명지 호텔 오유,4.8,명지국제신도시 스타필드 인근 위치-325.4km,"35,900원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
7,부산 명지 씨엘오션 호텔,4.8,"스타필드시티에서 차량 3분거리, -325.5km","50,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
8,부산 명지 넘버25 명지서부지청점(국제신도시),4.7,"부산지방법원 서부지원 인근, -325.6km","35,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
9,부산 명지 JK,4.5,"하단역까지 차량 6분, -326km","40,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
10,부산 명지 브라운도트 명지점,4.7,김해공항 차로 10분-326.1km,"40,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
11,부산 명지 오션시티 호텔,4.9,"명지 지구 중심 위치, -326.5km","50,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
12,부산 하단 레이어스호텔,4.7,"하단지하철역 1분거리, 위치보기-327.1km","50,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
13,부산 명지 헤리티지 디자인 호텔,4.6,"김해공항 차량10분, -326km","35,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
14,부산 명지 디자인 팝,4.7,"스타필드에서 5분거리, 위치보기-326km","33,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
15,부산 명지 더 포인트 호텔 서부지청점,4.8,"명지산업단지 바로 옆, -324.6km","40,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
16,부산 하단 그린힐,4.5,"하단역 7번 출구 도보3분, 위치보기-327.2km","33,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
17,부산 명지 BM HOTEL,4.6,"을숙도 차로 5분, -326.1km","30,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
18,부산 하단 YAM 하단점,4.6,하단역 1번 출구 2분거리-327km,"35,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
19,부산 하단 넘버25 하단점,4.8,"하단역 1번 출구, 에덴공원 바로 앞-327km","35,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
20,부산 강서 구랑동 베스티 호텔,4.4,"경마장에서 4km, 신호삼성자동차에서 4km, -319.7km","50,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
21,부산 강서 신호동 더 브레인 호텔,4.8,"일출이 보이는 호텔, -325km","69,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
22,부산 강서 신호동 S,4.3,"신호산업단지 근처, -324.8km","35,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
23,부산 강서 신호동 브라운도트 신호점,4.7,"신호공원 도보1분거리, -324.8km","50,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
24,부산 하단 퀸,4.8,"하단역 1번출구 도보2분, -327.1km","35,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
25,부산 명지 호텔제타,4.5,명지시장 차로 3분-325.7km,예약마감,m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
26,부산 괴정 로쏘,4.8,괴정역 5번출구 도보 15초-329.2km,"35,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
27,부산 괴정 GT,4.5,괴정 지하철역에서 2분거리!-329.2km,"40,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
28,부산 강서 신호동 비즈니스호텔,4.7,"르노삼성자동차공장까지 도보 5분, -325km","40,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
29,부산 강서 신호동 호텔 더원,4.8,바다전망이 좋은 신호동 해안!-324.8km,"50,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
30,부산 강서 지사동 헤르몬 호텔,4.9,"지사동 중심 위치, -316.6km","55,000원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
31,부산 하단 츄츄,4.5,"하단역 5번출구 도보3분, -327.1km","29,900원",m,하단/명지/김해공항/다대포/강서/신호/괴정/지사
