,name,score,loc,lowest_price,category,loc2
0,부산 재송동 넘버25 센텀점,4.6,"벡스코 차로 5분거리, 눌러서 위치확인-328.2km","40,000원",m,해운대/센텀시티/재송
1,부산 재송동 엘루이(HOTEL LRUI),4.8,벡스코까지 차로 5분! 눌러서 위치확인-328.3km,"40,000원",m,해운대/센텀시티/재송
2,부산 해운대 발렌타인,4.4,"해운대역에서 도보로 3분거리, 눌러서 위치보기-332.1km","30,000원",m,해운대/센텀시티/재송
3,부산 해운대 블루,4.6,"해운대역 5번출구 도보1분거리, 클릭-332.1km","40,000원",m,해운대/센텀시티/재송
4,부산 해운대 호텔 109,4.5,해운대해수욕장도보1분이내.눌러서 위치보기-332.1km,"40,000원",m,해운대/센텀시티/재송
5,부산 해운대 잉카,4.4,"2호선 해운대역 도보 6분거리, 클릭-332.1km","25,000원",m,해운대/센텀시티/재송
6,부산 해운대 호텔 와(WA),4.6,핫플 클릭클릭! 해운대 바닷가에서 5분-332.1km,"33,000원",m,해운대/센텀시티/재송
7,부산 해운대 오렌지(Orange),4.6,"해운대해수욕장 도보 1분,눌러서 위치확인-332.1km","30,000원",m,해운대/센텀시티/재송
8,부산 해운대 하운드 해운대 시그니처,4.9,"해운대바닷가 도보3분, 21년 3월 오픈-332.1km","69,000원",m,해운대/센텀시티/재송
9,부산 해운대 브라운도트 해운대점 시그니처,4.7,"해운대바닷가 도보3분, 21년 3월 오픈-332.1km","64,000원",m,해운대/센텀시티/재송
10,부산 해운대 모모쥬스,4.6,"해운대 해수욕장 도보5분,눌러서 위치보기-332.1km","38,000원",m,해운대/센텀시티/재송
11,부산 해운대 호텔 준(JUNE),4.4,"해운대역 도보 1분, 눌러서 위치확인-332.1km","33,000원",m,해운대/센텀시티/재송
12,부산 해운대 YAJA 해운대점,4.7,해운대해수욕장도보1분 눌러서위치보기-332.1km,"40,000원",m,해운대/센텀시티/재송
13,부산 해운대 S-one,4.5,해운대해수욕장 도보 5분. 클릭-332.1km,"33,000원",m,해운대/센텀시티/재송
14,부산 해운대 호텔아라,4.8,"해운대역 7번출구까지 도보 8분거리, 눌러서 위치보기-332.1km","30,000원",m,해운대/센텀시티/재송
15,부산 해운대 THE VAN HOTEL 해운대점,4.9,"해운대해수욕장 도보 1분,클릭-332.1km","50,000원",m,해운대/센텀시티/재송
16,부산 해운대 넘버25 해운대점,4.7,해운대 1번출구 도보4분거리~ 눌러서확인-332.2km,"40,000원",m,해운대/센텀시티/재송
17,부산 해운대 더베이 호텔,4.8,"해운대해수욕장 7분거리,눌러서 위치확인-332.2km","40,000원",m,해운대/센텀시티/재송
18,부산 해운대 호텔 폭시,4.3,"해운대해수욕장 도보 5분 거리,클릭-332.2km","38,000원",m,해운대/센텀시티/재송
19,부산 해운대 호텔 여기어때,4.6,"해수욕장 3분거리, 클릭️-332.2km","40,000원",m,해운대/센텀시티/재송
20,부산 해운대 호텔 에이(A),4.3,"해운대해수욕장에서 도보 4분거리, 클릭-332.2km","35,000원",m,해운대/센텀시티/재송
21,부산 해운대 G.P Hotel (지피호텔),4.3,"해운대 해수욕장까지 도보 4분, 눌러서 위치확인-332.2km","30,000원",m,해운대/센텀시티/재송
