,name,score,loc,lowest_price,category
0,괴산 스토리무인텔,3.8,중원대학교 차량3분 (중원대 픽업서비스)-114.1km,"40,000원",m
1,보은 스토리 무인텔,4.5,142.7km,"33,000원",m
2,증평 소풍,4.6,106km,"35,000원",m
3,옥천 명가,4.7,151km,"40,000원",m
4,영동 수 무인호텔,4.7,162.7km,"50,000원",m
5,영동 콜무인텔,4.5,173.7km,"45,000원",m
6,영동 32일,4.6,172.9km,"40,000원",m
7,영동 더제이,4.8,172.6km,"50,000원",m
8,보은 유로 무인텔,3.5,141km,"40,000원",m
9,증평 영파크,5.0,103.6km,"40,000원",m
10,옥천 바바라 무인텔,4.4,옥천 IC (차량 5분거리) / 교동저수지 (차량 2분거리)-150km,"50,000원",m
11,보은 말티 무인텔,4.8,140.5km,"50,000원",m
12,보은 소풍,3.5,127.6km,"40,000원",m
13,증평 마중,4.0,103.6km,"40,000원",m
14,옥천 리베라,4.0,150.9km,"40,000원",m
15,보은 성심장 모텔,3.5,139.8km,"35,000원",m
16,보은(속리산) 위너스 호텔,3.7,139.8km,예약마감,m
17,증평 버디버디,4.3,111.3km,"40,000원",m
18,보은 런던,4.0,139.5km,"40,000원",m
19,보은 허브,4.0,139.7km,"35,000원",m
20,괴산 탑 무인텔,4.8,108.2km,"35,000원",m
21,보은 속리산콘도호텔,3.5,141.4km,예약마감,m
22,괴산 낙원모텔,3.5,차량10분거리 괴산읍내-112.5km,"40,000원",m
23,보은 자바라 무인텔,3.0,141km,"40,000원",m
24,보은(속리산) 처음처럼 펜션텔,4.7,140km,"50,000원",m
25,증평 이태리,1.0,37사단 충용부대 인근-103.7km,"40,000원",m
26,증평 태평,4.7,증평군청 부근-104.8km,"35,000원",m
27,증평 갤러리 무인텔,4.2,103.4km,"40,000원",m
28,보은 그린파크호텔,3.5,속리산 근처-139.9km,"60,000원",m
29,옥천 제이앤비 무인텔,5.0,146.4km,"50,000원",m
30,괴산 Y무인텔,4.7,113.6km,"50,000원",m
31,괴산 S무인텔,4.6,113.6km,"50,000원",m
32,보은 수,1.0,140.7km,"40,000원",m
33,옥천 엠엔모텔,3.5,148.3km,예약마감,m
34,영동 두바이,3.5,173.1km,예약마감,m
