,name,score,loc,lowest_price,category
0,청주 오창 도트,4.3,"오창IC , 오창 호수공원 , 오창 산업단지 인근-105.5km","60,000원",m
1,청주 SHOW 호텔,4.6,율량동 홈플러스 인근-112.6km,"60,000원",m
2,청주 프렌치코드,4.8,113km,"50,000원",m
3,청주 무인호텔 더 반트,4.7,"수암골,청주대,현대미술관 차로5분-114.1km","40,000원",m
4,청주 북문로 할로윈,4.5,청주 북문로-115km,"26,000원",m
5,청주 북문로 토론토 호텔,4.6,북문로/서문로/충북도청 인근-115.1km,"33,500원",m
6,청주 스테이 호텔,4.8,서문동 CGV 인근-115.2km,"35,000원",m
7,청주 호텔 스마트,4.6,"넷플릭스 설치,드라이브-IN 객실-115.4km","40,000원",m
8,청주 오늘,4.6,청주중앙공원 인근 위치-115.4km,"30,000원",m
9,청주 벅스79,4.8,115.4km,"33,000원",m
10,청주 호텔 메르시,4.8,"청주시내/CGV,시청도청인근/종합운동장-115.4km","35,000원",m
11,청주 K 명품무인텔 드라이브인,4.8,"청주시내, 청주육거리전통시장 도보5분거리-115.6km","50,000원",m
12,청주 SUM(썸) HOTEL,4.8, 남문로 최고급 리모델링 OPEN-115.7km,"35,000원",m
13,청주 넘버25 청주 성안길점,4.7,"육거리시장,CGV,시청,도청,성안길 근처-115.8km","30,000원",m
14,청주 호텔 7,4.6,"용암동 망골조각공원, 롯데시네마 인근-118.4km","35,000원",m
15,청주 제이호텔,4.9,상당구청 인근 / 충북도청 차량10분거리-118.5km,"60,000원",m
16,청주 호텔 로아 (HOTEL ROA),4.9,Hotel Roa GRAND OPEN-118.6km,"50,000원",m
17,청주 크라운,4.8,용암동 주민센터 인근-118.6km,"35,000원",m
18,청주 호텔 안온(安穩),4.8, GRAND OPEN 安穩 -118.5km,"50,000원",m
19,청주 브라운도트 청주시청점,4.8,상당구 북문로 2가 1061-114.8km,"35,000원",m
20,청주 호텔 본,4.7,"월-토 무료조식, 픽업 서비스-114km","45,000원",m
