,name,score,loc,lowest_price,category
0,진천 2S,4.6,광혜원 주민센터 앞-78.3km,"45,000원",m
1,진천 오즈의마법사 무인텔,4.3,광혜원 면사무소 도보 1분거리-78.3km,"35,000원",m
2,진천 호텔 라쿠스,4.9,87.7km,"50,000원",m
3,진천 소풍짝 무인텔,4.7,진천 IC (차량 5분)-89.9km,"35,000원",m
4,진천 명품무인호텔,4.9,100.7km,"60,000원",m
5,제천 노블,4.9,122.5km,"40,000원",m
6,제천 케이스호텔 제천점,4.7,제천역 도보 5분 거리-122.3km,"60,000원",m
7,제천 캐츠,4.8,제천 종합운동장 도보 8분-123.5km,예약마감,m
8,제천 뷰호텔,4.7,제천역 도보 5분-122.6km,"60,000원",m
9,진천 해와달 무인텔,4.8,그랜드CC 15분 거리 (차량)-100.7km,"60,000원",m
10,제천 설악,4.3,제천버스터미널 706m-122.1km,"30,000원",m
11,음성 충북혁신도시 H모텔,4.4,"CGV, 충북혁신도시 버스터미널 인근-91.5km",예약마감,m
12,음성 하루,4.4,음성공용 버스터미널 (차량 5분)-99km,"34,000원",m
13,단양 스카이,3.9,142.7km,"50,000원",m
14,진천 호텔 갤럭시,3.5,100.7km,"45,000원",m
15,제천 자바무인텔,3.5,117km,예약마감,m
16,진천 폴라리스 무인텔,3.5,102.7km,예약마감,m
17,제천 거기 무인텔 (1대1 Drive-In),4.9,122.6km,예약마감,m
18,제천 hotel k,4.6,122.5km,"50,000원",m
19,진천 루 호텔,4.7,북진천 IC(차량7분거리)-87.6km,"50,000원",m
20,음성 첼로,4.2,"음성IC 인근, 금왕 인근-87.9km","30,000원",m
21,제천 에쿠스,4.7,122.3km,예약마감,m
22,제천 벨로 무인호텔 (1대1 Drive-In),4.9,126.7km,"50,000원",m
23,제천 허브파크,3.0,122.3km,"35,000원",m
24,제천 W,4.5,122.5km,"35,000원",m
25,제천 올인,4.3,122.4km,"40,000원",m
26,제천 K2 (1대1 Drive-in),4.6,123.5km,예약마감,m
27,제천 Q,4.9,122.3km,"60,000원",m
28,제천 도이치,4.8,제천 종합운동장 도보 10분-123.4km,예약마감,m
29,음성 아리아 Drive-in,4.8,85.7km,"45,000원",m
30,제천 J,4.0,122.2km,"30,000원",m
31,음성 자바라(Drive-in),5.0,"음성ic 차량 3분, 골프장 인근, 무극전적지 도보 5분-93.1km","50,000원",m
32,제천 청풍발리호텔,4.5,125.1km,"50,000원",m
33,진천 팰리스,4.2,시외버스 정류장 인근-79km,"29,000원",m
34,단양 호텔 더즌,4.5,단양 버스터미널 (도보 1분)-142.7km,"50,000원",m
35,진천 S,4.9,79km,"35,000원",m
36,진천 이팝 무인텔,4.6,88.4km,"30,000원",m
37,진천 아일랜드 무인텔,4.8,88.4km,"30,000원",m
38,제천 렉스,4.1,122.3km,예약마감,m
39,제천 레인,4.5,122.3km,"40,000원",m
40,음성 블랙&화이트,4.9,중앙 목재 주변-84.3km,"35,000원",m
41,제천 밀라노,4.2,122.3km,"35,000원",m
42,음성 더자라(Drive-in),4.5,성본산업단지 도보 5분-84.7km,"40,000원",m
43,음성(대소) 서울 호텔,4.5,대소 시외버스터미널 인근-81.9km,"40,000원",m
44,제천 N 모텔,4.5,122.5km,"40,000원",m
45,진천 스테이 무인텔,4.7,91.1km,"40,000원",m
46,음성 지중해의 아침,4.7,85.9km,"37,000원",m
47,제천 안단테,4.1,123.5km,"40,000원",m
48,진천 두바이,4.8,91.3km,"50,000원",m
49,음성 충북혁신도시 리치무인텔,4.6,"가스안전공사 정문 앞, 버스터미널 인근-91.4km","50,000원",m
50,제천 오슬로,4.4,122.6km,"30,000원",m
51,음성 충북혁신도시 호텔모닝캄,4.7,91.5km,예약마감,m
52,진천 스위스텔,5.0,남태령가든 차량 2분소요-98.1km,"30,000원",m
53,제천 썸,4.3,122.3km,"35,000원",m
54,제천 퀸 모텔,3.8,122.5km,예약마감,m
55,단양 강변호텔,4.3,단양 시외 버스터미널 도보 2분 거리-142.6km,"50,000원",m
56,제천 베니스,2.3,122.5km,"25,000원",m
57,진천 호텔 시티,4.7,진천 국가대표 선수촌 1분거리(차량)-80.7km,"40,000원",m
58,진천(오창) G7 무인호텔,5.0,102.8km,"50,000원",m
59,음성 (금왕)팰리스,4.0,"음성IC 5분, 대소IC5분-86.1km","40,000원",m
60,진천 알마 비지니스호텔,4.8,광혜원 시외버스터미널 도보 5분거리-78.9km,"50,000원",m
61,제천 스테이201,3.5,122.6km,예약마감,m
62,음성 스카이 무인텔,4.6,97.2km,"40,000원",m
63,음성 이글타워,4.8,87km,"45,000원",m
64,진천 티롤,4.2,광혜원 면사무소 50m  (도보 1분)-78.3km,"29,000원",m
65,음성 백마령모텔,3.5,100.2km,"70,000원",m
66,진천 아크라,4.0,79.1km,"40,000원",m
67,제천 탑 모텔,3.5,122.3km,예약마감,m
68,제천 M 모텔,5.0,123.4km,"50,000원",m
69,음성 숲속의 일곱난장이,4.8,반기문 생가 도보 2분-99.4km,"45,000원",m
70,단양 온달모텔,5.0,146.8km,"50,000원",m
71,단양 그리다,4.4,142.6km,예약마감,m
72,음성 두바이,4.5,87km,"45,000원",m
73,제천 다이아몬드,5.0,123.4km,"40,000원",m
74,제천 발렌타인,3.7,122.2km,"30,000원",m
75,제천 마라톤,3.5,122.5km,예약마감,m
76,제천 캐슬,4.8,123.3km,예약마감,m
77,진천 쥬얼리,4.3,진천선수촌 인근 -80.7km,"30,000원",m
78,음성 그린힐,4.0,97.5km,"35,000원",m
79,음성 충북혁신도시 나무호텔,4.5,92km,"90,000원",m
80,제천 조이,3.5,122.3km,예약마감,m
81,단양 태화산파크,3.3,147.9km,"40,000원",m
82,진천 아미,3.4,광혜원 시외버스 정류장 인근-79.1km,예약마감,m
83,제천 하얀성모텔,3.5,122.2km,예약마감,m
84,제천 럭셔리모텔,2.0,122.8km,"40,000원",m
85,제천 그랜드,2.6,122.1km,"30,000원",m
86,광혜원 썸 무인텔,4.3,광혜원면사무소 1분거리 (도보)-78.3km,"40,000원",m
87,음성 로미&줄리,5.0,101.4km,예약마감,m
88,충북혁신도시 나무호텔,4.2,음성군 두성리-91.9km,"93,000원",h
89,음성 거성 호텔,4.5,충북혁신도시버스터미널 도보 5분-91.8km,"97,570원",h
90,소노문단양(구단양대명리조트),4.5,단양군 단양읍-142.4km,"77,000원",h
91,포레스트 리솜,4.5,제천시 박달재자연휴양림 차량 3분-108.2km,"267,340원",h
92,청풍리조트,4.5,청풍랜드 차량 약 5분거리-126.1km,예약마감,h
93,진천시티호텔,3.5,구암저수지 근방 진천국가대표선수촌 차량 3분거리-80.7km,"55,000원",h
94,단양관광호텔,4.5,단양역 1.49km-141.1km,"70,600원",h
95,음성 나비호텔,4.7,음성군 대소시외버스터미널 4.23km-84km,"40,000원",h
96,진천 미니호텔,5.0,진천군 진천신척산업단지 약 2.40km-89.2km,예약마감,h
97,단양 마실펜션,4.3,자체픽업 가능-142.4km,"80,000원",f
98,단양 솔펜션,5.0,134.8km,"60,000원",f
99,단양 풍경펜션,4.6,143.5km,"80,000원",f
100,단양 강가의아침펜션,4.3,자체픽업 가능-142.9km,"70,000원",f
101,단양 더밸리펜션,4.8,145.5km,"90,000원",f
102,단양 아비채펜션,4.9,자체픽업 가능-147.5km,"150,000원",f
103,단양 소백산가는길펜션,5.0,147.5km,"80,000원",f
104,제천 계곡품은펜션,4.9,112.9km,"70,000원",f
105,단양 별빛한옥펜션,4.8,자체픽업 가능-144.7km,"100,000원",f
106,단양 추억펜션,4.7,자체픽업 가능-142.8km,"70,000원",f
107,단양 북벽펜션,4.7,147.2km,"80,000원",f
108,제천 힐링펜션,4.8,112.9km,"60,000원",f
109,"제천 클라우드펜션(신축,청풍호케이블카)",5.0,128.9km,"120,000원",f
110,단양 몽벨리펜션,4.9,150.1km,"70,000원",f
111,단양 숨하우스펜션,5.0,149.9km,"80,000원",f
112,제천 카라반더그린엔오토캠핑장펜션,4.0,110.1km,"80,000원",f
113,단양 갤러리하우스펜션,4.5,141.7km,"100,000원",f
114,단양 에뜨왈펜션,4.9,145.7km,"60,000원",f
115,제천 늘푸른펜션,4.3,113.8km,"100,000원",f
116,제천 청풍황토펜션,4.9,124.3km,"80,000원",f
117,제천 별동자리펜션,3.5,102.7km,"120,000원",f
118,단양 큰양지펜션,3.5,146.6km,"200,000원",f
119,단양 모두와한옥펜션,3.5,자체픽업 가능-144.7km,"100,000원",f
120,단양 비가목펜션,3.5,148.5km,"100,000원",f
121,단양 조이민박펜션,4.7,141.7km,예약마감,f
122,단양 만종펜션,4.9,137.2km,"75,000원",f
123,진천 곤달비펜션,3.5,87.4km,"350,000원",f
124,단양 예솔펜션,2.0,143km,"70,000원",f
125,제천 카카오펜션,4.7,114km,"100,000원",f
126,제천 한솔펜션,4.6,128.9km,"60,000원",f
127,제천 시냇가푸른나무펜션,4.6,123.8km,"59,000원",f
128,제천 드라마황토펜션,5.0,117.4km,"60,000원",f
129,제천 미소가든펜션,4.8,113.2km,"40,000원",f
130,단양 사계절풍경펜션,4.5,142.8km,"70,000원",f
131,단양 미소와여유펜션,3.6,150.7km,"70,000원",f
132,단양 소백산자락펜션,4.1,146.7km,"70,000원",f
133,단양 네덜란드풍차마을펜션,3.5,137km,"150,000원",f
134,단양 토담펜션,3.5,150.7km,"300,000원",f
135,단양 한옥펜션,5.0,145km,예약마감,f
136,단양 선암펜션,4.9,141.6km,"100,000원",f
137,단양 마추피추펜션,4.1,143.2km,예약마감,f
138,단양 리버티펜션,3.5,142.9km,"80,000원",f
139,단양 집펜션,4.6,142.8km,"80,000원",f
140,단양 피플스토리펜션,4.3,142.7km,"100,000원",f
141,단양 애플마루펜션,4.7,150.5km,"70,000원",f
142,단양 오투펜션,4.9,150.5km,"90,000원",f
143,단양 늪실펜션,4.0,143.2km,"60,000원",f
144,단양 포시즌펜션,4.8,143.1km,"80,000원",f
145,단양 소백산통나무펜션,4.4,147.2km,"80,000원",f
146,단양 사랑애펜션,4.6,자체픽업 가능-150.5km,"70,000원",f
147,단양 구구산장펜션,5.0,자체픽업 가능-150.1km,"60,000원",f
148,단양 하늘꿈펜션,5.0,150.6km,"70,000원",f
149,단양 연화봉펜션,4.6,자체픽업 가능-150.6km,"60,000원",f
150,제천 옥순봉펜션,3.5,134.8km,"70,000원",f
151,단양 마카롱펜션,4.8,자체픽업 가능-150.5km,"70,000원",f
152,단양 휴돔하우스펜션,4.4,148.3km,"80,000원",f
153,단양 한옥펜션단촌서원고택펜션,4.7,142.9km,"88,000원",f
154,제천 충주빛나는월악펜션,4.8,126.9km,"120,000원",f
155,제천 월악산별장펜션,5.0,128.9km,"100,000원",f
156,단양 우산정사한옥펜션,5.0,144.7km,"120,000원",f
157,단양 하루한옥펜션,4.9,자체픽업 가능-144.7km,"100,000원",f
158,제천 포시즌펜션,4.7,132.3km,"130,000원",f
159,제천 호수민박펜션,5.0,129.3km,"200,000원",f
160,단양 소백산신선펜션,5.0,146.2km,"80,000원",f
161,단양 단양정한옥펜션,3.5,자체픽업 가능-144.7km,예약마감,f
162,제천 호반로하우스독채펜션,4.6,119.6km,"110,000원",f
163,제천 청풍호반드림레이크펜션,4.3,125km,"100,000원",f
164,제천 더파인힐펜션,4.9,132.3km,"150,000원",f
165,단양 봄펜션,4.0,149.6km,"80,000원",f
166,단양 가곡여울펜션,4.7,144.8km,"80,000원",f
167,단양 우리한옥펜션,3.5,144.7km,"100,000원",f
168,단양 가야펜션,4.6,142.6km,"80,000원",f
169,제천 해를품은달펜션,5.0,128.6km,"80,000원",f
170,단양 꽃뜨란펜션,3.5,자체픽업 가능-146.3km,"200,000원",f
171,단양 행복충전소행복만당한옥펜션,5.0,144.7km,"100,000원",f
172,제천 나인밸리펜션,4.0,112.8km,"80,000원",f
173,단양 풀내음펜션,4.7,143.3km,"60,000원",f
174,단양 별무리펜션,5.0,148.4km,"114,000원",f
175,단양 비로봉펜션,5.0,147.5km,"100,000원",f
176,단양 소선암황토마을펜션,4.4,141.6km,"80,000원",f
177,단양 남한강솔밭펜션,4.8,자체픽업 가능-142.2km,"55,000원",f
178,단양 소백산에서펜션,2.3,147.5km,"80,000원",f
179,단양 소백산산촌펜션,3.5,149.2km,예약마감,f
180,제천 베네치아펜션,3.5,127.5km,"80,000원",f
181,단양 달빛마을펜션,4.0,139.9km,"100,000원",f
182,제천 녹수와청산의집펜션(독채펜션),4.0,119.5km,"80,000원",f
183,제천 다인지펜션,3.0,126.1km,예약마감,f
184,단양 소백산풍경펜션,5.0,147.4km,"120,000원",f
