,name,score,loc,lowest_price,category
0,충주 더 반,4.9,2성급 호텔 및 무인텔 복합식 신축 호텔-101.2km,"60,000원",m
1,충주 호텔 로드,4.8,101.4km,"60,000원",m
2,충주 카몬,4.6,102.3km,"50,000원",m
3,충주 토론토,4.9,"충주역, 터미널 인근-108.7km","40,000원",m
4,충주 브라운도트 충주역점,4.9,충주역 도보 1분거리-108.8km,"60,000원",m
5,충주 모던그레이 호텔,4.8,충주역 도보 3분 거리-109.1km,"45,000원",m
6,충주 이너스,4.5,110.7km,"35,000원",m
7,충주 더 별,4.7,(시내중심가)충주시청 위생관리 최우수등급-110.7km,"35,000원",m
8,충주 애플,4.8,"구스다운침구,라텍스침대,대형TV넷플릭스-110.9km","40,000원",m
9,충주 힐링 무인텔,4.6,주소 : 충청북도 충주시 성남동 133-110.9km,"40,000원",m
10,충주 라이호텔,4.8,109km,예약마감,m
11,충주 크림 Drive-in,4.8,중원⊙임페리얼CC(차량 15분)-106km,"50,000원",m
12,충주 호텔 수,4.9,108.7km,예약마감,m
13,충주 퀸,4.7,110.8km,"40,000원",m
14,충주 G,4.0,충주역 도보 5분-108.8km,"35,000원",m
15,충주 디자인 8월,4.8,105.5km,"50,000원",m
16,충주 로망스,4.1,109.3km,"35,000원",m
17,충주 4계절,4.6,105.7km,"45,000원",m
18,충주 리버 관광 호텔,4.0,충주역 인근 위치-109.1km,"70,000원",m
19,충주 K 모텔,3.9,109km,"30,000원",m
20,충주 The 10월,4.8,105.5km,"50,000원",m
21,충주 이젠,4.6,108.8km,"35,000원",m
22,충주 투썸,4.8,중원cc (차량 12분 거리)-109.7km,"50,000원",m
23,충주 휴 드라이브인,4.8,93.6km,"50,000원",m
24,충주 더 베스트,4.4,109.1km,"40,000원",m
25,충주 렉시,4.5,충주역에서 제일 가까운 거리-108.8km,"28,000원",m
26,충주 포시즌,4.1,109.3km,"33,000원",m
27,충주 큐브,4.8,충주역 도보 3분 거리에 위치-108.8km,"50,000원",m
28,충주(수안보) 온천 수 호텔,4.3,123.5km,예약마감,m
29,충주 호텔어썸,4.6,109.3km,"50,000원",m
30,충주 메이,4.4,주덕역 740m (차량1분 )-101.8km,"38,000원",m
31,충주 리베,4.0,101.9km,"40,000원",m
32,충주 넘버25 충주역점(충주호텔),4.9,108.9km,"40,000원",m
33,충주 수안보 온천랜드,4.0,123.3km,"70,000원",m
34,충주 헤라,4.6,106km,"30,000원",m
35,충주(수안보) RI온천호텔,4.2,123.4km,"40,000원",m
36,충주 오라 모텔,4.5,코로나 살균효과 입증된 MD-125로 방역소독 실시-108.8km,"38,000원",m
37,충주 피아노 모텔,4.5,109.1km,예약마감,m
38,충주 아비숑,5.0,100.9km,"40,000원",m
39,충주 래미안느,4.5,106.1km,"35,000원",m
40,충주 오딧세이,4.0,109.4km,"40,000원",m
41,충주(수안보) 호텔 스크린,3.6,123.2km,예약마감,m
42,충주 리베라 모텔,5.0,108.9km,"40,000원",m
43,충주 타이타닉,4.3,108.8km,"28,000원",m
44,충주 헐리우드,4.2,108.9km,예약마감,m
45,충주 씨엘655 무인텔,4.3,106km,"50,000원",m
46,충주 오아시스,4.0,충주역 인근-109.4km,"35,000원",m
47,충주 비전파크,3.5,충주주덕농공단지-100.5km,"40,000원",m
48,충주 웰파크,3.5,충주에코폴리스 차량 5분-91.1km,"90,000원",m
49,충주(수안보)사이판 온천호텔,4.2,수안보 시외버스터미널 인근 -123.2km,"45,000원",m
50,충주 샵 무인텔,4.0,충주역 차량 1분거리-109km,"40,000원",m
51,충주 스토리 무인텔,4.1,밑에 이마트24와 같이 운영합니다.-100.4km,"35,000원",m
52,충주 A,4.6,110.7km,"35,000원",m
53,충주(수안보) 밀라노,4.5,수안보시외버스터미널 인근-123.5km,"50,000원",m
54,충주 벨라지오,4.4,109.3km,"50,000원",m
55,충주 플러스,4.5,109.5km,"30,000원",m
56,충주 오슬로,4.2,110.8km,"30,000원",m
57,충주(수안보) 궁전,2.0,123.6km,"40,000원",m
58,충주 로즈힐,3.3,109.4km,"40,000원",m
59,충주 백운파크,3.5,107.5km,예약마감,m
60,충주 하이트,5.0,106km,예약마감,m
61,충주 미라클 (주덕점),3.7,101.4km,예약마감,m
62,켄싱턴리조트 충주(애견동반),4.2,충주시 돈산리-92.2km,"60,900원",h
63,한화리조트 수안보 온천,4.0,수안보 시외버스터미널 1km-122.8km,"91,800원",h
64,THE 조선호텔 수안보,4.2,수안보시외버스터미널 400m-123.7km,예약마감,h
65,수안보 파크 호텔,3.7,수안보시외버스터미널 1.10km-122.9km,"95,000원",h
66,충주 야생화와 고택나들이,3.5,"충추 IC, 괴산 IC-119.2km","60,000원",g
67,충주 애플 게스트하우스,4.5,충주역-107.9km,"130,000원",g
68,충주 월상339 게스트하우스,3.5,중앙탑 면사무소-101.4km,예약마감,g
