,name,score,loc,lowest_price,category,loc2
0,계룡 캔버스,4.5,평리사거리 인근 위치-145.5km,"35,000원",m,계룡/금산/논산/청양
1,논산 미라클,4.2,153.1km,"40,000원",m,계룡/금산/논산/청양
2,계룡 호텔리어,4.6,엄사사거리 인근-145.6km,"40,000원",m,계룡/금산/논산/청양
3,계룡 좋은날,4.6,147.4km,"35,000원",m,계룡/금산/논산/청양
4,논산 호텔 월,4.7,논산 시외버스터미널 2분거리/논산역5분-153.1km,"55,000원",m,계룡/금산/논산/청양
5,계룡 HOTEL 비바체,4.5,145.4km,"40,000원",m,계룡/금산/논산/청양
6,논산 리버,4.5,152.7km,"40,000원",m,계룡/금산/논산/청양
7,계룡 호텔더존,4.8,145.5km,"40,000원",m,계룡/금산/논산/청양
8,계룡 오페라,4.5,147.3km,"35,000원",m,계룡/금산/논산/청양
9,계룡 JAVA,4.3,"개나리회관 최단거리, 계룡대 5분거리-145.4km","40,000원",m,계룡/금산/논산/청양
10,금산 궁 무인텔,4.7,161.3km,"50,000원",m,계룡/금산/논산/청양
11,금산 체리의향기,3.8,168.6km,"35,000원",m,계룡/금산/논산/청양
12,논산(연산) 007 무인텔,4.8,152.7km,"45,000원",m,계룡/금산/논산/청양
13,계룡 호텔계룡,4.9,147.2km,"50,000원",m,계룡/금산/논산/청양
14,계룡 The Ace 호텔,4.6,147.3km,"45,000원",m,계룡/금산/논산/청양
15,논산 링스,4.8,152.7km,"45,000원",m,계룡/금산/논산/청양
16,청양 샾 무인텔 Drive-in,4.7,천장호출렁다리에서 차량 14분-129.5km,"50,000원",m,계룡/금산/논산/청양
17,논산 모텔 젠,4.5,160.4km,"30,000원",m,계룡/금산/논산/청양
18,논산 마운틴,4.5,논산역 도보 1분 거리-152.7km,"40,000원",m,계룡/금산/논산/청양
19,계룡 쏘울 명품 무인텔,4.6,계룡 홈플러스 인근-147.5km,"34,900원",m,계룡/금산/논산/청양
20,논산 윈 무인텔,4.8,"훈련소 차량 5분, 터미널 차량 5분-159.4km","40,000원",m,계룡/금산/논산/청양
21,논산(강경) 리치모텔,3.0,158km,"40,000원",m,계룡/금산/논산/청양
22,청양 퀸 모텔,3.5,125.7km,예약마감,m,계룡/금산/논산/청양
23,논산 예그리나,3.8,논산연 도보 2분거리-152.7km,"35,000원",m,계룡/금산/논산/청양
24,논산 스타 모텔,4.3,158km,"30,000원",m,계룡/금산/논산/청양
25,금산 THE 숲 DRIVE IN HOTEL,4.3,164.8km,"50,000원",m,계룡/금산/논산/청양
26,논산 G7 무인텔,4.6,연무대 고속터미널 인근-160.2km,"50,000원",m,계룡/금산/논산/청양
27,금산 예스 무인텔,4.8,161.2km,"40,000원",m,계룡/금산/논산/청양
28,금산 꿈의궁전,3.5,183.8km,"40,000원",m,계룡/금산/논산/청양
29,계룡 몽이야,4.4,계룡시청 인근-147.1km,"30,000원",m,계룡/금산/논산/청양
30,계룡 스타 무인텔,4.4,계룡시청 부근-147.1km,"30,000원",m,계룡/금산/논산/청양
31,논산 고무신 무인텔,4.7,159.5km,"50,000원",m,계룡/금산/논산/청양
32,논산 애로우,5.0,149.3km,"35,000원",m,계룡/금산/논산/청양
33,금산 초콜릿무인텔,3.0,행정저수지 인근-161.6km,"40,000원",m,계룡/금산/논산/청양
34,계룡 호텔 비너스,4.4,엄사 사거리 인근-145.4km,"40,000원",m,계룡/금산/논산/청양
35,논산 띠아모 무인텔,3.8,부적교차로 계백사거리 사이-152.3km,"40,000원",m,계룡/금산/논산/청양
36,논산 더시티호텔,4.9,153.1km,"60,000원",m,계룡/금산/논산/청양
37,금산 대둔산 무인텔,3.5,163.2km,"40,000원",m,계룡/금산/논산/청양
38,청양 파라다이스,4.6,125.6km,예약마감,m,계룡/금산/논산/청양
39,금산 토마토,3.5,168.5km,"50,000원",m,계룡/금산/논산/청양
40,계룡 S,3.5,평리 사거리와 계룡대로 사이-145.6km,"40,000원",m,계룡/금산/논산/청양
41,계룡 화이트 모텔,4.6,계룡 홈플러스 인근-147.3km,"35,000원",m,계룡/금산/논산/청양
42,금산 애플 무인텔,4.3,만인산 자연휴양림 인근-159.9km,"40,000원",m,계룡/금산/논산/청양
43,논산 타이타닉 모텔,4.0,153km,"40,000원",m,계룡/금산/논산/청양
44,청양 꿈의궁전,5.0,125.5km,예약마감,m,계룡/금산/논산/청양
45,논산 연무,3.5,162.1km,예약마감,m,계룡/금산/논산/청양
46,논산 카카오 모텔,3.5,155km,예약마감,m,계룡/금산/논산/청양
47,청양 힐링,4.4,125.5km,예약마감,m,계룡/금산/논산/청양
48,논산 동양파크,3.5,161.2km,"35,000원",m,계룡/금산/논산/청양
49,논산 엘리제,4.2,153.1km,"45,000원",m,계룡/금산/논산/청양
50,계룡 헤븐모텔,5.0,145.5km,"30,000원",m,계룡/금산/논산/청양
51,논산 굿모텔,3.0,161km,"40,000원",m,계룡/금산/논산/청양
52,논산 하얀성,3.5,149.3km,"30,000원",m,계룡/금산/논산/청양
53,논산 텐프로 무인텔,3.5,152.7km,예약마감,m,계룡/금산/논산/청양
54,금산 낙원파크,3.5,162.5km,"35,000원",m,계룡/금산/논산/청양
55,금산 월영산모텔,3.5,172.6km,"100,000원",m,계룡/금산/논산/청양
56,청양 샤인,3.5,130.1km,예약마감,m,계룡/금산/논산/청양
57,논산 에덴산장,3.5,161.3km,"30,000원",m,계룡/금산/논산/청양
58,논산 올리브,3.8,153km,"40,000원",m,계룡/금산/논산/청양
59,논산(연산) 골든타임 무인텔,4.5,154km,"40,000원",m,계룡/금산/논산/청양
60,청양 향수 모텔,4.7,128.9km,예약마감,m,계룡/금산/논산/청양
61,논산 황제모텔,3.5,163.3km,"40,000원",m,계룡/금산/논산/청양
