,name,score,loc,lowest_price,category
0,세종 스카이 무인텔,4.6,베어트리파크 (차량 약 10분거리)-107.7km,"50,000원",m
1,공주(동학사) 소설 무인텔,5.0,계룡산 온천 인근 -137km,"50,000원",m
2,공주(동학사) G7,4.7,계룡산 온천 인근-137.1km,"50,000원",m
3,공주(동학사) S무인텔,4.7,계룡산 온천 인근-137.1km,"40,000원",m
4,공주 호텔금강,4.6,공주 시외버스터미널 3분-124km,"45,000원",m
5,공주(동학사) 2Day 무인텔,4.9,공주 동학사 인근-137.2km,"45,000원",m
6,공주(동학사) 욜로 무인텔,4.7,137.2km,"40,000원",m
7,공주(동학사) The JAJA,4.8,계롱산온천 인근-137.1km,"40,000원",m
8,공주 마루호텔,4.9,"공주IC, 공주터미널 인근-124km","50,000원",m
9,공주(동학사) 명작무인텔,4.9,계룡산 온천 인근-137.2km,"50,000원",m
10,공주 뮤,4.0,공주IC 차량 5분-125.1km,"35,000원",m
11,세종 썬,4.5,113km,"40,000원",m
12,세종 뉴세종,4.8,112.9km,예약마감,m
13,공주(동학사) 호텔문,4.8,계룡산 온천 인근-137.2km,"50,000원",m
14,공주 호텔 패션,4.7,공주터미널 도보1분거리-124.3km,"40,000원",m
15,공주 호텔 INK,4.6,공주 종합버스터미널 인근-124.1km,"50,000원",m
16,공주 르네상스 호텔,4.5,공주 종합터미널에서 도보 2분-124.2km,"38,000원",m
17,공주 호텔 미인,4.9,124.1km,"45,000원",m
18,공주 탑 모텔,4.8,공주 터미널 80m-124.1km,"35,000원",m
19,공주 초이 한옥호텔,4.8,124.9km,"50,000원",m
20,공주 호텔 공주,4.6,"공주IC 차량3분, 공주터미널 도보 5분이내-124.1km","50,000원",m
21,공주(동학사) 포시즌,4.8,계룡산 온천 인근-137.1km,"40,000원",m
22,공주(동학사) 옥상달빛,4.8,계룡산 온천 인근-137.2km,"60,000원",m
23,공주(동학사) 반디,4.6,계룡산 온천 인근-137.1km,"40,000원",m
24,공주 펀앤포크 호텔,4.6,공주 터미널 500m-124km,"39,800원",m
25,공주 블랙펄 호텔,4.7,공주 IC 차량 3분-124km,"40,000원",m
26,공주(동학사) J2 무인호텔,4.4,137.9km,"40,000원",m
27,공주 H,4.5,공주대학교 인근-125.2km,"30,000원",m
28,공주 콩,4.0,공주터미널 도보 5분-124.1km,"35,000원",m
29,공주(동학사) XYZ 무인텔,4.4,계룡산 온천 인근-137.1km,"40,000원",m
30,공주(마곡사) 더 마중,3.3,마곡사 인근-113.5km,"40,000원",m
31,공주 호텔 카이,4.9,공주IC 차량 5분-124.7km,"45,000원",m
32,공주 버킹검,4.8,"공주대학교, 공주터미널 인근-124.2km","35,000원",m
33,공주 칸,5.0,공주 IC 인근-124km,"40,000원",m
34,공주 수,4.4,공주 터미널 도보 5분-124.2km,"30,000원",m
35,공주 하얀성,4.5,공주 IC차량 10분-126.6km,"35,000원",m
36,공주 동명 모텔,3.7,공주터미널 인근-124.3km,"30,000원",m
37,공주(동학사) 갤러리,4.1,공주 동학사 인근-137.2km,"40,000원",m
38,공주(동학사) 띠아모,4.9,137.2km,"40,000원",m
39,세종 필사랑 무인텔,4.8,청원 IC -> 5분 거리-119.4km,"35,000원",m
40,세종 필 무인텔,4.7,119.4km,"35,000원",m
41,세종 수 무인텔,3.6,123.5km,"35,000원",m
42,세종 샤인,4.4,112.8km,예약마감,m
43,세종 시크릿,5.0,112.7km,예약마감,m
44,세종 로얄,4.4,110km,"30,000원",m
45,세종 카라,2.9,112.8km,"35,000원",m
46,세종 톰지,4.5,112.9km,"45,000원",m
47,세종 한빛파크,2.0,112.4km,"45,000원",m
48,공주(동학사) 호텔 궁 무인텔,4.9,137.2km,"40,000원",m
49,공주 OK 무인텔,3.0,124.2km,"50,000원",m
50,공주 굿나루,4.2,강북 교차로 인근-125.1km,"35,000원",m
51,공주 타이타닉,4.7,126.4km,"30,000원",m
52,공주 압구정,4.4,"공주IC, 공주터미널 인근-124km","30,000원",m
53,공주 아인하우스2,4.0,125.7km,"40,000원",m
54,공주 아인하우스1,3.5,125.8km,"50,000원",m
55,공주 와무인텔 (나동),5.0,112.7km,"43,000원",m
56,공주 유구 와무인텔(다동),3.5,113.9km,"45,000원",m
57,세종 썸,3.5,문곡교차로 인근-123.1km,"35,000원",m
58,세종 칸 무인텔,3.5,119.4km,예약마감,m
59,공주 폴라리스,4.0,124.3km,예약마감,m
60,공주(동학사) 에비앙 무인텔,3.0,137.1km,"50,000원",m
61,세종 잉카의 태양,3.9,동교삼거리 도보3분-101.7km,예약마감,m
62,공주 Q 무인텔,5.0,113.6km,"40,000원",m
63,공주(동학사) 발리,4.0,계룡산 온천 부근-137.2km,"39,000원",m
64,공주 앙상블 모텔,4.3,124km,"35,000원",m
65,호텔 공주,4.4,공주종합버스터미널 인근-124.1km,"55,000원",h
66,베스트웨스턴 플러스 호텔 세종,3.5,세종시 정부세종청사 근방-122.8km,"120,000원",h
67,공주(동학사) 계룡산 J2 호텔,4.4,동학사 500m-137.9km,"40,000원",h
68,공주 홍휘관 한옥스테이,5.0,공산성-124.5km,"80,000원",g
69,공주 게스트하우스 아인하우스 1호점,4.0,125.8km,"50,000원",g
70,공주 게스트하우스 아인하우스 2호점,4.0,125.6km,"60,000원",g
