,name,score,loc,lowest_price,category,loc2
0,당진 테마,4.0,당진교육청 인근-82.2km,"40,000원",m,당진
1,당진 블랑,4.7,송악 IC 인근-71.8km,"50,000원",m,당진
2,당진 뉴캐슬 호텔,4.8,71.8km,"50,000원",m,당진
3,당진 삽교천 스페인 무인텔,4.7,77.4km,"50,000원",m,당진
4,당진 두바이,4.6,송악 IC 인근-72.4km,"40,000원",m,당진
5,당진 아리아,4.2,송악 IC 방면-72.3km,"40,000원",m,당진
6,당진 xo 무인호텔,4.7,송악 IC 인근-72.1km,"50,000원",m,당진
7,당진 S 무인호텔,4.6,당진시청 앞-81.1km,"50,000원",m,당진
8,당진 위너스,4.6,당진 시외버스터미널 인근-79.7km,"50,000원",m,당진
9,당진 블루 호텔,4.6,삽교 유원지-77.4km,"50,000원",m,당진
10,당진 삽교호비치파크,4.4,삽교 유원지-77.1km,"50,000원",m,당진
11,당진 무인 모텔,4.2,당진 IC 인근-78.4km,"35,000원",m,당진
12,당진 하루,4.5,삽교천 유원지 주차장 인근 600m-77.6km,"40,000원",m,당진
13,당진 시티호텔,4.8,당진시청 앞-81.1km,"60,000원",m,당진
14,당진 스카이,4.1,당진세무서 인근-81.1km,"45,000원",m,당진
15,당진 짬,4.5,송악 IC 인근-71.7km,"50,000원",m,당진
16,당진 돌체,4.5,세무서 인근-81.1km,"50,000원",m,당진
17,당진 로얄,4.4,당진 시청 차량 5분-78.3km,"35,000원",m,당진
18,당진 인피니티,4.5,당진 시외버스터미널 인근-79.6km,"50,000원",m,당진
19,당진 꿈의궁전,4.4,당진종합병원 인근-78.3km,"35,000원",m,당진
20,당진 힐링 무인텔,4.6,삽교 유원지-77.3km,"50,000원",m,당진
21,당진 J,3.5,당진시네마 도보 2분 위치-81km,"45,000원",m,당진
22,당진 자우리,4.1,당진시청 12Km-73.3km,예약마감,m,당진
23,당진 A 호텔,4.4,삽교 IC인근-71.6km,"40,000원",m,당진
24,당진 동원,4.6,78.3km,"35,000원",m,당진
25,당진(삽교천) 스카이무인텔,4.9,77.4km,"50,000원",m,당진
26,당진 M부띠끄,3.9,80.7km,"40,000원",m,당진
27,당진 리모텔,3.9,80.3km,"50,000원",m,당진
28,당진 삽교(송악) S,3.5,72km,예약마감,m,당진
29,당진 W,4.4,69.2km,"50,000원",m,당진
30,당진 탑 모텔,3.5,78km,예약마감,m,당진
31,당진 샾,4.4,72.4km,"50,000원",m,당진
32,당진 관광호텔,3.5,78km,예약마감,m,당진
33,당진 대원모텔,5.0,78.4km,"35,000원",m,당진
34,당진 예그린,3.7,서정초등학교 건너편 도보 5분-79.4km,"40,000원",m,당진
35,당진Q호텔,3.5,71.4km,예약마감,m,당진
36,당진 츄리,3.5,81.2km,예약마감,m,당진
37,자우리호텔 당진점,4.5,당진시 석문면-73.3km,예약마감,h,당진
