,name,score,loc,lowest_price,category,loc2
0,보령(대천) 아리아 호텔,4.8,140.2km,예약마감,m,보령/대천해수욕장
1,보령(대천) 러빙무인텔,4.5,144.6km,"50,000원",m,보령/대천해수욕장
2,보령(대천) 타임모텔,4.3,144.8km,"30,000원",m,보령/대천해수욕장
3,보령(대천) 노바,4.1,144.8km,"30,000원",m,보령/대천해수욕장
4,보령(대천) 본가야 호텔 무인텔,4.1,대천해수욕장 분수광장 인근-144.9km,"40,000원",m,보령/대천해수욕장
5,보령(대천) 드라마,4.3,대천 해수욕장 분수광장 인근-144.9km,"40,000원",m,보령/대천해수욕장
6,보령(대천) 향기 펜션텔,4.7,대천해수욕장 분수광장 인근-144.9km,"39,000원",m,보령/대천해수욕장
7,보령(대천) e호텔,4.4,145km,"35,000원",m,보령/대천해수욕장
8,보령(대천) 블루,4.4,대천해수욕장 분수광장 인근 -145km,"35,000원",m,보령/대천해수욕장
9,보령(대천) J 비치텔,3.6,대천해수욕장 10m앞-145km,"30,000원",m,보령/대천해수욕장
10,보령(대천) 래미안,4.5,대천해수욕장 도보 1분-145.1km,"30,000원",m,보령/대천해수욕장
11,보령(대천) 아일랜드 호텔,4.3,대천해수욕장 인근-145.3km,"50,000원",m,보령/대천해수욕장
12,보령(대천) 준 무인텔,4.9,145.6km,"50,000원",m,보령/대천해수욕장
13,보령(대천) 우리비치,4.4,145.6km,"30,000원",m,보령/대천해수욕장
14,보령(대천) 골든비치,4.4,145.6km,"30,000원",m,보령/대천해수욕장
15,"보령(대천) 파라다이스 펜션,모텔",4.0,146.2km,"35,000원",m,보령/대천해수욕장
16,보령(대천) 이프,4.6,대천 해수욕장 신광장 인근-146.2km,"30,000원",m,보령/대천해수욕장
17,보령(대천) 파인,4.3,대천 해수욕장 신광장 인근-146.2km,"30,000원",m,보령/대천해수욕장
18,보령(대천) 코코넛 모텔,4.6,146.2km,"40,000원",m,보령/대천해수욕장
19,보령(대천) 1820,4.5,145.6km,"40,000원",m,보령/대천해수욕장
20,보령(대천) 샤인,4.5,146.2km,"70,000원",m,보령/대천해수욕장
21,보령(대천) 하얀모텔,3.5,대천해수욕장 도보 1분거리-145.7km,예약마감,m,보령/대천해수욕장
22,보령(대천) 산호비치호텔,3.8,대천해수욕장 도보 1분거리-146.1km,"40,000원",m,보령/대천해수욕장
23,보령 광개토호텔,5.0,144.8km,"60,000원",m,보령/대천해수욕장
24,보령(대천) 환상의바다,4.3,144.5km,"40,000원",m,보령/대천해수욕장
25,보령(대천) HOTEL BOM,4.6,145.1km,"35,000원",m,보령/대천해수욕장
26,보령(대천) 리버사이드 호텔,4.6,139.8km,예약마감,m,보령/대천해수욕장
27,보령(대천) 힐링,4.1,146.2km,"40,000원",m,보령/대천해수욕장
28,보령(대천) 조아 모텔,3.6,139.7km,"40,000원",m,보령/대천해수욕장
29,보령(대천) 데이나이스 호텔,4.8,145.5km,"88,000원",m,보령/대천해수욕장
30,보령(대천) 베누스,4.0,대천해수욕장 분수광장 앞-144.8km,"30,000원",m,보령/대천해수욕장
31,보령(대천) W 부띠크호텔,4.6,140.2km,예약마감,m,보령/대천해수욕장
32,보령(무창포) 스타 무인텔,4.9,충남보령시  웅천읍  관당리 826-1 제4공영주차장앞 스타무인텔-152.8km,"50,000원",m,보령/대천해수욕장
33,보령(대천) 해수,4.6,145.1km,"30,000원",m,보령/대천해수욕장
34,보령(대천) 산타나,4.5,대천해수욕장 분수광장 인근 -144.9km,"50,000원",m,보령/대천해수욕장
35,보령(대천) QQ모텔,4.7,보령소방서 인근-139km,"45,000원",m,보령/대천해수욕장
36,보령(대천) 산수유 무인텔,3.8,136.2km,"40,000원",m,보령/대천해수욕장
37,보령(대천) 낙원비치텔,3.5,대천해수욕장 도보5분-145.7km,"25,000원",m,보령/대천해수욕장
38,보령(대천) 호텔 로하스,3.6,145.3km,"80,000원",m,보령/대천해수욕장
39,보령(무창포) 환타지아,5.0,무창포해수욕장-152.7km,"60,000원",m,보령/대천해수욕장
40,보령(무창포) 비치,3.7,무창포 해변 인근-152.8km,"40,000원",m,보령/대천해수욕장
41,보령(대천) 칸 무인텔,5.0,144.6km,"50,000원",m,보령/대천해수욕장
42,보령(대천) 피카소,4.1,139.8km,"40,000원",m,보령/대천해수욕장
43,보령 호텔뷰,4.6,126.1km,"55,000원",m,보령/대천해수욕장
44,보령(대천) JI호텔(신관),4.6,145.2km,"58,000원",m,보령/대천해수욕장
45,보령(대천) 323콘도,4.6,145km,"50,000원",m,보령/대천해수욕장
46,보령(대천) 와와 드라이브인 무인텔,5.0,134.4km,"60,000원",m,보령/대천해수욕장
47,보령(대천) 탑,4.3,139.9km,"33,000원",m,보령/대천해수욕장
48,보령(대천) 그랜드,4.8,146.1km,"50,000원",m,보령/대천해수욕장
49,보령(대천) 씨에프,3.5,대천해수욕장 도보5분-145.5km,"30,000원",m,보령/대천해수욕장
50,보령(대천) 하이야,3.5,146.1km,"30,000원",m,보령/대천해수욕장
51,보령(대천) 경동모텔,3.5,대천해수욕장 도보5분-145.6km,"30,000원",m,보령/대천해수욕장
52,보령(대천) K 호텔,3.5,145.2km,예약마감,m,보령/대천해수욕장
53,보령 퀸모텔,4.0,141.6km,"40,000원",m,보령/대천해수욕장
54,보령(대천) 삼은,3.3,대천해수욕장 도보 5분 거리-145.9km,"30,000원",m,보령/대천해수욕장
55,대천 환상의 바다 리조트,4.3,대천해수욕장 도보 10분-144.5km,"40,000원",h,보령/대천해수욕장
56,대천 메리머드 호텔,4.7,대천해수욕장 도보 1분-145.5km,"85,000원",h,보령/대천해수욕장
57,대천 머드비치 호텔,4.5,대천해수욕장 도보 2분-145.4km,"66,000원",h,보령/대천해수욕장
58,호텔 테라마르,4.1,무창포해수욕장 도보 1분-152.8km,"75,000원",h,보령/대천해수욕장
59,대천 데이나이스 호텔,4.6,대천해수욕장 도보 1분-145.6km,"80,000원",h,보령/대천해수욕장
60,호텔 머드린,4.5,보령시 대천해수욕장 1분거리-145.4km,"75,000원",h,보령/대천해수욕장
61,대천 로하스호텔,4.2,대천해수욕장 대천해수욕장 앞-145.1km,"80,000원",h,보령/대천해수욕장
62,한화리조트 대천 파로스,4.6,대천해수욕장 400m-146.2km,"114,200원",h,보령/대천해수욕장
63,대천 제이아이호텔,4.4,대천해수욕장 도보 2분-145.2km,"58,000원",h,보령/대천해수욕장
64,대천 케이 호텔,4.0,해변 도보 1분-145.2km,"45,000원",h,보령/대천해수욕장
65,비체팰리스,4.5,무창포 해수욕장 무창포 해수욕장 도보 1분-153km,"107,350원",h,보령/대천해수욕장
66,대천 우연플로라 호텔,4.9,머드광장 도보 4분-145.5km,"100,000원",h,보령/대천해수욕장
67,보령 베이스 리조트,4.4,보령시청 차량 4분 거리-141km,"76,471원",h,보령/대천해수욕장
68,호텔 마스타 대천,3.0,대천해수욕장 도보 1분-146km,예약마감,h,보령/대천해수욕장
69,대천 제니스 호텔,3.5,보령시 대천해수욕장 635m-144.5km,예약마감,h,보령/대천해수욕장
70,보령 환상의바다리조트,4.2,144.5km,"54,000원",f,보령/대천해수욕장
71,보령(대천) 피터팬펜션,4.5,144.9km,"45,000원",f,보령/대천해수욕장
72,보령(대천) 보헤미안펜션,3.5,145.5km,"59,000원",f,보령/대천해수욕장
73,보령(대천) 달빛아래펜션,4.9,145.6km,"60,000원",f,보령/대천해수욕장
74,보령(대천) 도로시펜션,4.7,145.6km,예약마감,f,보령/대천해수욕장
75,보령 대천스토리펜션,4.5,145.6km,"49,000원",f,보령/대천해수욕장
76,보령(대천) 비치팰리스펜션,4.6,145.7km,"40,000원",f,보령/대천해수욕장
77,보령(대천) 준펜션,4.4,144.8km,"45,000원",f,보령/대천해수욕장
78,보령(대천) 비치스토리펜션,4.8,145.6km,"60,000원",f,보령/대천해수욕장
79,보령(대천) 카카오스토리펜션,4.9,145.6km,"55,000원",f,보령/대천해수욕장
