,name,score,loc,lowest_price,category,loc2
0,서천 금강비치,4.8,금강하굿둑 관광지 도보 5분-174.9km,"25,000원",m,서천/부여
1,서천 샵,4.5,철새공원 부근-175.9km,"30,000원",m,서천/부여
2,서천 택시,4.6,"금강하굿둑 차량 1분, 동백대교 차량 1분-176.1km","35,000원",m,서천/부여
3,부여 K,4.2,부여부량사 인근-142.8km,"33,000원",m,서천/부여
4,서천 달이 빛나는 밤에 호텔,4.6,금강 하굿둑 관광지 차량 이용 2분거리-175.9km,"40,000원",m,서천/부여
5,서천 휴,4.8,춘장대해수욕장-160.3km,"50,000원",m,서천/부여
6,서천 호텔카몬,4.6,175.5km,"50,000원",m,서천/부여
7,부여 수 모텔,3.3,부여 시외버스터미널 인근-143.9km,"35,000원",m,서천/부여
8,부여 프린스,5.0,부여 시외버스터미널 인근-143.7km,"60,000원",m,서천/부여
9,부여 센스온,4.5,부여 터미널 인근-144.2km,"40,000원",m,서천/부여
10,부여 고란초,4.1,부여 시외버스터미널 인근-144.1km,"35,000원",m,서천/부여
11,부여 무인텔 골프,4.9,부여아울렛 인근-139.9km,"50,000원",m,서천/부여
12,부여 명진,4.6,부여 영일루 인근-143.7km,"40,000원",m,서천/부여
13,부여 문스톤,3.8,부여 정림사지 인근-144.2km,"40,000원",m,서천/부여
14,서천 비치텔,5.0,163.9km,"50,000원",m,서천/부여
15,서천 개비온(Gabion) 무인텔+유인텔,4.6,161.8km,"120,000원",m,서천/부여
16,부여 피크장,4.2,144.4km,"34,000원",m,서천/부여
17,부여 홍산 삼층여관,4.9,한국식품마이스터 고등학교 인근-152.3km,"40,000원",m,서천/부여
18,부여 파라다이스,3.5,부여시외버스터미널 인근-144.2km,예약마감,m,서천/부여
19,서천 메이퀸,5.0,175.1km,"50,000원",m,서천/부여
20,부여 주무시5,3.5,부여 시외버스터미널 인근-144.1km,"100,000원",m,서천/부여
21,부여 발리하우스,3.5,144.3km,예약마감,m,서천/부여
22,서천 프로포즈,3.5,173.4km,"40,000원",m,서천/부여
23,서천 달이빛나는밤에 호텔,4.2,장항버스공용정류장 차량 5분-175.9km,"42,000원",h,서천/부여
24,롯데리조트 부여,4.6,부여군 규암면-141.4km,"124,280원",h,서천/부여
25,서천 춘장대하얀펜션,4.0,163km,"150,000원",f,서천/부여
26,부여 진달래관광농원펜션,4.6,154.4km,"40,000원",f,서천/부여
27,서천 해양글램핑펜션,3.5,163.8km,"99,000원",f,서천/부여
28,서천 별빛정원펜션,5.0,166.9km,"100,000원",f,서천/부여
29,서천 해뜨는비치하우스펜션,4.0,163.2km,"90,000원",f,서천/부여
30,서천 빨간풍차아띠앙펜션,4.3,166.9km,"65,000원",f,서천/부여
31,서천 바다의아침펜션,5.0,166.3km,"80,000원",f,서천/부여
32,부여 파크아트빌라스,4.4,140.1km,"107,000원",f,서천/부여
33,부여 전통한옥펜션,5.0,141.1km,"90,000원",f,서천/부여
34,서천 파인트리글램핑,4.5,162.9km,"80,000원",f,서천/부여
35,서천 춘장대해밀펜션,4.7,161.2km,"140,000원",f,서천/부여
36,부여 백마강레저파크,4.2,141.6km,"100,000원",f,서천/부여
37,서천 바다향기펜션,5.0,167.1km,"40,000원",f,서천/부여
38,서천 라온펠리스펜션,4.4,161.1km,"60,000원",f,서천/부여
39,부여 글램핑판,4.5,155.9km,"89,000원",f,서천/부여
40,부여 전통한옥스테이,3.5,"백마강, 부소산성 인근-141.1km","100,000원",g,서천/부여
