,name,score,loc,lowest_price,category
0,아산 베르사체,5.0,87.8km,"40,000원",m
1,아산 카네기,4.2,아산시외버스터미널 도보3분-88.4km,"35,000원",m
2,아산 타임,4.7,90.5km,"45,000원",m
3,아산 더자라,4.2,90.6km,"40,000원",m
4,아산 도고온천 카라무인텔,4.9,90.7km,"50,000원",m
5,아산 힐스타파크,4.4,온양온천역-88.6km,"40,000원",m
6,아산 럭키,4.2,88.6km,"30,000원",m
7,아산 피렌체,4.5,80.1km,"30,000원",m
8,아산 리무진,4.8,88.2km,"40,000원",m
9,아산 E-PLUS,4.4,아산시 최우수 숙박업소 선정-89.8km,"55,000원",m
10,아산 오늘 무인텔,4.5,80.1km,"30,000원",m
11,아산 샹그리아,4.5,88.8km,"40,000원",m
12,아산 아모르,4.7,88.7km,"35,000원",m
13,아산 月 (월),4.7,87.7km,"45,000원",m
14,아산 다우스무인텔,4.6,88.6km,"40,000원",m
15,아산 이틀,4.7,88.8km,"40,000원",m
16,아산 호텔 큐브,4.6,88.5km,"40,000원",m
17,아산 호텔 AM,4.8,87.7km,"45,000원",m
18,아산 첼시,4.4,88km,"40,000원",m
19,아산 마리나호텔,4.5,84.4km,"40,000원",m
20,아산 금강,4.6,88.2km,"40,000원",m
21,아산 J,3.7,배방지구대 인근-89.7km,예약마감,m
22,아산 화이트텔,4.7,88.3km,"40,000원",m
23,아산 하얏트,3.9,온천동 주민센터 인근-88km,"27,000원",m
24,아산 산수 호텔,4.6,88.7km,"40,000원",m
25,아산 썸 무인텔,4.4,80.3km,"50,000원",m
26,아산 나비,4.4,88.4km,"45,000원",m
27,아산 리오,4.7,88.2km,예약마감,m
28,아산 ING,3.5,88.5km,"30,000원",m
29,아산 스타무인텔,3.7,88.3km,"23,000원",m
30,아산 폭스 드라이브인모텔,4.6,아산온천 내 위치-80.4km,"30,000원",m
31,아산 행운,4.5,88.8km,"25,000원",m
32,아산 공간,4.2,89.7km,"40,000원",m
33,아산 시크릿 무인텔,4.4,80.1km,"30,000원",m
34,아산 온천스파밸리,5.0,아산스파비스 인근-80.3km,"30,000원",m
35,아산 포유 무인텔,4.9,80.2km,"30,000원",m
36,아산 오페라,4.6,90.6km,"40,000원",m
37,아산 크리스탈,4.4,80.2km,"35,000원",m
38,아산 소풍,4.9,81.7km,"30,000원",m
39,아산 온천 리베라,4.0,아산 스파비스 인근-80.4km,"33,000원",m
40,아산 필 모텔,4.2,90.4km,"40,000원",m
41,아산 잉카의 모텔,3.0,88.4km,"40,000원",m
42,아산 시그너스 호텔,4.7,73.7km,예약마감,m
43,아산 투스카니,2.0,아산스파비스 인근-80.1km,"40,000원",m
44,아산 웨스턴,3.8,80.3km,"29,000원",m
45,아산 테마파크모텔,3.5,84.9km,"100,000원",m
46,아산 레인보우,3.5,아산캠프랜드에서 도보 5분-80.2km,"40,000원",m
47,아산 레드 하우스,3.5,아산스파비스 인근-80.2km,"30,000원",m
48,아산 AS,5.0,88.2km,"30,000원",m
49,아산 수,4.3,80.2km,"35,000원",m
50,아산 명품도고 무인텔,4.5,90.6km,"50,000원",m
51,아산 팜스프링,3.5,아산스파비스 옆 도보1분-80.2km,"100,000원",m
52,아산 만인,5.0,아산 스파비스 부근-80.2km,"30,000원",m
53,아산 그린,3.5,91.7km,"100,000원",m
54,아산 월드파크,3.5,88.4km,"30,000원",m
55,아산 디데이,3.5,87.8km,"30,000원",m
56,아산 터미널 스카이,3.0,아산시외터미널 5분 이내 -88.4km,"30,000원",m
57,아산 엘 모텔,5.0,73.4km,예약마감,m
58,아산 알프스모텔,3.5,88.9km,"35,000원",m
59,아산 아산모텔,3.4,88.2km,"30,000원",m
60,아산 베니스,4.9,91.7km,"30,000원",m
61,아산 백악관,3.5,80.3km,"35,000원",m
62,아산 블루,3.5,91.7km,"35,000원",m
63,아산 세이,5.0,87.7km,"40,000원",m
64,아산 머루,3.5,88.1km,"35,000원",m
65,슈어스테이플러스호텔 by 베스트웨스턴 아산,4.0,천안아산역 근방 천안아산역 차량 15분 거리-87.3km,"72,000원",h
66,더위트도고(구BS도고콘도),4.2,도고온천역 장항선 차량 7분-90.8km,"47,000원",h
67,도고 엘림 가족탕 온천호텔,3.8,도고온천역 차량 약 5분-90.4km,"50,000원",h
68,온양 헤링턴 호텔,4.3,온양온천역 740m-88.4km,"56,000원",h
69,온양 제일호텔,4.2,온양온천역 약 500m-88.5km,"78,400원",h
70,온양 관광호텔,4.1,아산시 온양온천역-88.3km,"78,400원",h
