,name,score,loc,lowest_price,category,loc2
0,예산 자자호텔,4.6,예산 운전면허시험장 근처-99.9km,"50,000원",m,예산/홍성
1,홍성 듀오 드라이브인,4.5,113.3km,"50,000원",m,예산/홍성
2,예산 류호텔,4.8,94.1km,"45,000원",m,예산/홍성
3,예산 라스베가스,4.7,"공주대 예산캠퍼스 부근,백종원 만남의광장-100.1km",예약마감,m,예산/홍성
4,예산 신원파크텔,3.8,예산 신례원역 차량 2분거리-94.3km,"35,000원",m,예산/홍성
5,홍성 쥴리아,4.0,111km,"40,000원",m,예산/홍성
6,예산 오렌지토마토 무인텔,4.9,예당저수지 출렁다리 차량 7분-104.2km,"40,000원",m,예산/홍성
7,홍성(내포) TG무인텔,4.7,104.8km,"50,000원",m,예산/홍성
8,예산 A2 호텔 디자이너스,4.6,101.5km,"60,000원",m,예산/홍성
9,예산(내포) A+ 무인텔 Drive-in,4.5,충남도청에서 차량 1KM-102.5km,"50,000원",m,예산/홍성
10,예산 m1 무인텔,4.6,"리솜스파캐슬2분,수덕사7분,내포신도시5분-101.8km","50,000원",m,예산/홍성
11,예산 가루실모텔,4.5,105.2km,"26,000원",m,예산/홍성
12,홍성 카네기,4.6,111.1km,예약마감,m,예산/홍성
13,예산 스파뷰,4.6,리솜스파캐슬 인근-101.8km,"79,000원",m,예산/홍성
14,홍성(남당항) 오션판타지,4.0,121km,"42,000원",m,예산/홍성
15,예산 JJ 무인텔 Drive-in,4.6,"리솜스파캐슬2분,수덕사7분,내포신도시5분-101.9km","50,000원",m,예산/홍성
16,홍성 H,4.2,110.8km,"37,000원",m,예산/홍성
17,홍성(내포) 용봉산 휴 드림 무인텔,4.6,106.9km,"50,000원",m,예산/홍성
18,예산(덕산)온천T호텔,4.8,한서대 약 10분(차량)-101.9km,"50,000원",m,예산/홍성
19,홍성 솔밭천수,3.6,122km,"50,000원",m,예산/홍성
20,홍성 준,5.0,116.6km,"40,000원",m,예산/홍성
21,홍성 뉴월드,4.3,121.6km,"40,000원",m,예산/홍성
22,홍성온천관광호텔&스파,3.5,111.4km,예약마감,m,예산/홍성
23,예산 spa텔,3.7,99.9km,"40,000원",m,예산/홍성
24,홍성 소풍 무인텔,4.5,107.6km,"50,000원",m,예산/홍성
25,예산 임페리얼,5.0,105.1km,"50,000원",m,예산/홍성
26,홍성 캐슬,3.5,105.8km,예약마감,m,예산/홍성
27,예산 코렉스,3.5,96.7km,"40,000원",m,예산/홍성
28,홍성(남당항) 동양,3.4,121.7km,"40,000원",m,예산/홍성
29,예산 에이스,4.5,100.1km,예약마감,m,예산/홍성
30,예산 숲속모텔,5.0,리솜스파캐슬 인근-102.3km,예약마감,m,예산/홍성
31,홍성 조이 모텔,4.0,홍성 백월산 용화사입구 위치-110.7km,"40,000원",m,예산/홍성
32,예산 그랜드모텔,4.8,94.9km,"35,000원",m,예산/홍성
33,예산 보보스,4.8,99.9km,"40,000원",m,예산/홍성
34,예산 스파 모텔,2.0,101.4km,"40,000원",m,예산/홍성
35,예산(예당지) 라노스,4.0,예당호중앙생태공원 도보 5분-108.3km,"40,000원",m,예산/홍성
36,덕산 스파뷰호텔,4.4,덕산 온천단지 내 리솜 스파캐슬 5분 거리-101.8km,"79,000원",h,예산/홍성
37,스플라스 리솜,4.8,예산군 리솜스파캐슬덕산-101.4km,"118,270원",h,예산/홍성
38,티호텔,3.5,덕산 윤봉길의사 기념관 근처-101.9km,"55,000원",h,예산/홍성
