,name,score,loc,lowest_price,category
0,천안(신부동) 숲 호텔,4.8,신세계백화점 3분 / 천안 IC 1분-86km,"30,000원",m
1,천안 E,4.8,"신세계백화점 3분,천안IC 1분거리-86.3km","35,000원",m
2,천안 잠,4.8,86.4km,"40,000원",m
3,천안 힐튼,4.5,천안 종합터미널 도보5분거리-86.4km,"30,000원",m
4,천안 에이원,4.9,신세계백화점 도보2분-86.4km,"40,000원",m
5,천안 탑클라우드호텔,4.7,간편조식제공 및 전객실 넷플릭스-87.2km,"40,000원",m
6,천안 와,4.3,천안역 2번출구 5분 거리-87.3km,"30,000원",m
7,천안 브라운도트 천안사직점,4.9,천안 (구)국빈관 나이트 앞-88km,"35,000원",m
8,천안 캘리포니아,4.5,종합터미널 3분거리-86.4km,"30,000원",m
9,천안 그린힐,4.9,92.2km,예약마감,m
10,천안 CN 무인텔,4.4,86.1km,예약마감,m
11,천안 피아노,5.0,천안역 인근-88km,"28,000원",m
12,천안 원플러스,4.3,92.4km,"45,000원",m
13,천안 스타 무인텔,3.9,94.9km,"40,000원",m
14,천안 호텔박스 터미널점,4.7,86.4km,"35,000원",m
15,천안 호텔체크인,4.5,"천안역 도보1분, 천안CGV 도보30초-87.4km","35,000원",m
16,천안 프라임,4.3,86.4km,"30,000원",m
17,천안 호텔캄캄,4.8,신세계백화점 3분거리-86.4km,"45,000원",m
18,천안 KS HOTEL 천안역점,4.1,천안역 1번출구 도보5분-87.5km,"35,000원",m
19,천안 파르페,4.6,"신세계백화점, 터미널 도보 3분-86.4km","35,000원",m
20,천안 터미널 G7,4.7,천안터미널 도보 5분-86.5km,"30,000원",m
21,천안 소륜 무인호텔,4.5,"천안역IC 1분, 신세계백화점 3분-86km","30,000원",m
22,천안 썬(SUN),4.4,상명대학교 천안캠퍼스 인근-85.4km,"25,000원",m
23,천안 명품무인호텔 뮤즈,4.8,94.8km,"40,000원",m
24,천안 터미널 꼬모도,4.9,천안터미널 도보 5분-86.4km,"25,000원",m
25,천안 나비아,4.4,천안 종합터미널 인근-86.4km,"30,000원",m
26,천안 A & JS,4.6,86.5km,"30,000원",m
27,천안 U Design,4.9,90.3km,"60,000원",m
28,천안 왈츠,4.5,86.4km,"35,000원",m
29,천안 벅스79,4.7,86.4km,"26,600원",m
30,천안 허니문,4.3,87.3km,"30,000원",m
31,천안 엠파이어,4.6,85.4km,"30,000원",m
32,천안 폴라리스 무인텔,5.0,94.1km,"60,000원",m
33,천안 세이,3.8,87.3km,"25,000원",m
34,천안 쿨피스 무인텔,4.8,94.8km,"40,000원",m
35,천안 태조,4.5,상명대학교 천안캠퍼스 인근-85.6km,"35,000원",m
36,천안 C,5.0,천안 TG인근-86km,"30,000원",m
37,천안 로사,4.9,"호서대, 상명대, 단국대, 백석대 10분거리-87km","30,000원",m
38,천안 보타닉,4.7,92.4km,"40,000원",m
39,천안 엘리제궁,4.1,천안IC 1분거리-85.9km,"25,000원",m
40,천안 썸,3.9,봉명역 5분거리-87.3km,"25,000원",m
41,천안 리운모텔,4.3,87.2km,"40,000원",m
42,천안 화이트캐슬,4.4,87.2km,"25,000원",m
43,천안 러블리,4.7,"천안IC 30초,신세계백화점 2분거리-85.9km","30,000원",m
44,천안 시크릿,4.7,86.4km,"25,000원",m
45,천안 무지개 모텔,3.5,95.9km,"40,000원",m
46,천안 B호텔,3.3,충무로 남부오거리 부근-88.3km,"50,000원",m
47,천안 라마다파크,5.0,"천안 IC 1분거리, 신세계백화점 5분거리-85.9km","25,000원",m
48,목천 HOTEL 렉시,3.5,신계교차로 인근-92.1km,"45,000원",m
49,탑클라우드 호텔 천안,4.6,천안종합운동장 차량 12분-87.2km,"47,000원",h
50,더메인즈호텔(The Mains Hotel),4.8,동천안우체국 도보 3분-90.3km,"59,000원",h
51,호텔 캄캄,4.8,천안역 차량 10분-86.4km,"45,000원",h
52,천안 유디자인 호텔,4.7,천안역 차량 10분거리-90.3km,"70,000원",h
53,소노벨 천안(구 천안 대명리조트),4.3,천안시 천안종합휴양관광지-94.4km,"84,000원",h
54,천안 메트로 호텔,4.5,천안역 도보 3분-87.1km,"56,820원",h
