,name,score,loc,lowest_price,category,loc2
0,서산 대산 호텔 집,4.5,84.1km,"70,000원",m,태안/안면도/서산
1,서산 대산 골든 비지니스 호텔,4.5,84.2km,"50,000원",m,태안/안면도/서산
2,서산 라온 무인텔,4.8,94km,"50,000원",m,태안/안면도/서산
3,서산 톡 무인텔,4.8,96.5km,"50,000원",m,태안/안면도/서산
4,서산 펀앤포크 호텔,4.7,98.5km,"50,000원",m,태안/안면도/서산
5,서산 보보호텔,4.8,98.8km,"55,000원",m,태안/안면도/서산
6,서산 네오텔,4.0,98.9km,"40,000원",m,태안/안면도/서산
7,서산 타임호텔,4.7,서산 호수공원에서 도보 5분-98.9km,"50,000원",m,태안/안면도/서산
8,서산 아이리스 호텔,4.4,98.9km,"40,000원",m,태안/안면도/서산
9,서산 브라운도트 서산호수공원점,4.7,서산 호수공원 도보 3분-99km,"60,000원",m,태안/안면도/서산
10,서산 명품 무인텔,4.9,서산시내 5분 서산해미 7분거리-104.1km,"50,000원",m,태안/안면도/서산
11,태안 잉카의 작은마을,4.3,만리포해수욕장 18Km / 현대더링스CC 5.3Km / 현대솔라고CC 8.1Km-104.3km,"35,000원",m,태안/안면도/서산
12,태안 라티에라테라스 골프빌리지,3.5,109.8km,"160,000원",m,태안/안면도/서산
13,태안 파밀리에 부티크 호텔,4.4,111.5km,"76,000원",m,태안/안면도/서산
14,태안 안면도(창리)씨 무인텔+유인텔,4.6,117.4km,"37,000원",m,태안/안면도/서산
15,태안 S 무인텔(유인텔),4.8,세스코(CESCO)정제휴점 / 버드랜드 차량 5분! 눌러서 위치확인-117.5km,"40,000원",m,태안/안면도/서산
16,안면도 오페라 하우스,4.2,123.5km,"80,000원",m,태안/안면도/서산
17,안면도 해송,4.6,121.6km,"40,000원",m,태안/안면도/서산
18,서산 노벰버,4.8,98.9km,예약마감,m,태안/안면도/서산
19,안면도 오슈,4.7,안면도쥬라기공원 15분 거리-121.6km,"40,000원",m,태안/안면도/서산
20,서산 더자라 무인텔(drive-in),4.7,101.8km,예약마감,m,태안/안면도/서산
21,서산 알레호텔,4.6,97.2km,"50,000원",m,태안/안면도/서산
22,태안(신진도) 제이드 리조텔,4.9,122.5km,예약마감,m,태안/안면도/서산
23,태안 신진도 리츠캐슬 리조트,4.8,122.6km,"60,000원",m,태안/안면도/서산
24,안면도 썬비치 호텔,4.4,130.4km,"60,000원",m,태안/안면도/서산
25,안면도 오션비치 MOTEL,4.2,"안면도수산시장, 꽃지해변 차량 3분-130.4km","50,000원",m,태안/안면도/서산
26,태안 말리호텔&리조트,4.2,112.7km,"66,000원",m,태안/안면도/서산
27,태안 하나 모텔,4.5,태안 터미널 인근-107.9km,"60,000원",m,태안/안면도/서산
28,서산 아리아 호텔,4.6,서산호수공원 도보 3분-98.9km,"55,000원",m,태안/안면도/서산
29,서산 헬로 호텔,4.8,호수공원에서 도보 5분거리-98.9km,"60,000원",m,태안/안면도/서산
30,서산 프리마,4.7,98.8km,"45,000원",m,태안/안면도/서산
31,서산 드칼레,4.6,98.7km,"50,000원",m,태안/안면도/서산
32,서산 타임무인텔 (팔봉),4.7,101.4km,"50,000원",m,태안/안면도/서산
33,태안(만리포) 씨싸이드캐슬,4.2,113.2km,"40,000원",m,태안/안면도/서산
34,태안 세븐무인텔,4.8,118.6km,"60,000원",m,태안/안면도/서산
35,서산 호텔,4.5,98.6km,"40,000원",m,태안/안면도/서산
36,서산(대산) 자자호텔,4.9,84.1km,"60,000원",m,태안/안면도/서산
37,서산 대산호텔,4.8,대산 종합시장 인근-84.2km,"55,000원",m,태안/안면도/서산
38,서산(대산) 박스,4.6,84.4km,예약마감,m,태안/안면도/서산
39,태안(안면도) 럭스펜션텔,4.0,안면도 백사장 1분거리 -123.5km,"45,000원",m,태안/안면도/서산
40,서산 SKY HOTEL,4.5,98.9km,"50,000원",m,태안/안면도/서산
41,태안(만리포) 리베라,4.6,112.7km,"40,000원",m,태안/안면도/서산
42,서산(대산) 별밤,4.5,대산시내 위치 -84.3km,"40,000원",m,태안/안면도/서산
43,태안(만리포) 수비치 캐슬,4.2,112.9km,"50,000원",m,태안/안면도/서산
44,서산 VIP,4.0,대산읍사무소 인근-84.2km,"55,000원",m,태안/안면도/서산
45,서산 썬모텔,4.4,98.6km,"30,000원",m,태안/안면도/서산
46,서산(대산) 그린호텔,4.5,84.5km,"45,000원",m,태안/안면도/서산
47,서산 (대산) 몽 호텔,4.1,대산고등학교 인근-84.3km,"50,000원",m,태안/안면도/서산
48,서산(대산) 모던 호텔,4.8,84.1km,예약마감,m,태안/안면도/서산
49,태안 수룡,4.1,수룡레저 낚시터 부근-111.4km,"30,000원",m,태안/안면도/서산
50,태안(꽃지) 델마,4.0,131km,"70,000원",m,태안/안면도/서산
51,태안 동문 모텔,4.2,108km,예약마감,m,태안/안면도/서산
52,태안 어썸칸,4.5,106.4km,"50,000원",m,태안/안면도/서산
53,서산 카네기,4.8,99km,"40,000원",m,태안/안면도/서산
54,태안 블루힐,4.3,107.6km,"40,000원",m,태안/안면도/서산
55,안면도 소라,2.3,안면도 -121.6km,"40,000원",m,태안/안면도/서산
56,서산 하이얀,3.5,89.8km,"40,000원",m,태안/안면도/서산
57,서산 백악관,4.8,98.9km,"35,000원",m,태안/안면도/서산
58,서산 에이스 드라이빙 무인텔,4.8,99.9km,"50,000원",m,태안/안면도/서산
59,태안 신진도 비치콘도모텔,4.1,122.8km,"40,000원",m,태안/안면도/서산
60,안면도 대한모텔,3.5,123.5km,예약마감,m,태안/안면도/서산
61,태안 (펜션형) 파인트리 무인텔,3.5,태안군청에서 차량 3분-109.3km,예약마감,m,태안/안면도/서산
62,안면도 오크빌,3.5,안면대교-121.2km,"50,000원",m,태안/안면도/서산
63,태안 만리포 호텔,4.3,112.3km,"50,000원",m,태안/안면도/서산
64,태안 해비치,4.0,108.9km,"40,000원",m,태안/안면도/서산
65,서산 필,4.0,98.7km,"40,000원",m,태안/안면도/서산
66,태안(몽산포) 탑,3.5,"주변명소-팜카밀레, 청산수목원, 쥬라기공원, 별주부마을-115.3km",예약마감,m,태안/안면도/서산
