,name,score,loc,lowest_price,category,loc2
0,대구 동천동 뉴오페라 (더케이),4.7,칠곡3지구 핫플레이스 이태원길 위치-230.3km,"40,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
1,대구 금호지구 C1 (씨원),4.6,하중도까지 차량 10분-232.2km,"50,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
2,대구 경북대 스위트호텔(Sweet Hotel),4.7,대현동유일!넷플릭스무료가능-237.8km,"35,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
3,대구 동천동 마이더스,4.5,주차걱정없는 넓은 주차장 보유-230km,"45,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
4,대구 동천동 브라운도트 대구동천점,3.5,GRAND OPEN 눌러서 위치보기-230km,예약마감,m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
5,대구 동천동 호텔A4,4.7,홈플러스칠곡점 인근위치 (위치보기)-230.1km,"45,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
6,대구 관음동 블리스,4.4,230.3km,"30,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
7,대구 동천동 스위트호텔(Sweet hotel),4.8,팔거역 도보 5분즉시 할인 쿠폰 제공-230.4km,"45,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
8,대구 태전동 디자인호텔 다옴,4.8, 유일! 넷플릭스이용 가능! (클릭)-232km,"50,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
9,대구 태전동 소호102,4.8,"대구엑스코,경북대 20분거리(위치보기)-232.1km","45,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
10,대구 금호지구 스위트호텔(sweet hotel),4.8,넷플릭스시청/조식 무료+사격장10분거리-232.3km,"35,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
11,대구 경북대 에코,4.4,237.1km,"30,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
12,대구 경북대 라인,4.6,238.3km,"35,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
13,대구 엑스코 글로리아,4.8,236.1km,"50,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
14,대구 태전동 칸&듀오,4.4,"매천역, 태전역 도보 5분 거리-232.1km","35,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
15,대구 태전동 2SOME(투썸),4.8,231.9km,"37,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
16,대구 동천동 글램(GLAM),4.7,230.4km,"45,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
17,대구 동천동 인카,4.7," 메가박스,CGV 5분거리  위치보기-230.5km","40,000원",m,대구역/칠성시장/경북대/엑스코/칠곡지구/태전동/금호지구
