,name,score,loc,lowest_price,category,loc2
0,대구 동촌 브라운도트 대구동촌유원지점,4.6,"대구 동촌유원지, 눌러서 위치보기-240.7km","50,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
1,대구 혁신도시 JB관광호텔,4.7,경북지방병무청 차량 6분-243.3km,"60,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
2,대구 혁신도시 인스타,4.7,롯데아울렛 율하점 5분 거리-243.3km,"50,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
3,대구 혁신도시 WS HOTEL,4.7,롯데아울렛 율하점 5분-243.3km,"50,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
4,대구 팔공산 스타탄생 1실 1주차,4.7,파계사 도보 10분거리-230.7km,"30,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
5,대구 동촌유원지 갤러리호텔,4.5,동대구역 약 3km-240.7km,"50,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
6,대구 동촌유원지 SG호텔,4.6,동촌유원지 도보1분 눌러서 위치보기-241.2km,"50,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
7,대구 혁신도시 아마레,4.8,"#혁신도시, 동대구 IC 근처-243.3km","60,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
8,대구 혁신도시 이노밸리,4.7,#혁신도시공단내 눌러서위치보기-243.4km,"50,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
9,대구 방촌 스위트,4.1,방촌역 초인근 (위치보기)-242.1km,"25,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
10,대구 팔공산 짜라호텔,4.6,갓바위 버스종점(먹거리골목 내)-237.8km,"30,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
11,대구 대구공항 보잉 호텔,4.7,대구공항 도보 5분 눌러서 위치보기-238.8km,"45,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
12,대구 동촌 카카오텔,4.6,#눌러서위치보기-240.8km,"50,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
13,대구 동촌 린비아토,4.6,#동촌역#노비아갈라 눌러서 위치보기-240.3km,"50,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
14,대구 대구공항 소호(SOHO),4.6,눌러서 위치보기대구공항 인근 위치-239.4km,"50,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
15,대구 대구공항 Esia Hotel (이시아),4.5,대구공항 20분-236.8km,"60,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
16,대구 팔공산 G&G,4.4,팔공산 케이블카 인근 위치 보기-234.1km,"40,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
17,대구 혁신도시 비지니스K,4.7,대구 공항  차량 10분 눌러서 위치보기-244.8km,"55,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
18,대구 팔공산 골든타임(GT),4.6,팔공산케이블카 1분 거리-234km,"40,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
19,대구 동촌유원지 투스테이(2stay),4.6,"#대구 동촌의 대표호텔, 투스테이입니다 (세스코업체에서 방역에 신중을 기하고있습니다)-240.9km","50,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
20,대구 혁신도시 아우룸,4.7,코스트코 혁신도시점 인근위치 ! -243.6km,"60,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
21,대구 혁신도시 앙코르,4.7,신서혁신도시 7분 거리-243.4km,"60,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
22,대구 팔공산 1실1주차(무인카) 캣츠호텔,3.9,팔공산 인근 위치입니다.-234km,"30,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
23,대구 팔공산 티포유,2.0,팔공산케이블 인근위치입니다.-234.1km,"40,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
24,대구 동촌 힐,4.2,동촌역 인근위치입니다.-239.9km,"30,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
25,대구 동촌 M,4.2,동촌유원지 도보6분거리(위치보기)-241.1km,"30,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
26,대구 팔공 에밀리아호텔,3.5,대구시민안전테마파크 도보 5분-233.7km,"80,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
27,대구 팔공산 맥섬석 유스호스텔,3.5,대구 팔공산 갓바위 버스주차장 인근-237.4km,"70,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
28,대구 팔공산 낚시,3.9,롯데아울렛 이시아폴리스점 6분-235km,"50,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
29,대구 입석동 뉴욕,4.5,눌러서 위치보기-239.3km,"35,000원",m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
30,대구 팔공산 M 무인텔,4.8,팔공산케이블 인근위치입니다.-234km,예약마감,m,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
31,대구 앙코르 호텔,4.8,율하역 차량 약 5분 거리-243.3km,"60,000원",h,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
32,대구 인스타 호텔,4.7,율하역 2.70km-243.3km,"50,000원",h,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
33,대구 JB 관광호텔,4.6,상매지 560m-243.3km,"60,000원",h,대구공항/혁신도시/동촌유원지/팔공산/이시아폴리스
