,name,score,loc,lowest_price,category,loc2
0,대구 동대구역 플레이앤스테이 호텔,4.5,#동대구역에서 도보 10분거리(위치보기)-240.1km,"60,000원",m,동대구역/고속버스터미널/신천동/신암동
1,대구 동대구역 레지던스R 호텔,4.5, 동대구역 도보 10분 눌러서 위치보기-240.4km,"35,000원",m,동대구역/고속버스터미널/신천동/신암동
2,대구 동대구역 호텔 아시아,4.4,동대구역2번출구 눌러서 위치보세용-240.5km,"40,000원",m,동대구역/고속버스터미널/신천동/신암동
3,대구 동대구역 호텔 브라운,4.7,대구MBC 도보 7분 눌러서 위치보기️-240.6km,"40,000원",m,동대구역/고속버스터미널/신천동/신암동
4,대구 동대구역 호텔 런던 부띠끄,4.7,넷플릭스 시청가능/광고없는 유튜브 시청-240.7km,"40,000원",m,동대구역/고속버스터미널/신천동/신암동
5,대구 동대구역 스위트호텔(Sweet Hotel),4.8,넷플릭스 시청가능/광고없는 유튜브 시청-240.8km,"40,000원",m,동대구역/고속버스터미널/신천동/신암동
6,대구 동대구역(신암) 앤,4.5,#동대구역 인근-239.5km,"50,000원",m,동대구역/고속버스터미널/신천동/신암동
7,대구 동대구역 WIN,4.6,동대구역 인근-239.6km,"35,000원",m,동대구역/고속버스터미널/신천동/신암동
8,대구 동대구역 칸,4.6,큰고개역 2번출구 눌러서 위치보기-239.6km,"40,000원",m,동대구역/고속버스터미널/신천동/신암동
9,대구 동대구역 호텔 지금,4.6,동양고속버스터미널 인근 눌러서 위치보기-240.1km,"40,000원",m,동대구역/고속버스터미널/신천동/신암동
10,대구 동대구역 디자인 호텔 블랑,4.7,동대구역 인근 위치(상공회의소 앞)-240.2km,"50,000원",m,동대구역/고속버스터미널/신천동/신암동
11,대구 동대구역 HOTEL SERIES 4.5,4.8,동대구역 인근 위치 바로보기!-240.3km,"60,000원",m,동대구역/고속버스터미널/신천동/신암동
12,대구 동대구역 호텔하루,4.6,동대구역에서 도보로 10분거리에 위치해있습니다-240.4km,"40,000원",m,동대구역/고속버스터미널/신천동/신암동
13,대구 동대구역 Hotel 포레스트701,4.9,대구신세계백화점 초인접-240.5km,"55,000원",m,동대구역/고속버스터미널/신천동/신암동
14,대구 동대구역 2SOME,4.6,동대구역 / 동대구터미널 근처   눌러서 위치보기-240.5km,"35,000원",m,동대구역/고속버스터미널/신천동/신암동
15,대구 동대구역 Eastern Hotel (이스턴호텔),4.8,동대구역 초인근 위치  눌러서 위치보기-240km,"79,000원",m,동대구역/고속버스터미널/신천동/신암동
16,대구 동대구역 뉴욕,4.6,동대구역 차로 700m-240.3km,"40,000원",m,동대구역/고속버스터미널/신천동/신암동
17,대구 동대구역 A4(아싸),4.6,동대구고속버스터미널 인근위치-240.1km,"35,000원",m,동대구역/고속버스터미널/신천동/신암동
18,대구 동대구역 레인,4.5,동대구역 2번출구 눌러서 위치보기️-240.2km,"30,000원",m,동대구역/고속버스터미널/신천동/신암동
19,대구 동대구역 폭스,4.5,동대구역 12분거리위치 ! -240.7km,"30,000원",m,동대구역/고속버스터미널/신천동/신암동
20,대구 동대구역 10번가,4.4,동대구역 도보10분 눌러서 위치보기-240.3km,"40,000원",m,동대구역/고속버스터미널/신천동/신암동
21,대구 동대구역 호텔 슈가,4.5,동대구역 8분 거리-240.3km,"40,000원",m,동대구역/고속버스터미널/신천동/신암동
22,대구 동대구역 부티크 윙크(Boutigue Wink),4.6,대구mbc 인근위치입니다.-240.7km,"35,000원",m,동대구역/고속버스터미널/신천동/신암동
23,대구 동대구역 호텔 투하트,4.7,동대구역 2번출구 눌러서 위치보기-240.5km,"45,000원",m,동대구역/고속버스터미널/신천동/신암동
24,대구 2월호텔(동대구역점),4.8,동대구역 2번출구 도보 6분-239.8km,"70,000원",m,동대구역/고속버스터미널/신천동/신암동
25,대구 동대구역 K 미니호텔,4.7,동대구역 도보 4분 눌러서 위치보기-240km,"35,000원",m,동대구역/고속버스터미널/신천동/신암동
26,대구 동대구역 러브웨이,4.4,동대구역 도보 6분-239.6km,"35,000원",m,동대구역/고속버스터미널/신천동/신암동
27,대구 동대구역 헤라,4.7,"동대구역 380m,도보6분 눌러서 위치보기-239.6km","45,000원",m,동대구역/고속버스터미널/신천동/신암동
28,대구 동대구역(신천) 앤,4.2,신천4동주민센터 인근 눌러서 위치보기️-240.6km,"35,000원",m,동대구역/고속버스터미널/신천동/신암동
29,대구 동대구역 리더스,4.2,동대구역 2번출구 눌러서 위치보기-240.2km,"35,000원",m,동대구역/고속버스터미널/신천동/신암동
30,대구 동대구역 IN THE HOTEL,4.7,동대구역 10분-240.4km,"35,000원",m,동대구역/고속버스터미널/신천동/신암동
31,대구 동대구역 HOTEL MAXIM,4.7,# 무한대실+종일숙박 등 ! 다양한 이벤트 진행중 : )-240.4km,"50,000원",m,동대구역/고속버스터미널/신천동/신암동
32,대구 동대구역 미라지,4.4,"대백아울렛 동대구점, (옛)동대구 버스터미널 인근 모텔-240.1km","30,000원",m,동대구역/고속버스터미널/신천동/신암동
33,대구 동대구역 무제여관,4.8,동대구역 도보 2분거리-239.5km,"50,000원",m,동대구역/고속버스터미널/신천동/신암동
34,대구 동대구역 Hotel js(제이에스),4.8,동대구역(고속철도) 차량 4분(위치보기)-240.1km,"50,000원",m,동대구역/고속버스터미널/신천동/신암동
