,name,score,loc,lowest_price,category,loc2
0,대구 동성로 YAJA 대구서문시장점,4.2,"대구 서문시장 1분거리, 동성로 인근 눌러서 위치보기-237.8km","50,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
1,대구 동성로 리베 호텔,4.6,대구역 롯데백화점 인근위치 (위치보기)-238km,"55,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
2,대구 동성로 헤븐스토리,4.6,1호선 중앙로역 도보 7분 위치보기-238.2km,"40,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
3,대구 동성로 갤러리 호텔 (1호점),4.5,대구역 도보 5분 거리 위치-238.2km,예약마감,m,동성로/서문시장/대구시청/삼덕동/교동/종로
4,대구 동성로 스위트 호텔(Sweet hotel),4.7,"중앙로역, 대구역 중심위치 (위치보기)-238.2km","45,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
5,대구 동성로 뷰티크호텔 에오스(EOS),4.6,중앙로 최고 접근성 ! (위치보기)-238.5km,"45,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
6,대구 2월호텔(동성로점),4.8,#서문시장 #김광석거리 #대구역 #대구중심 눌러서 위치보기-238.5km,"79,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
7,대구 동성로 레인(RAIN),4.1,"중앙로역,대구역 중심위치  (위치보기)-238.8km","35,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
8,대구 동성로 B2(비투),4.4,대구역 2번출구 도보 6분 (위치보기)-238km,"35,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
9,대구 동성로 젠(ZEN),4.4,대구역 도보 5분-238km,"35,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
10,대구 동성로 지프(JEEP),4.4,중앙로역 도보 6분거리 !!!눌러서 위치보기-238.2km,"35,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
11,대구 동성로 사보이호텔,4.2,대구 중앙로역 도보 3분 눌러서 위치보기-238.2km,"35,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
12,대구 동성로 B&B(비앤비),4.6,약전골목 인근위치입니다. 눌러서 위치보기-238.3km,"40,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
13,대구 동성로 엠티라이프(MT LIFE),4.6,대구현대백화점 인근위치 눌러서 위치보기-238.5km,"50,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
14,대구 동성로 아리온(ARION),4.5,특가할인이벤트#눌러서 위치보기-238.5km,"38,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
15,대구 동성로 호텔 노블스테이(Noblestay),4.5,"중앙로역,대구역 접근최고 (위치보기)-238.6km","81,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
16,대구 동성로 인썸니아 호텔,4.6,동성로 최고 중심가 위치 (위치보기)-238.9km,예약마감,m,동성로/서문시장/대구시청/삼덕동/교동/종로
17,대구 동성로 아트,4.5,대구시청 도보 1분거리/눌러서 위치보기-239.1km,"30,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
18,대구 동성로 MTM(엠티엠),4.6,경대병원역(대구2호선)인근위치 클릭-239.3km,"80,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
19,대구 동성로 나나(NANA),4.4,경대병원/동성로/대구시청에서 가까운모텔-239.3km,"35,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
20,대구 동성로 주공공사 (zoo004),4.3,삼덕소방서에서 도보로 4분거리 / 경대병원에서 도보로 8분거리-239.5km,"40,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
21,대구 동성로 HOTEL LABELLA(라벨라),4.9,동성로 삼덕동 최고 중심가 위치 -239.1km,"79,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
22,대구 동성로 호텔 온도,4.8,2019.12 GRAND OPEN중앙로역 도보 6분거리 # 눌러서 위치보기-238.3km,"40,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
23,대구 동성로 넘버25 대구동성로점,4.8,2020.07 GRNAD OPEN ️-237.8km,"55,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
24,대구 동성로 프라자,4.5,대구 시청 도보 1분거리/눌러서 위치보기-239.1km,"35,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
25,대구 동성로 피크니크(PIKNIK),4.4,#동성로#삼덕동# 눌러서 위치보기-239.3km,"50,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
26,대구 동성로 허니문,4.6,달성공원 2분거리 (눌러서 위치보기)-237.4km,"40,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
27,대구 동성로 경스 비즈니스,4.5,서문시장 인근 위치보기-238km,예약마감,m,동성로/서문시장/대구시청/삼덕동/교동/종로
28,대구 동성로 쇼&쿡,3.5,눌러서 위치보기-237.7km,"35,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
29,대구 동성로 삼익장,2.5,건들바위역 도보 10분 이내-239.9km,예약마감,m,동성로/서문시장/대구시청/삼덕동/교동/종로
30,대구 동성로 라온,4.2,반월당역 2분 거리-239.2km,"35,000원",m,동성로/서문시장/대구시청/삼덕동/교동/종로
31,대구 동성로 대흥파크,2.8,#눌러서 위치보기-238.5km,예약마감,m,동성로/서문시장/대구시청/삼덕동/교동/종로
32,대구 2월 호텔 동성로,4.6,중앙로역 1번출구 도보 1분-238.5km,"78,000원",h,동성로/서문시장/대구시청/삼덕동/교동/종로
33,대구 동성로 호텔 라벨라,4.9,반월당역 도보 약 6분-239.1km,"79,000원",h,동성로/서문시장/대구시청/삼덕동/교동/종로
34,대구 동성로 인썸니아,4.4,반월당역 도보 8분-238.9km,"54,000원",h,동성로/서문시장/대구시청/삼덕동/교동/종로
