,name,score,loc,lowest_price,category,loc2
0,대구 두류 Hotel Daegu(호텔대구),4.6,이월드 도보2분-238km,"50,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
1,대구 죽전 비앤비(B&B),4.6,#세스코(CESCO)정제휴점#성서IC #죽전네거리@눌러서 위치보기-237.1km,"45,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
2,대구 본리동 부띠끄호텔 5월,4.5,#넷플릭스시청가능#소독방역#본리네거리 #남대구IC #장기동먹자골목 #용산역@눌러서 위치보기-237.9km,"35,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
3,대구 두류 일월,4.6,"이월드,두류공원 인근 눌러서위치보기-238km","40,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
4,대구 두류 호텔 온도,4.4,세스코/넷플릭스/이월드/두류공원-238km,"35,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
5,대구 본리동 HOTEL SERIES 2.8,4.8,#파티룸/노래방/세스코(CESCO)필증-238km,"45,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
6,대구 본리동 HOTEL HERE I AM,4.8,전객실 넷플릭스 시청가능-238km,"50,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
7,대구 본리동 호텔 러블리,4.6,#웜클린소독/본리네거리 #장기동먹자골목 눌러서 위치보기-238.1km,"30,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
8,대구 두류 펄,4.0,두류공원/성당못 도보 3분거리 ! -238.8km,"30,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
9,대구 두류 호텔 룩(Look),4.7,세스코소독/비즈니스/먹거리/이월드/성당못-239.1km,"35,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
10,대구 광장코아 나나,4.2,#치맥페스티벌#광장코아#두류공원#이월드-237.7km,"33,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
11,대구 본리동 IF,4.6,#본리네거리 #장기동먹자골목-238km,"35,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
12,대구 두류 스위트호텔(Sweet hotel),4.8,이월드까지 5분 (위치보기)-239.1km,"30,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
13,대구 본리동 XYM,4.5,!안심숙소!웜클린소독(필증)/스파월풀/커플PC/best조식/장기동먹자골목 위치Click-238km,"35,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
14,대구 본리동 시월,4.6,#본리네거리 #장기동먹자골목 눌러서 위치보기-238km,"35,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
15,대구 반고개 시즌투,4.3,"#이월드,반월당 차로 5분거리/안마의자/스파월풀/공기청정기  위치 Click-238.2km","35,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
16,대구 두류 톡(TALK),4.5,이월드 두류공원 인근 눌러서 위치보기-239km,"34,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
17,대구 두류 반고개 JS,4.2,E-world / 동성로 / 반고개역 인근 ️눌러서 위치보기-238.3km,"28,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
18,대구 본리동 테크닉,4.7,#본리네거리 #장기동먹자골목눌러서 위치보기 -237.9km,"32,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
19,대구 본리동 첫눈,4.6,#본리네거리#장기동먹자골목#이랜드-238.1km,"40,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
20,대구 죽전 체리쉬,4.7,@눌러서 위치보기 #죽전역 #죽전네거리-237.5km,"50,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
21,대구 성당동 웨스턴 L 호텔,4.5,#이월드 #성당시장 #서부정류장 @위치눌러보기-239.1km,"40,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
22,대구 서부정류장 스타(STAR),4.5,서부정류장 인근 눌러서 위치보기-239.3km,"44,500원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
23,대구 본리동 인어,4.3,#눌러서위치보기-237.7km,"25,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
24,대구 서부정류장 YAJA 대구서부정류장점,4.5,눌러서 위치보기-239.4km,"45,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
25,대구 본리동 펀,4.6,#장기동#본리동 눌러서 위치보기-238.1km,"40,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
26,대구 서부정류장 비너스,4.5,239.3km,"30,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
27,대구 본리동 다모아비치,4.8,눌러서 위치보기-238.2km,"30,000원",m,두류공원/이월드/광장코아/서부정류장/본리동/죽전동
