,name,score,loc,lowest_price,category,loc2
0,대구 평리동 호텔 오투(O2),4.5,2020.09 GRNAD OPEN #두류 #내당# 평리#비산 #북부정류장-236.4km,"45,000원",m,북부정류장/이현공단/평리동/내당동/비산동/원대동
1,대구 평리동 낭만스테이 호텔,4.7,두류네거리 차량 3분(위치보기)-236.8km,"36,000원",m,북부정류장/이현공단/평리동/내당동/비산동/원대동
2,대구 북부정류장 GANADA(가나다),4.7,3호선 만평역 2번출구 눌러서 위치보기-235km,"40,000원",m,북부정류장/이현공단/평리동/내당동/비산동/원대동
3,대구 북부정류장 호텔 쇼(Show),4.4,#만평역2번출구 도보1분 #위치보기-235.2km,"34,900원",m,북부정류장/이현공단/평리동/내당동/비산동/원대동
4,대구 평리동 HOTEL CIAN(시안),4.7,대구 서구 최대 객실 최대 규모눌러서 위치보기-236.6km,"50,000원",m,북부정류장/이현공단/평리동/내당동/비산동/원대동
5,대구 평리동 2X(투엑스),4.8,두류역(이월드) 차량 5분-236.6km,"35,000원",m,북부정류장/이현공단/평리동/내당동/비산동/원대동
6,대구 평리동 산책,4.8,20.07 GRAND OPEN-236.6km,"35,000원",m,북부정류장/이현공단/평리동/내당동/비산동/원대동
7,대구 두류 폭스(FOX),4.5,이월드에서 차로 5분거리 (클릭)-237.1km,"30,000원",m,북부정류장/이현공단/평리동/내당동/비산동/원대동
8,대구 두류 세븐(SEVEN),4.4,이월드까지 자동차 5분눌러서 위치보기-237.1km,"27,000원",m,북부정류장/이현공단/평리동/내당동/비산동/원대동
9,대구 두류 엘리,4.3,두류역 2분거리(눌러서 위치보기)-237.2km,"30,000원",m,북부정류장/이현공단/평리동/내당동/비산동/원대동
