,name,score,loc,lowest_price,category,loc2
0,대구 성서 터치(Touch),4.4,계대 / 성서산업단지 / 모다아울렛 / 동산병원/ 강정보 / 다사 / 성주인근위치 ! 선-235.4km,"50,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
1,대구 2월호텔(성서점),4.8,눌러서 위치보기 #대구성서3차일반산업단지 #모다아울렛 -235.6km,"70,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
2,대구 성서 프렌치,4.8,#대구성서3차일반산업단지 #모다아울렛-235.6km,"40,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
3,대구 성서 5월에,4.7,왓챠 서비스 신규 런칭! 미드 영화 내맘대로 시청가능-235.8km,"45,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
4,대구 달성 리움,4.6,송해공원 인근 위치  #화원역  #달성군청 #화원IC #화원유원지 #용연사-239.3km,"50,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
5,대구 이곡동 유니드호텔,4.8,롯데시네마 4분거리 위치 (위치)-235.2km,"55,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
6,대구 성서 썸타임,4.7,계명대/성서산업단지/동산병원/모다아울렛-235.4km,"45,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
7,대구 성서 브라운도트 대구성서점,4.8,전객실넷플릭스/계명대/모다아울렛/파티룸-235.5km,"65,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
8,대구 성서 까르디움,4.6,계명대/성서산업단지/동산병원/모다아울렛-235.6km,"40,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
9,대구 성서 HOTEL IF(이프),4.6,계명대역 모다아울렛 인근 눌러서 위치보기-236km,"40,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
10,대구 성서 웨이브 호텔,4.8,#대구성서3차일반산업단지 #모다아울렛-236km,"40,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
11,대구 성서 YAJA 대구성서점,4.8,계명대역 차량 3분거리(위치보기)-235.6km,"50,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
12,대구 성서 스위트호텔(sweet hotel),4.8,전 객실 넷플릭스 시청가능!-235.7km,"50,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
13,대구 성서 GRIGO(그리고),4.8,#눌러서 위치보기-235.6km,"50,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
14,대구 성서 로그인,4.6,#대구성서3차일반산업단지 #모다아울렛-236km,"40,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
15,대구 성서 폭스,4.5,계명대/성서산업단지/모다아울렛/동산병원/배틀그라운드/노하드PC/특실안마의자-235.3km,"40,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
16,대구 성서 폭스2,4.7,계명대/성서산업단지/모다아울렛/동산병원/배틀그라운드/노하드PC/(준)특실안마의자-235.3km,"40,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
17,대구 성서 CF,4.8,전체 방역 살균소독제로 항상 청소중-235.2km,"40,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
18,대구 대곡 엘리시아,4.8,#눌러서 위치보기-241.3km,"70,000원",m,성서/계명대/성서공단/상인동/달성군/가창/현풍/논공
