,name,score,loc,lowest_price,category,loc2
0,대구 봉덕동 the J Hotel,4.8,2019.12 신축GRAND OPEN-240.7km,"50,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
1,대구 수성구 Design hotel Gauzin(가우진),4.6,"2020.09 GRAND OPEN수성시장역에서 차량 2분거리, 눌러서 위치보기-241.4km","55,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
2,대구 2월호텔(수성점),4.6,NEW 대구 수성구 2월 호텔 #야외 4계절 온수풀 스타일러 완비 : )-242.3km,"70,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
3,대구 2월호텔(황금본점),4.8,BEST 숙소 황금 2월호텔 #수성못 인근 눌러서 위치보기 / 전 객실 스타일러 완비 -242.4km,"70,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
4,대구 수성구 HOTEL 에비앙,4.7,3호선 황금역 초인근! 눌러서 위치보기-242.7km,"50,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
5,대구 대명동 삐에로(PIERROT),4.4,넷플릭스/웨이브 무료가능-239.2km,"35,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
6,대구 대명동 모닝(morning),4.0,"두류공원 차량 9분, 위치보기 -239.9km","28,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
7,대구 봉덕동 BloByBlo HOTEL(블로바이블로 호텔),4.8,☆20.09 OPEN☆영대병원역＃안지랑역-240.7km,"55,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
8,대구 수성구 갤러리 호텔 (3호점),4.2,#황금역 근처 / 눌러서 위치보기-242.8km,"47,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
9,대구 수성못 도도,4.7,#수성못 #들안길 인근 위치! 눌러서 위치보기-244.2km,"50,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
10,대구 수성못 더썸(the some),4.5,TOP숙소 더썸!수성못 30초..코 닿을 거리! 눌러서 위치보기-244.3km,"45,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
11,대구 이천동 W뉴욕,4.2,건들바위역 2번출구 앞! 눌러서 위치보기️-240.1km,"30,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
12,대구 2월호텔(앞산점),4.5,NEW 대구 앞산 2월 호텔 #천연인테리어마감재 / 전객실 스타일러 / 공기청정기 / -240.4km,"50,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
13,대구 봉덕동 스위트,4.7,"봉명네거리 도보로 1분, 눌러서 위치확인-240.8km","45,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
14,대구 봉덕동 아바(AVA),4.0,영대병원역에서 약 800m / 눌러서 위치확인-241.1km,"35,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
15,대구 수성못 올레,4.3,"소독 안심숙소 수성못 도보 1분거리,들안길,수성아트피아 인근!-244.2km","38,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
16,대구 황금동 SB,4.6, #새롭게 찾아온 황금동 SB! 입니다-242.7km,"35,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
17,대구 수성구 보잉호텔,4.5,눌러서 위치보기-242.2km,"40,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
18,대구 앞산 비즈니스 호텔,4.4,영대병원에서 5분 거리 위치-239.9km,"40,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
19,대구 대명동 오(oh)369,4.5,대구 이월드 까지 1.8km 도보 8분-239.2km,"27,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
20,대구 수성못 수성스테이,4.7,수성못 인근 눌러서 위치보기-244.3km,"50,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
21,대구 황금동 Hotel 체리시,4.6,황금역 1번출구 (눌러서 위치보기)-242.7km,"55,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
22,대구 대명동 9h (나인아워스),4.4,"#서문야시장#명덕역,남산역근처 -239.2km","35,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
23,대구 대명동 그린빌,4.2, 안지랑 곱창골목 도보 약 5분거리 눌러서 위치확인-240km,"30,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
24,대구 범어 프린스,4.3,범어역 인근 위치 눌러서 위치보기  : )-241.1km,"35,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
25,대구 황금동 프라임,4.2,황금역 1번출구 도보5분 눌러서 위치보기-242.7km,"35,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
26,대구 수성못 피크니크,4.4,#수성못 도보 1분 거리 눌러서 위치보기-243.9km,"60,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
27,대구 두산동 로미오앤줄리엣,4.6,들안길까지2km거리위치#눌러서 위치보기-242.8km,"55,000원",m,수성못/범어/라이온즈파크/월드컵경기장/앞산공원/대명동/봉덕동
