,name,score,loc,lowest_price,category
0,대전 신탄진 Hotel LOD 2호점,4.8,132.5km,"45,000원",m
1,대전 중리 X-MAS,4.3,141.9km,"35,000원",m
2,대전 중리 르비쥬,4.5,141.7km,"35,000원",m
3,대전 신탄진 호텔 월,4.8,133.4km,"45,000원",m
4,대전 중리 휠,4.6,복합터미널 5분거리-141.7km,"30,000원",m
5,대전 중리 썸,4.6,141.7km,"30,000원",m
6,대전 신탄진 23st,4.5,신탄진역 부근-132.4km,"35,000원",m
7,대전 중리 카펠라,4.7,복합터미널 5분거리-141.9km,"35,000원",m
8,대전 신탄진 페이지,4.7,신탄진역 인근-132.7km,"45,000원",m
9,대전 중리 클래스,4.9,중리동주민센터 도보3분-141.8km,"35,000원",m
10,대전 중리 호텔 아트빈,4.8,중리동주민센터 도보 30초-141.8km,"35,000원",m
11,대전 중리 에이스,4.7,141.8km,"35,000원",m
12,대전 신탄진 박스 호텔,4.5,134.1km,"45,000원",m
13,대전 중리 호텔 어반브라운,4.9,"한남대 초인접/복합터미널,대전IC 인접-141.9km","50,000원",m
14,대전 중리 만월 호텔,4.7,한남대학교 초인접 / 대전 복합터미널 인접 / 우송대 인접 / 대전 IC 인접-141.7km,"40,000원",m
15,대전 중리 라움,4.9,중리동주민센터 30초-141.8km,"45,000원",m
16,대전 중리 페이지호텔,4.5,중리동주민센터 1분-141.8km,"30,000원",m
17,대전 중리 잉카호텔,4.7,한남대학교 첫집 / 한국소방협회 첫집/ 복합터미널 인접/ 대화공단 인접-141.8km,"30,000원",m
18,대전 신탄진 로하스,4.5,132.4km,"40,000원",m
19,대전 신탄진 나루무인텔,4.6,132.6km,"45,000원",m
20,대전 신탄진 아우디,4.0,132.5km,"35,000원",m
21,대전 신탄진 두바이,3.9,신탄진역에서 도보 8분-132.7km,예약마감,m
22,대전 신탄진 로얄,4.4,132.6km,"30,000원",m
23,대전 신탄진 블루,4.4,신탄진역 인근-132.7km,"33,000원",m
24,대전 중리 호텔 리베라,4.0,중리동 주민센터 인근-141.8km,예약마감,m
25,대전 신탄진 그린,4.6,신탄진역 인근-132.4km,예약마감,m
26,대전 신탄진 발렌타인,4.6,132.7km,"35,000원",m
27,대전 중리 팜스,3.6,141.7km,"20,000원",m
28,대전 중리 드래곤캐슬,4.1,한남대 부근-141.8km,"22,000원",m
29,대전 중리 캐슬,4.7,141.7km,"40,000원",m
30,대전 중리 호텔 나인,4.4,한남대 부근-141.8km,"30,000원",m
31,대전 중리 셰이프,4.5,한남대 부근-141.7km,예약마감,m
32,대전 중리 리치호텔,3.4,중리동 주민센터 인근-141.8km,"25,000원",m
33,대전 신탄진 투유,4.5,132.7km,"27,000원",m
34,신탄진 로하스 호텔,2.8,신탄진역 도보 5분-132.4km,"40,000원",h
35,대전 신탄진 호텔 월,4.8,신탄진역 차량 5분 거리-133.4km,"45,000원",h
