,name,score,loc,lowest_price,category
0,대전 용전 사보이,4.6,복합터미널 도보2분-142.8km,"30,000원",m
1,대전 용전 호텔 플라밍고,4.7,홈플러스 인근-142.9km,"40,500원",m
2,대전 용전 HOTEL N7,4.7,142.9km,"40,000원",m
3,대전 용전 시애틀,4.8,대전복합터미널 도보 2분-143km,"31,500원",m
4,대전 용전 호텔 애비뉴,4.6,복합터미널 도보3분-143km,"35,000원",m
5,대전 용전 LOOK,4.7,대전복합터미널/픽업서비스가능/송촌동/한남대/우송대-143km,"36,000원",m
6,대전 용전 HOTEL BEN,4.5,# 대전IC # 대전복합터미널 초인접 # 대전역인근 # 성심당본점인근 # 눌러서 위치보기-143.1km,"31,500원",m
7,대전 용전 모모(HOTEL MOMO),4.9,대전복합터미널 도보 30초-143.1km,"35,000원",m
8,대전 용전 보보스,4.6,대전복합버스터미널 초인접/대전IC 초입-143.2km,"40,000원",m
9,대전 용전 하이클래스,4.7,복합터미널 도보 3분-142.9km,"28,000원",m
10,대전 용전 J,4.8,복합터미널 인근-143.1km,"30,000원",m
11,대전 용전 나리스,3.5,대전 복합 버스터미널 1분-142.9km,"50,000원",m
12,대전 용전 아이,4.6,대전복합터미널 도보 2분-143.2km,"45,000원",m
13,대전 용전 폴라리스,4.7,대전복합터미널 도보 3분거리-143.1km,"35,000원",m
14,대전 용전 리치텔,4.4,대전복합버스터미널 도보 2분-142.9km,"35,000원",m
15,대전 용전 베스트,4.6,복합터미널 도보 3분거리-142.9km,"27,000원",m
16,대전 용전 리스보아,4.8,대전복합버스터미널 도보 약 5분-143km,"50,000원",m
17,대전 용전 리무진,4.5,대전버스터미널 도보 5분거리-143.1km,"29,000원",m
18,대전 용전 호텔 샾,4.7,대전복합터미널 도보2분거리-143.2km,"35,000원",m
19,대전 넘버25 대전역점,3.5,145.8km,예약마감,m
20,대전 용전 굿타임,4.5,대전복합버스터미널 도보 1분-142.9km,"35,000원",m
21,대전 용전 아늑 호텔,4.9,복합터미널 도보 3분-143.1km,"40,000원",m
22,대전 용전 HOTEL BON,4.7,복합터미널 도보 3분-142.9km,"36,000원",m
23,대전 용전 호텔 박스,4.8,"대전복합터미널 도보 약 5분/대전IC 초인근/대전역 인근/한남대, 우송대 인근-143.1km","40,000원",m
24,대전 용전 호텔 노크인,4.7,대전복합터미널 인접 / 대전 IC 인접-143.2km,"40,000원",m
25,대전 KOTEL 대전터미널점,4.3,대전복합터미널  배그  대전IC-143.1km,"45,000원",m
26,대전 용전 캐슬,4.6,대전복합버스터미널 도보 약 5분-142.9km,"30,000원",m
27,대전 용전 피아노,4.5,대전버스터미널 도보 5분거리-142.8km,"36,000원",m
28,대전 용전 호텔 소풍,4.4,대전버스터미널 도보5분거리-143km,"30,000원",m
29,대전 용전 시네마,4.6,대전복합터미널 도보 5분-143.1km,"30,000원",m
30,대전 용전 스토리라인,4.7,143km,"30,000원",m
31,대전 용전 세도나,4.7,복합터미널 인근-143km,"40,000원",m
32,대전 용전 허브,4.5,143.1km,"22,000원",m
33,대전 용전 썸,4.3,143.1km,"23,000원",m
34,대전 용전 스카이,4.8,143.1km,"25,000원",m
35,대전 용전 솔비,4.7,143.1km,"27,000원",m
36,대전 용전 초이스,4.4,복합터미널 도보 3분-143.1km,"22,000원",m
37,대전 용전 산호파크,4.5,복합터미널 도보 3분-143.2km,"25,000원",m
38,대전 용전 로망스,3.6,복합터미널 도보3분-143.2km,"25,000원",m
39,대전 용전 마미,4.0,대전 복합버스터미널 5분거리-143.1km,"30,000원",m
40,대전 용전 KB,4.7,복합터미널 인근-143km,"30,000원",m
41,대전 용전 금성파크,4.7,CU편의점 도보5초 복합터미널 도보1분-143.2km,"22,500원",m
42,대전 산내 샾,4.8,남대전 종합 물류단지 인근-152.3km,"50,000원",m
43,대전 용전 Q,4.2,142.9km,"25,000원",m
44,대전 용전 아이비,4.0,복합터미널 도보1분-143km,"27,000원",m
45,대전 용전 해피타워,4.9,동부네거리 인근 위치-143.1km,"30,000원",m
46,대전 용전 두바이,3.9,143km,"20,000원",m
47,대전 산내 TWO 무인텔,4.7,152.3km,"45,000원",m
48,대전 삼성 예원,3.5,144.1km,"30,000원",m
49,대전 용운 HI호텔,3.3,146.2km,"40,000원",m
50,대전 대전역 잉카,4.8,대전역 도보 2분-144.9km,"40,000원",m
51,대전 자양 띠울장,5.0,144.5km,"35,000원",m
52,아늑호텔 대전터미널,3.5,용전동 대전 복합 버스터미널 근방-143.1km,예약마감,h
53,용전동 박스 호텔,3.9,대전복합버스터미널 인근-143.1km,"40,000원",h
54,대전 호텔 본,4.4,대전복합버스터미널 인근-142.9km,"40,000원",h
55,대전 호텔 에비뉴,4.0,대전 터미널 인근-143km,"42,000원",h
56,대전 호텔 룩,4.3,대전역/픽업서비스/복합터미널/송촌동/ 도보 8분-143km,"45,000원",h
57,대전 호텔 플라밍고,4.1,대전복합터미널 도보 5분-142.9km,"50,000원",h
