,name,score,loc,lowest_price,category
0,대전 월평 W,4.8,#대형주차장 완비 #롯데시네마 도보 1분 #넷플릭스-140.4km,"40,000원",m
1,대전 둔산 레지던스 호텔 라인,4.7,"한화생명 둔산사옥 도보1분거리, 을지대학교 병원 도보 1분거리, 정부청사역 도보 2분거리,-141.2km","48,000원",m
2,대전 둔산 수,4.5,시청역 3번출구 도보 10분-141.4km,"45,000원",m
3,대전 둔산 루이스 (LUIS),4.4,"시청역 8번출구 도보2분, 대전 시청 인근, 메가박스 인근-141.9km","35,000원",m
4,대전 둔산 포시즌,4.2,시청역 도보 3분거리 -141.9km,"35,000원",m
5,대전 둔산 ING,4.8,"대전 시청 인근, 시청역 도보 2분거리, 메가박스 인근, 탄방역 5분거리-141.9km","45,000원",m
6,대전 둔산 호텔 데이즈,4.5,"대형주차장,탄방역3분,메가박스,CGV-142.1km","40,000원",m
7,대전 둔산 갤러리,4.5,"대형 주차장완비,탄방역 도보 3분거리-142.1km","40,000원",m
8,대전 용문 JNK Classic Hotel,4.7,"롯데백화점 도보 2분,용문역 도보 2분-143.1km","41,900원",m
9,대전 용문 Hotel MAC,4.5,용문역 4번출구 도보2분-143.2km,"31,500원",m
10,대전 용문 카카오,4.6,#최신영화 #최신 미드 #넷플릭스 #무료영화 #코로나안심객실-143.2km,"32,990원",m
11,대전 용문 스칼렛,4.8,"용문역 도보 2분거리, 롯데백화점 도보 2분거리-143.2km","32,000원",m
12,대전 용문 호텔 AWESOME,4.7,"롯데백화점 도보 2분거리, 용문역 도보 2분거리-143.2km","43,000원",m
13,대전 용문 프로포즈,4.5,"용문역,롯데백화점 도보 2분거리-143.2km","32,000원",m
14,대전 용문 호텔 SM,4.9,롯데백화점 도보 2분 용문역 1분거리-143.2km,"36,000원",m
15,대전 용문 W,4.5,"용문역 3번출구 도보 2분거리, 롯데백화점 도보 3분거리-143.3km","32,000원",m
16,대전 용문 호텔 블랙,4.5,"롯데백화점 도보 3분, 용문역 도보 2분거리-143.3km","35,000원",m
17,대전 둔산월평 레인보우,4.9,"월평역 도보 1분거리 ,이마트 트레이더스 도보 1분거리-140.6km","45,000원",m
18,대전 둔산 로데오,4.2,141.3km,"45,000원",m
19,대전 월평 2S,4.1,월평역 2번출구 도보5분-140.6km,"40,000원",m
20,대전 용문 Hotel ZAZA,4.6,"롯데백화점 도보 2분거리, 용문역 도보 3분거리-143.2km","50,000원",m
21,대전 둔산 SM,4.4,대전시청 인근-141.7km,"35,000원",m
22, 대전 용문 보보스 더 스마트,4.7,#대형 주차장 완비 #롯데백화점(시네마) 도보1분 #용문역 도보2분 #용문먹자골목-143.1km,"31,500원",m
23,대전 둔산 미드멜리,4.6,코러나19 예방을 위해 전 객실을 매일 소독하고 있습니다오셔서 마음 편히 쉬세요-141.9km,"50,000원",m
24,대전 저스트슬립호텔 대전둔산점,4.8,시청역 도보3분-141.7km,"45,000원",m
25,대전 월평 하니,4.7,"롯데시네마 도보 3분 이내, 선사유적지 인근-140.4km","34,000원",m
26,대전 둔산 로또,4.4,정부청사역1번출구 도보10분-141.3km,"45,000원",m
27,대전 월평 카라,4.3,"이마트 트레이더스 도보1분 거리, 월평역 도보 1분거리-140.6km","40,000원",m
28,대전 용문 스카이,3.5,143.1km,"27,000원",m
29,대전 둔산 코보스,4.5,141.5km,"45,000원",m
30,대전 월평 M하우스,4.7,"월평이마트 도보 1분, KT연수원 5분, 유성 ic 7분, 타임월드 5분거리 위치-140.6km","36,000원",m
31,대전 월평 디엠프레스 호텔,4.8,140.6km,"56,000원",m
32,대전 용문 필,4.3,143.2km,"35,000원",m
33,대전 도마 M,3.0,145.2km,"40,000원",m
34,대전 둔산 500호,4.1,시청 인근-141.4km,"42,000원",m
35,대전 월평 휴앤유,5.0,140.6km,"50,000원",m
36,대전 용문 그리피스,4.2,143.1km,"28,000원",m
37,대전 이안레지던스호텔,4.6,141.4km,"48,000원",m
38,이안 레지던스,4.3,대전 시청역 도보 5분-141.4km,"48,000원",h
39,호텔 락희 대전,4.6,둔산 갤러리아 타임월드 200m-141.5km,"90,000원",h
40,대전 둔산 레지던스 호텔 라인,4.6,정부청사역 도보 5분-141.2km,"48,000원",h
41,대전 디엠프레스 호텔,4.5,월평역 2번출구 도보 3분 -140.6km,예약마감,h
42,호텔 그레이톤 둔산,4.4,대전 시청역 5번출구 100m-141.6km,"59,000원",h
43,라미아 레지던스,4.3,정부청사역 2번출구 650m-141.4km,"56,900원",h
44,굿모닝 레지던스호텔 휴,4.7,대전시청역 3번출구 660m-141.5km,"68,000원",h
