,name,score,loc,lowest_price,category
0,대전 유성 자우리,4.7,유성온천6번출구15분거리-139.9km,"45,000원",m
1,대전 유성 발렌타인,4.7,유성 시외버스 터미널 인근-140km,"35,000원",m
2,대전 유성 K7 PC텔,4.7,#삼복가든 #유성온천역 #최고급 호텔-140km,"40,000원",m
3,대전 유성 아트,4.6,GS25 편의점 인근-140km,"45,000원",m
4,대전 유성 호텔 루이스,4.6,140km,"40,000원",m
5,대전 유성 뉴큐피트,4.6,유성시외버스정류소 인근-140km,"35,000원",m
6,대전 YAM 대전유성온천점,4.6,#출장객 #비즈니스호텔 #넷플릭스-140km,"45,000원",m
7,대전 유성 Hotel LOD 1호점,4.6,140.1km,"40,000원",m
8,대전 유성 나무호텔,4.6,#전 객실 넷플릭스#비즈니스 연회장 완비-140.1km,"50,000원",m
9,대전 유성 2X,4.7,140.1km,"45,000원",m
10,대전 유성 럭셔리,4.7,#전 객실 넷플릭스  #유성온천역6번출구 #도보10분-140.1km,"40,000원",m
11,대전 유성 스테이,4.8,유성온천역 도보 약 6분-140.1km,"50,000원",m
12,대전 유성 모텔나인,4.6,유성 홈플러스 부근-140.1km,"35,000원",m
13,대전 유성 파로스,4.5,BMW 대전전시장 인근-140.1km,"45,000원",m
14,대전 유성 까펠라,4.7,리모델링_공기청정기_넓은 주차장주변주차o-140.1km,"35,000원",m
15,대전 유성 써클,4.7,"전 객실 넷플릭스 설치, 도보전용 특가 이벤트, 무한대실-140.1km","30,000원",m
16,대전 유성 맨하탄,4.7,유성온천역 인근-140.1km,"50,000원",m
17,대전 유성 호텔 5,4.7,"매드블럭, 우산거리 도보 2분 이내, 유성 족욕체험장 1분 도보 거리-140.2km","40,000원",m
18,대전 유성 도심속의하루,4.4,-전 객실 넷플릭스-대형주차장 -1인1주차-140.2km,"50,000원",m
19,대전 유성 샤모니,4.3,-전객실넷플릭스-천연온천수-대형주차-140.2km,"39,000원",m
20,대전 유성 시나브로,4.5,유성 터미널 5분거리-140.2km,"50,000원",m
21,대전 유성 더 샵,4.4,유성온천역 7번출구 도보 10분거리 -140.3km,"45,000원",m
22,대전 유성 베르겐 호텔,4.5,"유성 최대 주차장 보유, 신축오픈, 천연온천수 인증업소 -140.3km","55,000원",m
23,대전 유성 잉카의태양,4.5,유성온천 부근-140.3km,"40,000원",m
24,대전 유성 비앤비,4.4,유성온천역 도보 5분거리-140.3km,"35,000원",m
25,대전 유성 MAC,4.3,유성온천역 인근 -140.4km,"55,000원",m
26,대전 유성 렉시,4.4,1호선 갑천역 1호선 유성온천역-140.4km,"45,000원",m
27,대전 유성 스파타워,4.3,#가족탕#출장#온천#프리미엄라텍스 매트리스 #위치확인-140.4km,"40,000원",m
28,대전 유성 탑클라우드 호텔,4.8,-전객실 넷플릭스/ 전객실 금연 --140.4km,"50,000원",m
29,대전 유성 헤라,4.6,유성온천역 인근-140.4km,"30,000원",m
30,대전 유성 호텔 프리모,4.7,유성온천역 1번출구 도보5분-140.5km,"45,000원",m
31,대전 유성 저스트슬립 유성온천점,4.7,유성온천수 인증호텔! 신축오픈! 초특가예약!-140.5km,"45,000원",m
32,대전 유성 피오니,4.2,유성온천역 8번출구에서 3~5분 도보-140.6km,예약마감,m
