,name,score,loc,lowest_price,category
0,대전 선화 모던 Hotel,4.6,중촌네거리 인근-144km,"35,000원",m
1,대전 선화 콩,4.7,중촌네거리 인근-144.1km,"30,000원",m
2,대전 선화 2DAY,4.6,144.2km,"45,000원",m
3,대전 선화 69,4.6,144.2km,"35,000원",m
4,대전 선화 커피앤굿타임,4.8,대전역 인근-144.3km,"32,000원",m
5,대전 선화 이틀,4.4,대종로 네거리 인근-144.3km,"28,000원",m
6,대전 은행선화 호텔 나인스팟,4.7,중앙로역 인근-145km,"50,000원",m
7,대전 대흥 호텔 BNB,4.5,은행동 로데오거리 인근-145.5km,"36,000원",m
8,대전 으능정이 테마,4.6,중앙로역 2번출구도보10분-145.6km,"25,000원",m
9,대전 대흥 몽,4.7,중앙로역 2번출구도보10분-145.6km,"25,000원",m
10,대전 유천 잉카의태양,3.8,서부터미널 인근-145.6km,"30,000원",m
11,대전 유천 리베라,4.4,서부터미널 인근-145.8km,"35,000원",m
12,대전 문창 그리스,4.6,"야구장 도보 5분거리, 으능정이 거리 도보 8분-145.9km","28,000원",m
13,대전 문창 호텔 썸,4.7,이글스파크 도보 7분 중앙로역 도보 7분-146km,"30,000원",m
14,대전 대흥 칸,4.8,충무로 네거리 인근-146.1km,"35,000원",m
15,대전 대흥 산토리니,4.5,한밭종합운동장 인근-146.1km,"28,000원",m
16,대전 대흥 앙코르,4.8,한밭야구장 인근-146.2km,"28,000원",m
17,대전 대흥 베스트인시티 호텔,4.8,대전 한밭야구장 도보 1분거리 위치-146.2km,"35,000원",m
18,대전 문창 로즈마리,4.6,한밭구장 인근-146.3km,"30,000원",m
19,대전 은행 자우리,4.6,중구청역(지하철) 도보 2분-145.5km,"35,000원",m
20,대전 대흥 만월 호텔,4.7,중앙로역 2번출구 도보 5분-145.5km,"50,000원",m
21,대전 선화 앨리스,4.4,충촌네거리 인근-144.1km,"25,000원",m
22,대전 대흥 무비스호텔,4.4,중앙로역2번출구 도보10분-145.5km,"27,000원",m
23,대전 문창 반지,4.9,충무로네거리 도보 약 5분-146.2km,"28,000원",m
24,대전 대흥 호텔 박스,4.5,대흥동 사거리 인근-145.8km,"30,000원",m
25,대전 유천 G7,4.6,145.7km,"50,000원",m
26,대전 대사 호텔 버스,4.5,"충대병원, 성모병원도보5분, 서대전네거리-145.7km","35,000원",m
27,대전 문창 루이스,4.7,충무로네거리에서 도보 10분-146.2km,"34,200원",m
28,대전 유천 일루와,4.6,대전 서부터미널에서 도보 7분-145.8km,"30,000원",m
29,대전 유천 포유,4.6,서부터미널 인근-145.8km,"35,000원",m
30,대전 유천 티티카카,4.5,서부터미널 인근-145.7km,"35,000원",m
31,대전 대흥 썸,4.6,한밭종합운동장 인근-146.1km,"25,000원",m
32,대전 대흥 마이스테이,4.6,"중구청역 도보 1분, 대전역 지하철 2정거장, 한밭야구장 도보 10분-145.5km","40,000원",m
33,대전 대사 레이크,4.7,서대전네거리역 8번출구-145.7km,"25,000원",m
34,대전 대사 MAC,4.7,충남대병원 도보 5분-145.7km,"30,000원",m
35,대전 문창 호텔 더리즈,4.9,146km,"37,000원",m
36,대전 유천 이티,4.5,버드내네거리 인근-145.7km,"30,000원",m
37,대전 대흥 풀하우스,4.7,# 대전한밭야구장 # 배틀그라운드 # 대흥동 # 으능정이거리 -146.2km,"30,000원",m
38,대전 선화 2U,4.5,CMB대전방송 바로 앞-144.3km,"33,000원",m
39,대전 선화 올리비아,4.5,144.3km,"40,000원",m
40,대전 대흥 스타호텔,4.7,"중구청역,중앙로역 인근-145.9km","35,000원",m
41,대전 은행선화 JAVA,4.5,중앙로역 6번출구 도보10분-145km,"28,000원",m
42,대전 선화 맨하탄,4.8,144.2km,"30,000원",m
43,대전 은행 샵,4.3,중앙로역 8번출구 도보10분-144.9km,"25,000원",m
44,대전 대흥 69,4.1,대흥동우체국 건너편도보 5분-145.6km,"25,000원",m
45,대전 대흥 여름향기,4.4,충무로 네거리 인근-145.9km,"25,000원",m
46,대전 유천 코자자,4.5,서부터미널 인근-145.8km,"35,000원",m
47,대전 유천 코오,4.3,서부터미널 인근-145.8km,"23,000원",m
48,대전 유천 시애틀,4.7,145.9km,"35,000원",m
49,대전 문창 카리브,4.2,146km,"22,000원",m
50,대전 대흥 팰리스,4.1,중앙로역 도보 5분거리-145.3km,"25,000원",m
51,대전 유천 쉐로별,4.4,145.8km,"23,000원",m
52,대전 유천 리슈모텔,3.8,145.8km,"23,000원",m
53,대전 유천 노블레스,2.7,대전 서부터미널 인근-145.8km,"30,000원",m
54,대전 문창 리츠,3.5,"대전역인근, 한밭야구장 도보 3분 거리-146.2km","40,000원",m
55,대전 문창 드라마,4.2,한밭구장 인근-146.2km,"25,000원",m
56,대전 선화 다모아,4.5,144.2km,예약마감,m
57,대전 대사 모텔나인,4.3,서대전네거리역 부근-145.7km,"32,000원",m
58,대전 산성 뉴히딩크,3.5,146.5km,"40,000원",m
59,대전 산성 에이스텔,3.5,146.1km,"40,000원",m
60,대전 유천 황소,3.3,서부터미널 인근-145.7km,"25,000원",m
61,대전 대흥 신궁전,5.0,중구청역 인근-145.4km,"25,000원",m
62,대전 유천 럭키,3.5,145.6km,"35,000원",m
63,대전 문창 콘써트,3.0,146.2km,예약마감,m
64,대전 선화 캘리포니아,3.5,대종로 네거리 부근-144.2km,"35,000원",m
65,대전 대흥 크리스탈 레지던스,4.8,중앙로역 인근-145.6km,"50,000원",m
66,대전 유천 풀하우스,4.7,145.8km,"30,000원",m
67,대전 은행 휴,3.8,145km,"30,000원",m
68,대전 유천 나너모텔,5.0,145.8km,예약마감,m
69,대전 문창 호텔 더잠,4.8,146.2km,"30,000원",m
70,대전 유천 제이모텔,4.0,145.8km,"25,000원",m
71,대전 유천 그린장모텔,3.5,145.8km,"25,000원",m
72,대전 유천 109,4.0,145.7km,"25,000원",m
73,대전 은행 둥지,3.5,145km,"35,000원",m
74,대전 선화 모노그리스,4.1,144.2km,예약마감,m
75,대전 베스트인시티 호텔,4.7,중앙로역 3번 출구 도보 15분-146.2km,"35,000원",h
76,크리스탈 레지던스,3.8,중앙로역 2번출구 559m-145.6km,"50,000원",h
77,베니키아 호텔 대림,4.3,중앙로역 6번출구 도보 7분-145.1km,"55,000원",h
78,대전 하늘정원 게스트하우스,4.9,145.6km,"60,000원",g
