,name,score,loc,lowest_price,category
0,강릉 라피네호텔,4.8,168.7km,"70,000원",m
1,강릉 캣츠,4.5,171.8km,"35,000원",m
2,강릉 파인힐,4.3,172km,"50,000원",m
3,강릉 부띠크 루소호텔,4.7,강릉원주대 강릉캠퍼스-172km,"60,000원",m
4,강릉 몽,4.6,172.1km,"50,000원",m
5,강릉 피크닉,4.6,"""강릉 터미널 도보3분,  KTX역 차로 5분거리""-172.3km","30,000원",m
6,강릉 샤인텔,4.4,173.4km,"35,000원",m
7,강릉 강릉관광호텔,4.5,173.4km,"63,500원",m
8,강릉 캐빈,4.4,중앙시장 인근-173.6km,"40,000원",m
9,강릉 BR,3.6,중앙시장 인근-173.6km,"50,000원",m
10,강릉 센트럴,4.7,강릉시청 인근 위치-173.7km,"40,000원",m
11,강릉 크리스탈 모텔,4.8,교동사거리 인근 위치-173.8km,"40,000원",m
12,강릉 K 모텔,4.6,173.8km,"30,000원",m
13,강릉 아스라,4.5,173.9km,"40,000원",m
14,강릉 라라,4.7,173.9km,"40,000원",m
15,강릉 더뷰티호텔,4.9,174km,"50,000원",m
16,강릉 더샾호텔,4.7,174.1km,"45,000원",m
17,강릉 루이스호텔,4.7,174.1km,"40,000원",m
18,강릉 이화모텔,4.8,173.6km,"27,000원",m
19,강릉 쉬자 무인텔,4.9,174.3km,"46,000원",m
20,강릉 J블럭 모텔,4.9,173.9km,"30,000원",m
21,강릉 나이스,4.9,강름터미널 바로 앞 ktx역 중앙시장 차로 5~8분 거리-172.4km,"30,000원",m
22,강릉 미성장모텔,4.2,임당사거리 도보 5분 거리-173.8km,"30,000원",m
23,강릉 올인,4.5,"중앙시장/강릉시내 도보 3분 거리, 최우수업소(위생등급)  -173.6km","35,000원",m
24,강릉 대일모텔,4.4,"ktx역 3분거리, 중앙시장, 유명맛집 1~5분거리-174.1km","25,000원",m
25,강릉 에이스모텔,4.2,KTX 강릉역 부근-173.9km,"25,000원",m
26,강릉 봉모텔,4.2,강릉역 육거리 인근-174km,"40,000원",m
27,강릉 S,4.3,173.9km,"30,000원",m
28,강릉 금성,4.6,174.2km,"25,000원",m
29,강릉 쉴,2.8,174km,"40,000원",m
30,강릉 메인,4.6,185.1km,"50,000원",m
31,강릉 동신,4.6,173.3km,"30,000원",m
32,강릉 타워모텔,4.8,175km,"40,000원",m
33,강릉 HOTEL Vv,4.8,172.2km,"70,000원",m
34,강릉 하이모텔,4.8,174.1km,"30,000원",m
35,강릉 발리,4.6,172.4km,"30,000원",m
36,강릉 휠,3.7,173.8km,"40,000원",m
37,강릉 포시즌,4.2,173.9km,"40,000원",m
38,강릉 워너비무인텔,4.6,187.6km,"50,000원",m
39,강릉 쉼,4.7,173.4km,"40,000원",m
40,강릉 솔빛모텔,4.4,173.9km,"30,000원",m
41,강릉 셀몬,3.8,173.9km,"30,000원",m
42,강릉 백운,4.2,173.9km,"35,000원",m
43,강릉 아모르,3.4,173.8km,"30,000원",m
44,강릉 삼부,4.7,173.8km,"40,000원",m
45,강릉 알프스호텔,3.2,174km,"50,000원",m
46,강릉 궁전,2.3,175.2km,"40,000원",m
47,강릉 베네르,3.5,173.8km,"50,000원",m
48,강릉 다링모텔,3.2,KTX역 3분-173.7km,"30,000원",m
49,강릉 니스파크,4.8,173.6km,예약마감,m
50,강릉 드라마,4.2,173.9km,"35,000원",m
51,강릉 동경,3.5,173.9km,예약마감,m
52,강릉 에쿠스,3.9,172.2km,"40,000원",m
53,강릉 몽블랑,3.5,172km,예약마감,m
54,더홍씨호텔 강릉,4.7,경포생태저류지 차량 약 5 분-172km,"95,000원",h
55,강릉관광호텔,4.6,강릉 KTX역 차량 5분 1.70km-173.4km,"63,500원",h
56,강릉 루이스 호텔,4.7,강릉역 도보 5분-174.1km,"45,000원",h
57,홍C호텔 강릉역,4.2,KTX 강릉역 도보5분 745m-173.8km,"54,000원",h
58,강릉씨티호텔,4.8,강릉버스터미널 약 1.78km-172km,"76,500원",h
59,호텔 탑스텐 정동진,4.6,정동진 차량 약 10분-186.5km,"115,500원",h
60,호텔 라피네,4.5,강릉고속버스터미널 5.49km-168.7km,"55,000원",h
61,강릉 파인시티호텔,4.4,강릉고속버스터미널 1.99km-173.9km,"56,000원",h
62,강릉 부티크 호텔 봄봄,4.3,강릉버스터미널 약 1.61km-172km,예약마감,h
63,호텔더샵,4.5,강릉역 1번출구 489m-174.1km,"50,000원",h
64,브이브이 호텔,4.5,강릉버스터미널 약 1.7km-172.1km,"70,000원",h
65,강릉 올림피아 호텔,4.3,강릉역 도보 10분-174.7km,"43,000원",h
66,호텔 이스트나인,4.6,강릉버스터미널 약 1.78km-172km,"78,000원",h
67,강릉 그레이호텔,4.3,강릉버스터미널 약 1.61km-172km,"60,000원",h
68,강릉 루소호텔,4.6,강릉고속버스터미널 1.71km-172km,"60,000원",h
69,강릉 힐링하우스펜션,4.8,자체픽업 가능-164.3km,"55,000원",f
70,강릉 연인들의사랑이야기펜션,4.8,자체픽업 가능-164.4km,"56,000원",f
71,강릉 모안펜션(MD추천),4.7,174.6km,"69,000원",f
72,강릉 씨사이드힐펜션,4.4,185.8km,"70,000원",f
73,강릉 W펜션(개별바베큐),5.0,156.5km,"100,000원",f
74,강릉 아르카디아펜션,4.4,자체픽업 가능-155.3km,"50,000원",f
75,강릉 이지비야펜션,4.8,168.1km,"54,000원",f
76,강릉 휴빈펜션,3.5,164.5km,예약마감,f
77,강릉 통나무펜션,3.5,163.7km,"100,000원",f
78,강릉 벌마루펜션,4.9,161.9km,"60,000원",f
79,강릉 힐링캠프예서원펜션,3.5,172.8km,"80,000원",f
80,강릉 산장펜션,5.0,176.3km,"100,000원",f
81,강릉 워너비 펜션(무인텔),5.0,187.6km,"200,000원",f
82,강릉 사나래펜션,4.5,자체픽업 가능-163.1km,"80,000원",f
83,강릉 누리마루펜션,5.0,164.4km,"210,000원",f
84,강릉 크레도1330펜션,5.0,자체픽업 가능-187.6km,예약마감,f
85,강릉 클레이하우스펜션,4.9,자체픽업 가능-168.8km,"80,000원",f
86,강릉 해솔내음펜션,5.0,177.5km,"65,000원",f
87,강릉 킹마운틴펜션,4.9,155km,예약마감,f
88,강릉 테라176펜션,4.7,185.4km,"99,000원",f
89,강릉 연하우스펜션,3.5,164.4km,"200,000원",f
90,강릉 삽당령펜션,5.0,자체픽업 가능-169.2km,"120,000원",f
91,강릉 바우골펜션,4.7,자체픽업 가능-164.6km,"50,000원",f
92,강릉 정명수펜션,3.5,163.7km,"100,000원",f
93,강릉 한내펜션,3.5,161.1km,"100,000원",f
94,강릉 반딧불황토방펜션,3.5,156.5km,"70,000원",f
95,강릉 야생화마을펜션,5.0,164.4km,"100,000원",f
96,강릉 학동한옥펜션,3.5,177km,"350,000원",f
97,강릉 안목있는춘향독채펜션,4.9,177.5km,"80,000원",f
98,강릉 검댕이골펜션,5.0,163.4km,예약마감,f
99,강릉 뷰티호텔펜션,5.0,174km,"65,000원",f
100,강릉 하늬바람펜션,3.5,자체픽업 가능-166.2km,"70,000원",f
101,강릉 해피몽펜션(애견펜션),4.9,자체픽업 가능-164.7km,"70,000원",f
102,강릉 티케하우스펜션,4.3,자체픽업 가능-170.6km,"80,000원",f
103,강릉 파라곤펜션,3.5,자체픽업 가능-185.9km,"110,000원",f
104,강릉 산야천펜션,3.5,161.2km,"100,000원",f
105,강릉 황토와솔내음펜션,4.7,174.7km,"80,000원",f
106,강릉바우길 게스트하우스,4.6,173.5km,"250,000원",g
107,강릉 월화 게스트하우스,5.0,강릉 월화거리-173.9km,예약마감,g
108,강릉 슈밍 게스트하우스,4.0,강릉역-174km,"40,000원",g
109,강릉 ing게스트하우스,5.0,강릉역-174.5km,"60,000원",g
110,강릉게스트하우스 중앙점,4.8,중앙동주민센터-173.6km,"60,000원",g
111,망상 비치 호스텔,3.9,도직해안가 둘레길-187.7km,"60,000원",g
112,강릉 썬앤제이드 호스텔,3.5,금진초등학교 뒤-185.5km,예약마감,g
113,강릉 게스트하우스 뮤,3.7,강릉 하나금융투자-173.4km,"300,000원",g
114,강릉 위크엔더스,4.5,173.6km,"95,000원",g
115,강릉 백패커스 게스트하우스,3.5,강릉역 1번 출구에서 도보 7분-173.9km,예약마감,g
