,name,score,loc,lowest_price,category
0,주문진 강릉 씨베이호텔,4.4,169.8km,"49,900원",m
1,강릉 경포대 라메르 호텔,4.1,겅포 도립공원 내 위치-173.1km,"50,000원",m
2,강릉 경포대 포시즌 비치 호텔,4.3,174.6km,"39,000원",m
3,강릉 경포대 와이앤지(Y&G),4.6,174.8km,"30,000원",m
4,강릉 경포대 애플,3.9,174.9km,예약마감,m
5,강릉 경포대 아이홀릭,4.1,174.9km,"30,000원",m
6,강릉 경포대 이룸,4.5,경포 해변 도보 10분-174.9km,"30,000원",m
7,강릉 경포대 J&TEL,4.6,세븐일레븐 인근-174.9km,예약마감,m
8,강릉 넘버25 강릉경포점,4.6,경포해변 도보 2분거리-174.9km,"40,000원",m
9,강릉 경포대 러블리모텔,4.6,경포대 해수욕장 도보 5분거-174.9km,"35,000원",m
10,강릉 경포대 WYNN(윈),4.1,경포대 해수욕장 앞-175.4km,예약마감,m
11,강릉 경포대 스완,4.3,175.6km,"35,000원",m
12,강릉 경포대 수 호텔,4.6,175.7km,"50,000원",m
13,강릉 경포대 코아,4.4,경포대 해변 도보 20초거리-175.7km,"30,000원",m
14,강릉 경포대 호텔랑,4.3,175.7km,"50,000원",m
15,강릉 경포대 큐브,4.4,경포대 해수욕장 바로 앞-175.7km,"45,000원",m
16,강릉 경포대 호텔 R,4.5,경포해변 20m 이내-175.8km,"45,000원",m
17,강릉 경포대 별장호텔,4.2,176km,"45,000원",m
18,강릉 경포대 파라다이스,4.7,동해해양경찰서 강릉파출소인근-176.4km,"30,000원",m
19,강릉 경포대 아이리스 스테이,4.5,강문솟대다리에서 차량이용시 5분이내-176.6km,"35,000원",m
20,강릉 경포대 호텔주노,4.7,경포대 해수욕장 바로앞-175.7km,"40,000원",m
21,강릉 경포대 빅토리아,4.5,174.8km,"35,000원",m
22,강릉 경포대 오션,4.1,경포대 거리 100M-175.7km,"30,000원",m
23,강릉 경포대 산토리니,4.4,경포해변 도보 3분-175.4km,"40,000원",m
24,강릉 경포대 타임,4.6,경포해변10미터 객실에서일출조망-175.7km,"35,000원",m
25,강릉 벨라,4.6,171.7km,"50,000원",m
26,강릉 경포대 경포힐,4.2,경포호 인근-175km,"35,000원",m
27,강릉(정동진) 호텔 모텔 탑스빌,4.1,모래시계공원 해수욕장 앞-185.3km,"30,000원",m
