,name,score,loc,lowest_price,category
0,동해 명품 자바무인텔,4.7,192.5km,"60,000원",m
1,태백 태백무인텔(1대1 Drive-In),4.8,태백 시내 5분거리-184.2km,예약마감,m
2,동해 피카소,4.3,동해시청 도보 5분-192.1km,"50,000원",m
3,삼척 국제,3.7,"삼척터미널 바로 인근 위치, 눌러서 위치보기-197km","50,000원",m
4,태백 우진,4.5,"당골계곡 인근, 눌러서 위치보기-184.4km","40,000원",m
5,동해 피그,4.3,191.9km,"40,000원",m
6,동해 SM,4.0,192.1km,"50,000원",m
7,동해 호텔 스토리+드라이브 인 무인텔,4.7,193km,"70,000원",m
8,동해 글로리아 관광호텔,4.3,192km,"52,000원",m
9,동해 베리식스,4.6,192.2km,"60,000원",m
10,동해 본스테이,4.8,동해 시청 인근-192.1km,"55,000원",m
11,동해 유브(UVE),4.6,192.1km,"50,000원",m
12,동해 샤인,4.4,193.1km,"40,000원",m
13,태백 이지스,4.2,185.6km,예약마감,m
14,태백 M+ 드라이브 인 무인텔,4.7,186.1km,"50,000원",m
15,태백 아르데코,4.7,184.8km,"50,000원",m
16,삼척 충일모텔,4.5,197km,"50,000원",m
17,동해 킹,4.5,192.1km,"35,000원",m
18,태백 프라미스,4.5,186.2km,"50,000원",m
19,동해 별 무인텔,4.3,동해 고속버스터미널 바로 옆-191km,"40,000원",m
20,동해 부영모텔,4.6,190.9km,"30,000원",m
21,삼척 테마,4.4,197.1km,"40,000원",m
22,"동해 호텔,바다(Hotel, Bada)",4.7,192.3km,예약마감,m
23,동해 DQ,4.7,190.9km,"45,000원",m
24,동해 귀빈 모텔,4.4,190.9km,"30,000원",m
25,삼척 문(Moon),4.2,197.2km,"50,000원",m
26,동해 베리스타,4.0,192.1km,"33,000원",m
27,동해 애슈리,4.2,191.6km,"50,000원",m
28,삼척 쿡(KOOK)모텔,4.4,215.3km,"60,000원",m
29,동해 로얄모텔,4.3,190.9km,"30,000원",m
30,동해 에덴,1.0,191.7km,"55,000원",m
31,동해 청원,4.5,190.9km,예약마감,m
32,태백 블루문모텔,5.0,189.8km,예약마감,m
33,동해 엘리시안 호텔,3.0,192.2km,"60,000원",m
34,태백 꿈드림,3.5,192.2km,예약마감,m
35,태백 M,4.5,186.2km,"35,000원",m
36,삼척 비치호텔,4.2,삼척해수욕장 인근 위치-197km,"60,000원",m
37,동해 초콜릿,3.5,189.9km,예약마감,m
38,태백 꿈,4.1,186.3km,예약마감,m
39,동해 일하모텔,4.2,어달해수욕장 바로 앞 위치-192.2km,"50,000원",m
40,태백 관광호텔(쏘라노),5.0,태백 이마트옆-183.2km,예약마감,m
41,삼척 구룡,2.7,197.1km,"40,000원",m
42,동해 대명모텔,3.5,190.8km,"50,000원",m
43,삼척 스타모텔,4.6,197.1km,"50,000원",m
44,동해 청송펜션,3.5,191.9km,"60,000원",m
45,삼척 수로모텔,4.5,215.6km,"55,000원",m
46,동해 코코호텔,3.5,192.2km,예약마감,m
47,뉴동해관광호텔,4.8,동해종합버스터미널 도보 1분-190.8km,"74,000원",h
48,쏠비치 삼척리조트,4.7,삼척해수욕장 약 500m-196.6km,"203,000원",h
49,쏠비치 삼척호텔,4.7,삼척해수욕장 약 500m-196.6km,"198,000원",h
50,동해보양온천 컨벤션 호텔,4.1,동해시 망상해수욕장-189.3km,"58,800원",h
51,그라시아 리조트,4.5,원평해수욕장 인근-207.7km,"110,000원",h
52,아이체크현진호텔,4.7,동해역 3.27km-192.1km,"60,000원",h
53,동해 피카소 호텔,4.5,동해시 한섬해수욕장 790m-192.1km,"50,000원",h
54,씨스포빌 리조트,4.2,맹방해수욕장 인근-202.2km,"79,100원",h
55,코스모스 호텔,4.4,동해버스터미널 차량 4분-192.1km,"70,000원",h
56,도노관광호텔,3.6,동해버스터미널 차량 4분-192km,예약마감,h
57,"동해 글로리아 관광호텔(구, 동해 이스턴호텔)",4.2,한섬해수욕장 도보 10분-192km,"50,000원",h
58,라마다 강원 태백 호텔,4.0,태백산국립공원 차량 4분-185.6km,예약마감,h
59,현진관광호텔,4.7,동해 버스터미널 자동차 5분-192.1km,"102,000원",h
60,삼척 해뜨는펜션,4.8,자체픽업 가능-211.9km,예약마감,f
61,"동해 하늘펜션(오션뷰,반려동물)",4.1,192.1km,"99,000원",f
62,"삼척 두바이펜션(오션뷰,월풀스파)",4.7,199.6km,예약마감,f
63,삼척 예그리나펜션,4.9,199.6km,예약마감,f
64,삼척 카라스파펜션,4.9,199.6km,"139,000원",f
65,삼척 펜션휴가,4.8,199.6km,예약마감,f
66,삼척 씨엔블루펜션,4.9,199.6km,예약마감,f
67,삼척 라온스파펜션,4.9,199.6km,예약마감,f
68,삼척 와우펜션,4.9,199.6km,예약마감,f
