,name,score,loc,lowest_price,category
0,속초 호텔아마란스,4.9,157.5km,"46,000원",m
1,속초 해와별,4.3,158.1km,"40,000원",m
2,속초 WINUS(위너스),4.6,청초호 호수공원 인근-159.9km,"40,000원",m
3,속초 잠자리,4.6,설악 해수욕장대포항동명항차량5분이내접근-160km,"40,000원",m
4,속초 이코노미 호텔,4.3,160.2km,"38,000원",m
5,속초 브루클린(BROOKLYN HOTEL),4.7,160.3km,"60,000원",m
6,속초 두 호텔,4.9,160.4km,"70,000원",m
7,속초 호텔청초,4.2,160.5km,"35,000원",m
8,속초 라온호텔,4.3,청초호해상공원 인근-160.6km,"50,000원",m
9,속초 Moyen Hotel (모옌),4.5,"청초호,속초해수욕장,관광시장 인근-160.7km","45,000원",m
10,속초 미아모르,4.4,160.8km,"40,000원",m
11,속초 시나브로,4.8,160.8km,"60,000원",m
12,속초 더 블루,3.8,161.5km,"62,000원",m
13,속초 별 헤는 밤,4.2,"속초 해수욕장, 고속버스터미널 도보 5분-161.5km","33,000원",m
14,속초 오션파크,4.8,속초 해수욕장 도보 1분-161.8km,"49,700원",m
15,속초 비치모텔,4.6,"속초 해수욕장, 고속버스터미널 도보 5분거리 -161.8km","40,000원",m
16,고성 에이스,4.6,161.8km,"40,000원",m
17,속초 스테이호텔,4.5,161.9km,"50,000원",m
18,속초 리츠호텔,4.5,동명항 등대 전망대 및 (등대해변인근) 포장마차촌 도보 5분거리 -162.6km,"40,000원",m
19,속초 등대비치 모텔,4.5,속초등대 전망대 인근-162.7km,"35,000원",m
20,고성 오션투유 리조트 설악비치 호텔앤콘도,4.5,삼포해변 인근-162.8km,"39,900원",m
21,속초 뷰티풀(View-tiful),4.6,159.9km,"35,000원",m
22,속초 메모리즈,4.7,바닷가 도보1분 포장마차거리 도보3분-162.7km,"50,000원",m
23,속초 몰디브,4.1,GS25 인근-161.4km,"30,000원",m
24,속초 두바퀴모텔,4.5,161.4km,"28,000원",m
25,속초 K,3.9,161.4km,"45,000원",m
26,속초 프리미어,4.6,159.6km,"35,000원",m
27,고성 호텔파티오,4.5,161.8km,"50,000원",m
28,속초 호텔 포레(FORET),4.5,160.1km,"40,000원",m
29,속초 해담은,4.7,162.3km,"50,000원",m
30,속초 느낌,4.6,속초 해수욕장 인근-159.9km,"40,000원",m
31,속초 타임모텔,3.3,속초해변 인근-161.7km,"49,000원",m
32,속초 추억,4.6,청초호 인근-160.8km,"35,000원",m
33,속초 SOYU(소유),4.6,160.8km,"35,000원",m
34,속초 호텔 웨이브,4.3,청초호 인근-160.8km,"35,000원",m
35,고성 네츄럴하우스,4.5,공형진개그테마해수욕장 뒤편-163.3km,"60,000원",m
36,고성 옵바위,4.5,163.5km,"70,000원",m
37,속초 칼즈배드,4.4,교동지하차도 사거리 인근-159.6km,"40,000원",m
38,속초 등대비치호텔,4.9,162.5km,"70,000원",m
39,속초 허브모텔,4.3,160.1km,"45,000원",m
40,속초 대궐파크,3.9,161.2km,"25,000원",m
