,name,score,loc,lowest_price,category
0,양양 JM 무인텔,4.7,157.5km,"50,000원",m
1,양양 오렌지,4.5,물치항 차로 1분 거리-160.6km,"39,000원",m
2,양양 설악비치 펜션&호텔,4.0,160.7km,"45,000원",m
3,양양 몰디브,4.3,설악해수욕장 인근 위치-160.7km,"38,000원",m
4,속초 해돋이 호텔,4.3,160.7km,"40,000원",m
5,속초 SEA STAY(씨스테이),4.3,물치해변 인근-160.7km,"40,000원",m
6,양양 낙산 월드비치,4.3,161km,"40,000원",m
7,양양 비치콘도,4.5,낙산오토캠프장 인근-161.3km,"50,000원",m
8,양양 에이트 호텔&펜션,4.6,정암해수욕장 건너편-160.4km,"40,000원",m
9,속초 포트뷰(PORT VIEW),4.5,물치항 바로 맞은편-160.7km,"40,000원",m
10,양양 낙산 페블비치,4.7,낙산해수욕장 바로 앞-161km,"35,000원",m
11,양양 하늘바다펜션,5.0,160.5km,"55,000원",m
12,양양 하조대 동화비치,3.8,165km,"80,000원",m
13,양양 유채꽃향기처럼,4.4,버스터미널 차량 4분-157.2km,"50,000원",m
14,양양 씨스타동해,4.6,원포삼거리 / 원포해변 인근-167.5km,"40,000원",m
15,양양(하조대) 아모르무인텔,4.9,165.4km,"50,000원",m
16,양양 설화(주문진),4.4,168.6km,"35,000원",m
17,양양 낙산 해마루,4.6,낙산해수욕장 인근 위치-161km,"30,000원",m
18,양양 수산모텔,3.5,162.7km,"50,000원",m
19,양양 낙산 청해,3.5,160.7km,"35,000원",m
20,양양 하조대 비치하우스,1.0,165.1km,"50,000원",m
21,양양 낙산 양양모텔,4.5,160.7km,"35,000원",m
22,양양 위대한 게스트,3.5,160.8km,"150,000원",m
23,양양 낙산 바닷가콘도텔,3.5,160.9km,예약마감,m
24,양양 국제공항호텔,3.0,159.6km,"65,900원",m
25,양양 낙산 엠파스 콘도텔,5.0,161km,"45,500원",m
26,양양 낙산 크로바,4.8,160.8km,"35,000원",m
27,양양 낙산 푸른바다콘도텔,3.9,161km,"35,000원",m
28,양양 낙산 7호넷비치,5.0,161km,"45,000원",m
29,양양 낙산 해변모텔,2.5,160.8km,"33,000원",m
30,양양 무학모텔,4.9,160.8km,"50,000원",m
31,양양 낙산 둥지 모텔,3.5,160.7km,"40,000원",m
32,양양 호텔 당근,3.5,160.7km,예약마감,m
33,양양(하조대) 서프원리조트 모텔,3.5,165km,"50,000원",m
34,양양 낙산 오아시스,3.5,낙산버스터미널 5분이내 거리-160.8km,예약마감,m
35,양양 낙산 파인비치,4.1,낙산 해수욕장 도보 2분 거-161.1km,"60,000원",m
36,양양 오션파크콘도텔,5.0,160.5km,"50,000원",m
37,양양 갈천훼밀리리조트,1.0,142.9km,"60,000원",m
38,에이트 호텔,3.8,정암해수욕장 도보 8분-160.4km,"50,000원",h
39,오색그린야드호텔,4.5,오색버스터미널 800m-144.5km,"71,500원",h
40,양양 더앤리조트 호텔&스파,3.9,갯마을해수욕장 차량 5분-166.4km,"84,800원",h
41,양양 이엘호텔,4.4,양양군 정암해수욕장 바로 앞-160.5km,"72,100원",h
42,더 낙산 호텔,4.5,낙산해수욕장 도보 6분-161km,"52,000원",h
43,디그니티 호텔,4.6,낙산해수욕장 도보 1분-161.3km,"92,700원",h
44,스위트 호텔 낙산,4.5,낙산 해수욕장 300m-161km,"90,000원",h
45,쏠비치 양양 호텔,4.6,양양군 손양면-162.5km,"101,000원",h
46,낙산비치호텔,4.6,낙산해수욕장 바로 앞-161.1km,"79,000원",h
