,name,score,loc,lowest_price,category
0,정선 인투라온,4.6,169.9km,"49,900원",m
1,영월 영월무인텔(1대1 Drive-In),4.8,영월시내에서 5분거리-144.5km,"55,000원",m
2,영월 리버파크,4.4,149.1km,"30,000원",m
3,영월 김삿갓,3.8,149.1km,"30,000원",m
4,정선 휘닉스,4.6,170km,"40,000원",m
5,정선 엘스호텔,4.6,정선 사북역 인근 위치-169.5km,"40,000원",m
6,영월 어라연,4.6,141.1km,"56,000원",m
7,정선 메이플관광호텔,3.8,166km,"50,000원",m
8,정선 에이스가족호텔,4.8,172.7km,"35,000원",m
9,정선 인투라온 호텔,4.6,사북역 도보 10분거리-169.5km,"49,900원",h
10,파크로쉬 리조트앤웰니스,4.9,정선군 숙암계곡 인근-147.7km,"324,000원",h
11,파인포레스트 정선 알파인리조트,4.5,정선군 숙암계곡 인근-147.7km,"90,000원",h
12,정선 엘스 관광호텔,4.3,정선군 사북역 약 1.38km-169.5km,"40,000원",h
13,메이힐스 리조트,4.4,스키장 인근-171.9km,"49,900원",h
14,하이원 마운틴콘도,4.6,고한역 차량 12분-171.2km,"95,200원",h
15,하이원 그랜드 호텔 메인타워(구.강원랜드호텔),4.8,강원랜드 도보 1분-170.6km,"95,200원",h
16,하이원 그랜드 호텔 컨벤션타워(구.하이원 컨벤션호텔),4.7,강원랜드 도보 1분-170.6km,"106,400원",h
17,이코노미호텔 정선,4.0,민둥산역 도보 6분-166km,"50,000원",h
18,정선 메이플 관광호텔,3.9,민둥산역 도보 5분-166km,"50,000원",h
19,하이캐슬리조트,4.2,하이원스키장 1Km 초인접 인근-170.3km,예약마감,h
20,하이원 밸리콘도,4.7,강원랜드 차량 3분-172.5km,예약마감,h
21,하이원 힐콘도,4.9,강원랜드 차량 5분-172.3km,예약마감,h
22,하이원 팰리스호텔(구.하이원호텔),4.7,고한역 차량 12분-173.6km,"67,200원",h
23,에이스 가족호텔,4.6,정선군 고한읍-172.7km,"35,000원",h
24,하이밸리호텔,4.5,정선군 고한읍-172.6km,"55,000원",h
25,탑스텐 동강 시스타 리조트,3.5,영월군 동강-144.6km,예약마감,h
26,영월 아틀란티스펜션,4.5,125.8km,"60,000원",f
27,영월 유어캐슬펜션,4.0,120.4km,"80,000원",f
28,영월 소소정펜션,4.8,자체픽업 가능-120.4km,"100,000원",f
29,영월 유앤아이펜션,4.4,125.9km,"60,000원",f
30,영월 강가에하얀집펜션,4.3,자체픽업 가능-138.7km,"50,000원",f
31,영월 김삿갓휴게소펜션,4.6,155.5km,"60,000원",f
32,영월 리버팰리스펜션,4.2,139.3km,"60,000원",f
33,정선 토우마루펜션,5.0,161km,"110,000원",f
34,정선 578프라이빗하우스펜션,5.0,155.8km,"220,000원",f
35,영월 바른골펜션,3.5,162.5km,"300,000원",f
36,정선 쉴만한물가펜션,4.6,자체픽업 가능-153.2km,"100,000원",f
37,정선 강과소나무펜션,5.0,자체픽업 가능-150.2km,"160,000원",f
38,영월 비브릿지풀빌라펜션,4.7,157km,"130,000원",f
39,정선 어울림펜션,5.0,150.3km,"80,000원",f
40,영월 프레임하우스풀빌라,4.7,155.2km,"210,000원",f
41,영월 와석유앤아이펜션,4.1,153.8km,"59,000원",f
42,정선 가네골농원펜션,3.5,148.9km,"80,000원",f
43,영월 산수애펜션,5.0,136.7km,"69,000원",f
44,영월 태화산마을체험펜션,3.5,142.3km,"80,000원",f
45,정선 광수네민박펜션,5.0,154.3km,"100,000원",f
46,영월 하늘샘펜션,3.5,143.9km,"80,000원",f
47,영월 황궁한옥펜션,3.5,115.7km,예약마감,f
48,영월 동강반딧불이펜션,3.5,144.2km,"100,000원",f
49,영월 포안펜션,5.0,112.5km,"80,000원",f
50,영월 올리브그린펜션,3.5,121.1km,"80,000원",f
51,영월 강변쉼터펜션,3.5,126km,"60,000원",f
52,"영월 은하수밸리펜션(동강부근,가족,커플)",4.6,143.5km,"100,000원",f
53,정선 모래불펜션,5.0,자체픽업 가능-157.4km,"90,000원",f
54,정선 정선뜰펜션,4.5,자체픽업 가능-150.1km,"80,000원",f
55,영월 푸른하늘펜션,3.5,143.9km,"80,000원",f
56,정선 모꼬지펜션,4.9,158.4km,예약마감,f
57,영월 아뜰리에펜션,4.9,125.8km,"170,000원",f
58,영월 강을품은창펜션,4.8,마트픽업 가능-144.5km,예약마감,f
59,정선 도원펜션,4.7,자체픽업 가능-149.3km,"40,000원",f
60,정선 반딧불이황토펜션,4.8,자체픽업 가능-159.4km,"100,000원",f
61,정선 별빛나라펜션,4.7,자체픽업 가능-164.8km,"50,000원",f
62,정선 민둥산하이원펜션,3.5,자체픽업 가능-167.8km,"100,000원",f
63,정선 하이스카이펜션,4.3,자체픽업 가능-164.7km,"50,000원",f
64,정선 정선애펜션&캠핑장,4.7,156.2km,"80,000원",f
65,원주 파인힐펜션,4.3,114.2km,"80,000원",f
66,영월 힐링숲펜션,3.5,자체픽업 가능-113.8km,"35,000원",f
67,정선 연리지펜션,5.0,176.4km,예약마감,f
68,정선 정선통나무펜션,4.6,155.9km,"55,000원",f
69,정선 다온펜션,4.9,176.4km,"80,000원",f
70,정선 솔미펜션,5.0,176.3km,"100,000원",f
71,영월 산여울펜션,3.5,119.2km,"80,000원",f
72,정선 메이플펜션,4.1,164.5km,"70,000원",f
73,정선 가리왕산소나무집펜션,4.8,145.1km,"70,000원",f
74,정선 은석힐링마을펜션,5.0,자체픽업 가능-155.7km,예약마감,f
75,영월 강&별펜션,4.3,자체픽업 가능-143.9km,"60,000원",f
76,영월 동강캐슬펜션,5.0,142.1km,예약마감,f
77,영월 두덕골휴펜션,3.5,113.8km,예약마감,f
78,정선 햇빛누리펜션,4.3,자체픽업 가능-170km,"80,000원",f
79,정선 또바기콘도펜션,5.0,자체픽업 가능-167.3km,"130,000원",f
80,영월 동강가자봉래펜션,4.5,143.1km,"60,000원",f
81,정선 별빛캠프펜션,4.3,자체픽업 가능-170km,"80,000원",f
82,정선 별자리펜션,4.3,자체픽업 가능-169.8km,"80,000원",f
83,정선 산솔펜션,4.7,자체픽업 가능-164.7km,"60,000원",f
84,영월 소나무펜션,1.0,120km,"50,000원",f
85,영월 구름에달가듯이펜션,4.8,155.7km,"72,000원",f
86,영월 들꽃산장펜션,5.0,113.4km,"100,000원",f
87,영월 한우리펜션,3.5,119.4km,"80,000원",f
88,정선 별빛독채펜션,3.5,자체픽업 가능-164.8km,예약마감,f
89,영월 스타글램핑펜션,3.5,120.4km,"99,000원",f
90,영월 슬로우캠프펜션,3.5,113.2km,"110,000원",f
91,영월 동강솔펜션,3.5,143.9km,예약마감,f
92,영월 비브릿지글램핑앤카라반펜션,3.5,157.1km,"180,000원",f
93,영월 동강1박2일펜션,3.5,자체픽업 가능-144.1km,"40,000원",f
94,영월 휴가를부탁해캠핑장앤펜션,3.5,162.2km,"35,000원",f
95,영월 별빛좋은펜션,3.5,144.9km,"90,000원",f
96,영월 강빛노을펜션,3.5,138.6km,"40,000원",f
97,영월 더박스펜션,1.0,143.7km,예약마감,f
98,영월 둥지펜션,3.5,120.8km,"100,000원",f
99,영월 동강포도원래프팅펜션,3.5,143.5km,"80,000원",f
100,영월 골든파인펜션,4.9,164.8km,"124,000원",f
101,영월 사람과자연펜션,4.5,126.5km,"80,000원",f
102,영월 온새미로펜션,3.5,119.9km,"80,000원",f
103,영월 어린왕자펜션,3.5,144km,"50,000원",f
104,영월 늘푸른펜션캠핑장(파격특가),5.0,161.5km,"79,000원",f
105,정선 하늘나리펜션,3.5,166.5km,"90,000원",f
106,정선 푸른솔펜션,3.5,174.1km,"80,000원",f
107,정선 아미띠에펜션,4.3,165.5km,"60,000원",f
108,정선 덕산기의아침펜션,5.0,자체픽업 가능-159.5km,"90,000원",f
109,영월 자연과함께펜션,3.5,120.6km,"130,000원",f
110,정선 까레펜션,5.0,159km,"80,000원",f
111,영월 동강빌리지카라반펜션,4.7,144.1km,"70,000원",f
112,영월 오아시스글램핑,4.6,138.5km,"159,000원",f
113,영월 히어리펜션,4.0,155.5km,"150,000원",f
114,정선 하이밸리호텔,3.5,172.6km,"55,000원",f
115,정선 레일바이크펜션,5.0,자체픽업 가능-156.5km,"100,000원",f
116,영월 달꽃펜션,5.0,115.3km,"250,000원",f
117,영월 비탈길펜션,5.0,149.6km,"80,000원",f
118,영월 우리두리글램핑펜션,4.9,119.5km,"119,000원",f
119,영월 삿갓펜션&오토캠핑장,4.7,156.1km,"40,000원",f
120,영월 펜션꿈꾸는강,2.0,143.9km,"80,000원",f
121,정선 펜션더밸리,3.5,145.4km,"100,000원",f
122,정선 가리왕산관광농원펜션,3.5,145.2km,예약마감,f
123,정선 다향산방펜션,3.5,146.3km,"60,000원",f
124,정선 가리왕산이야기 펜션,3.5,145.2km,"70,000원",f
125,영월 아름풍경펜션,4.0,141.1km,"60,000원",f
126,영월 솔펜션,3.0,161.6km,"80,000원",f
127,정선 365행복펜션,4.7,154.2km,"80,000원",f
128,정선 하얀돔펜션,4.3,164.6km,"75,000원",f
129,영월 한반도리버 펜션,3.7,130.2km,"50,000원",f
130,영월 큐브존캠핑펜션,4.4,129.5km,"45,000원",f
131,영월 별이빛나는밤에캠핑펜션,4.8,120.3km,"89,000원",f
132,영월 파랑새펜션,5.0,155.6km,"70,000원",f
133,정선 구름사다리펜션,4.9,자체픽업 가능-158.2km,"110,000원",f
134,정선 자연속으로펜션,5.0,자체픽업 가능-146.6km,"70,000원",f
135,영월 에코빌리지유스호스텔,4.5,143.5km,"95,000원",f
136,영월 동강라메종펜션,5.0,143.5km,"70,000원",f
137,영월 스카이펜션캠핑장,5.0,자체픽업 가능-121km,"30,000원",f
138,영월 월강산하촌펜션,5.0,자체픽업 가능-144km,"150,000원",f
139,정선 장수펜션,3.1,149.5km,"50,000원",f
140,정선 워터펜션,3.5,149.5km,"80,000원",f
141,영월 낙타펜션,3.5,120.5km,"120,000원",f
142,영월 수펜션,5.0,자체픽업 가능-114.2km,"80,000원",f
143,정선 프로방스펜션,4.6,자체픽업 가능-164.6km,예약마감,f
144,정선 드위트리풀빌라,5.0,자체픽업 가능-166.7km,예약마감,f
145,영월 패트로누스펜션,4.9,154.7km,"168,000원",f
146,정선 숲속의캐슬펜션,5.0,자체픽업 가능-164.7km,"70,000원",f
147,영월 묵산관펜션(스파),4.3,자체픽업 가능-154.9km,"100,000원",f
148,정선 락있수다테마펜션,5.0,170.5km,"110,000원",f
149,정선 스카이펜션,5.0,149.5km,"100,000원",f
150,영월 동강하소엘펜션,3.5,자체픽업 가능-143.8km,"60,000원",f
151,영월 요선힐펜션,5.0,122.2km,예약마감,f
152,영월 자연이랑 캠프펜션,5.0,법흥사 가는길-120km,"100,000원",g
153,영월 자연이랑 캠프,4.9,법흥사 가는길-118.3km,"30,000원",g
154,정선 개미들 휴양마을,4.9,정선터미널-157.1km,"88,000원",g
155,영월 엘리스의 다락방(황금마차 휴양마을),4.9,북면 치안센터-138.2km,"46,000원",g
156,영월 금학펜션 휴양마을,5.0,123.7km,"120,000원",g
