,name,score,loc,lowest_price,category
0,원주 별 무인텔,4.8,86.8km,"50,000원",m
1,원주 명품&베스트 무인텔,4.7,87.9km,"40,000원",m
2,원주 센스무인텔,4.7,88km,"40,000원",m
3,원주 윈드힐 무인텔,4.3,88.5km,"35,000원",m
4,원주 베니키아 호텔 비즈인,4.8,원주 시청 인근 위치-90.1km,"60,000원",m
5,원주 에드호텔,4.6,90.1km,"50,000원",m
6,원주 힐탑,4.5,90.4km,"38,000원",m
7,원주 2in(투인) 1호점,4.2,90.4km,"35,000원",m
8,원주 호텔 V,4.7,원주 시외/고속버스터미널인근-90.4km,"40,000원",m
9,원주 A 모텔,4.4,시외/고속 버스터미널 인근-90.4km,예약마감,m
10,원주 POP,4.6,원주시외버스터미널 인근 위치-90.4km,"40,000원",m
11,원주 MARY JANE HOTEL,4.7,단계동 장미공원길 인근 위치-90.4km,"60,000원",m
12,원주 G,4.7,시외버스터미널인근 위치-90.4km,"35,000원",m
13,원주 마리 호텔,4.8,원주 시외/고속버스터미널인근-90.4km,"50,000원",m
14,원주 호텔 온더문,4.9,90.4km,"65,000원",m
15,원주 이틀호텔,4.5,"원주 터미널,메가 박스,장미공원 도보 1분 남원주IC,우산 산업단지 차량 7분 -90.4km","45,000원",m
16,원주 봄봄 호텔,4.7,"원주 터미널, 장미공원 인근 위치-90.5km","50,000원",m
17,원주 호텔 하루,4.9,90.5km,"50,000원",m
18,원주 투인 2호점 + 9street cafe,4.2,90.5km,"40,000원",m
19,원주 WONJU STAY HOTEL,4.9,90.6km,예약마감,m
20,원주 호텔 이쁘다,4.8,90.6km,"60,000원",m
21,원주 HOTEL MAY,4.7,원주 고속버스터미널 인근 위치-90.6km,"70,000원",m
22,원주 벨리노 호텔,4.7,원주 시외/고속버스터미널인근-90.6km,"45,000원",m
23,원주 파라다이스,4.7,시외/고속 버스터미널 인근-90.7km,"30,000원",m
24,원주 코코호텔,4.7,**원주 고속버스터미널 인근**  외부 주차장확보-90.7km,"55,000원",m
25,원주 드림파크모텔,4.7,91.4km,"33,000원",m
26,원주 조이 호텔,5.0,91.6km,"30,000원",m
27,원주 카카오,4.6,92.2km,"35,000원",m
28,원주 로또,4.6,기매기 사거리 인근-92.3km,"40,000원",m
29,원주 꿈의궁전,4.5,92.3km,"35,000원",m
30,원주 뉴리베라,4.4,92.3km,"30,000원",m
31,원주 H,4.6,단구동 주민센터 인근-93.6km,"45,000원",m
32,원주 하이리츠,4.7,93.6km,"40,000원",m
33,원주 로즈힐,4.1,시외고속터미널 인근-90.4km,"35,000원",m
34,원주 에펠 모텔,4.7,원주 시외/고속버스터미널인근-90.6km,"27,000원",m
35,원주 보스코아 호텔,4.8,원주 혁신도시 건강보험공단 앞 위치-95.8km,"75,000원",m
36,원주 로마 모텔,4.5,92.2km,"25,000원",m
37,원주(문막) 자바 무인텔,4.7,"서원주역, 간현관광지(출렁다리) 인근-84.1km","40,000원",m
38,원주 리츠칼튼,4.4,원주시외버스터미널-90.4km,"40,000원",m
39,원주 J,4.7,원주 고속버스터미널 인근-90.4km,"40,000원",m
40,원주 매지무인텔,4.8,매지터널 인근-91.6km,"30,000원",m
41,원주 2X,4.5,94.3km,"39,000원",m
42,원주 칸,4.4,93.4km,"40,000원",m
43,원주 드라마무인텔,3.9,행구 교차로 인근 위치-96.9km,"30,000원",m
44,원주 뉴스카이,4.2,원주 ic 인근 위치-91km,예약마감,m
45,원주 리베라,4.5,96.4km,"25,000원",m
46,원주 리버뷰,4.6,95.8km,"65,000원",m
47,원주(문막) M,4.6,원주 출렁다리 인근 위치-84.3km,"40,000원",m
48,원주 갤럭시,4.8,92.3km,"35,000원",m
49,원주 스카이,4.7,92.3km,"40,000원",m
50,원주 휴,4.8,93.6km,"50,000원",m
51,원주 리버풀,5.0,원주터미널 도보 1분-90.7km,"40,000원",m
52,원주 커플무인텔,4.3,97.6km,"32,000원",m
53,원주 코리아파크,4.1,90.6km,"27,000원",m
54,원주 올리브,4.7,95.8km,"25,000원",m
55,원주 Q,3.5,원주역 도보 2분거리 정통시장 5분거리 출렁다리 20분거리-91.5km,"40,000원",m
56,원주 리본,3.5,90.7km,"45,000원",m
57,원주 포시즌,3.0,100.6km,예약마감,m
58,원주 호텔 K,5.0,90.1km,예약마감,m
59,원주 시티호텔,4.0,95.8km,"92,400원",m
60,원주 대성모텔,3.0,92.2km,"30,000원",m
61,원주 뉴영동모텔,3.0,90.7km,"30,000원",m
62,원주 뉴코아,4.3,-중앙동 문화의 거리 (강원감영과 전통중물시장 입구 사이에 있습니다)-92.3km,"30,000원",m
63,원주 정타운 모텔,5.0,83.4km,"35,000원",m
64,원주 청색장 모텔,1.0,91.4km,"33,000원",m
65,베니키아 호텔 비즈인,4.6,원주시 시외버스터미널-90.1km,"64,000원",h
66,원주 오키드호텔,4.8,원주시외버스터미널 도보 3분-90.3km,"104,000원",h
67,오크밸리리조트,4.3,원주시 오크밸리 리조트-78.5km,"104,000원",h
68,보스코아 호텔,4.6,건강보험공단 도보 3분-95.9km,"76,000원",h
69,원주 시티호텔,4.8,반곡역 차량 5분 거리-95.8km,"82,000원",h
70,호텔 인터불고 원주,4.2,원주 원주시 반곡동-94.6km,"85,000원",h
71,시티호텔 원주,3.5,두물수변공원 근방 반곡역 2Km 근방-95.8km,예약마감,h
72,치악산호텔,3.0,원주 학곡저수지 근방 원주 학곡저수지 도보 10분 이내-98.7km,"40,000원",h
