,name,score,loc,lowest_price,category
0,춘천(강촌) 센스무인텔,4.3,강촌 119 인근-66.5km,"50,000원",m
1,춘천 카리브,4.6,"남춘천역, 시외버스터미널 200M-76.5km","40,000원",m
2,춘천 라로체루즈 호텔,4.8,남춘천역 인근 위치-76.5km,"50,000원",m
3,춘천 호텔 리츠,4.4,"춘천중학교앞, 공지천공원 인근 위치-76.5km","35,000원",m
4,춘천 秀(수),4.4,춘천역 도보 300m-76.7km,"30,000원",m
5,춘천 S쁘띠,4.9,춘천 경찰서 인근 위치-76.9km,"45,000원",m
6,춘천 HOTEL 라벤다,4.4,76.9km,"45,000원",m
7,춘천 올리브,4.9,남춘천교 도보 약 4분-77km,"50,000원",m
8,춘천 캣츠호텔,4.7,77.1km,"33,600원",m
9,춘천 HOTEL 몽,4.5,남춘천역 도보 15분 거리-77.1km,"30,000원",m
10,춘천 필,4.6,남춘천역 3번출구 인근 위치-77.2km,"35,000원",m
11,춘천 헤이,4.4,"춘천터미널 택시 기본요금, 춘천지방법원 도보 3분거리-77.3km","80,000원",m
12,춘천 Hotel 1962,4.8,"춘천터미널 택시기본요금,법원 도보3분거리-77.3km","51,230원",m
13,춘천 모닝스카이,4.7,"강대정문, 남춘천역 차로 5분거리-77.5km","35,000원",m
14,춘천 라임,4.6,춘천시청 인근 위치-77.6km,"30,000원",m
15,춘천 호텔 코지,4.7,춘천시청 인근 위치-77.6km,"40,000원",m
16,춘천 명동호텔,4.5,닭갈비골목 도보 7분거리-77.8km,"35,000원",m
17,춘천 그랜드,4.4,중앙로터리 한국은행 뒤편-77.9km,"30,000원",m
18,춘천 더베네치아 스위트 HOTEL,4.4,팔호광장 인근 위치-78km,"49,720원",m
19,춘천 스테이 오즈,4.6,"명동, 팔호광장, 강원대, 남춘천역 근접-78km","40,000원",m
20,춘천 플레인호텔(THE PLAIN),4.7,74.1km,"50,000원",m
21,춘천 호텔 121,4.6,팔호광장 인근 위치-78km,"50,000원",m
22,춘천 YAJA 춘천후평점,4.5,춘천시청 인근 위치-79.6km,"40,000원",m
23,춘천 아이호텔,4.7,춘천문화 예술회관 인근-77.1km,"30,000원",m
24,춘천 명작호텔,4.4,운교사거리 도보 5분-77.9km,"50,000원",m
25,춘천 HOTEL OST,4.7,"닭갈비골목 도보 5분, 춘천역 10분,스카이워크 5분-77.8km","40,000원",m
