,name,score,loc,lowest_price,category
0,평창 가자(무인텔),4.7,130.2km,"40,000원",m
1,평창 위모텔(무인텔),4.5,125km,"40,000원",m
2,평창 휘닉스,4.0,휘닉스파크 인근 위치-123.6km,"40,000원",m
3,평창 리도파크,4.0,123.1km,"40,000원",m
4,평창 휴,3.4,천동교 도보 3분거리-128.7km,"40,000원",m
5,휘닉스평창 리조트,4.4,평창군 휘닉스파크 내-122.2km,"120,000원",h
6,휘닉스 호텔,4.7,평창군 휘닉스파크 내-122.5km,"150,000원",h
7,더화이트 호텔 평창,4.8,휘닉스파크 도보 10분-122.8km,"80,000원",h
8,현대엘리엇 호텔&리조트,3.9,평창군 대관령 인-153.1km,"47,000원",h
9,평창 라마다호텔&스위트 바이 윈덤,4.6,순수양떼목장 도보 7분-157km,"69,000원",h
10,평창 AM 호텔,4.6,평창 대관령-156.5km,"55,000원",h
11,아이원 리조트,4.3,평창군 아이원 리조트-154km,"113,000원",h
12,홀리데이 인 스위트 알펜시아 평창,5.0,평창 대관령-153km,"80,898원",h
13,한화리조트 평창,4.5,휘닉스 파크 약 700m-122.6km,"108,600원",h
14,용평 리조트 평창,4.6,평창군 용평 리조트-153.8km,"88,000원",h
15,용평 드래곤밸리 호텔,4.6,평창군 용평 리조트-153.5km,"89,600원",h
16,켄싱턴호텔 평창(구 켄싱턴 플로라 호텔),4.5,평창군 오대산 인근-146.7km,"99,900원",h
17,홀리데이 인 리조트 알펜시아 평창,4.7,평창 대관령인근-153.2km,예약마감,h
18,베리온리조트,4.8,홍정천 근방 중부지구대 도보 4분거리-127.1km,"52,000원",h
19,평창 호텔 더마루,4.7,횡계시외버스터미널 도보 10분-156.5km,"82,353원",h
20,평창 대관령 르꼼떼블루,4.5,대관령 양떼목장 차량 약 5분거리-158.5km,"200,000원",h
21,위드랜드 (구) 더스토리 레지던스,4.9,휘닉스 평창 차량 약 3분거리-121.4km,"79,000원",h
22,인터컨티넨탈 알펜시아 평창,4.8,평창 대관령인근-152.7km,"123,750원",h
23,"평창 현대리조트(개별바베큐,가족펜션)",4.5,자체픽업 가능-123.4km,"69,000원",f
24,평창 수가성펜션,4.1,120.7km,"58,000원",f
25,평창 하늘아래펜션,5.0,122.3km,"80,000원",f
26,평창 대관령모던빌펜션,4.5,152.3km,"40,000원",f
27,평창 대관령숲앤숲펜션,5.0,자체픽업 가능-155.3km,"100,000원",f
28,평창 그린힐펜션,4.7,자체픽업 가능-125.5km,"130,000원",f
29,평창 엔젤드림펜션,5.0,124.4km,"80,000원",f
30,평창 라비앙펜션,3.7,124.4km,"80,000원",f
31,"평창 가을동화펜션(흥정계곡,애견동반)",3.5,124.6km,"60,000원",f
32,평창 주주키즈펜션,4.8,자체픽업 가능-120.7km,"79,000원",f
33,평창 휘겔하임펜션,5.0,124.8km,"120,000원",f
34,평창 우리빌리지펜션,5.0,122.8km,"70,000원",f
35,평창 하늘자락물소리펜션,3.5,자체픽업 가능-127.6km,"80,000원",f
36,평창 자연을닮은집펜션,5.0,127.2km,"49,500원",f
37,평창 나드리펜션,3.5,120.8km,"70,000원",f
38,평창 코뿔소글램핑펜션,5.0,119.3km,"120,000원",f
39,평창 오후의숲펜션,4.0,127.3km,"130,000원",f
40,평창 숲속의이글루펜션,4.0,120.6km,"100,000원",f
41,평창 아름다운강산펜션,3.0,128.2km,"60,000원",f
42,평창 자작나무펜션,5.0,155km,"99,000원",f
43,평창 대관령수정펜션,5.0,155.1km,"100,000원",f
44,평창 밸마운트펜션,4.7,123.1km,"50,000원",f
45,평창 대관령품안에펜션,4.7,자체픽업 가능-157km,"70,000원",f
46,평창 금당한옥펜션,5.0,자체픽업 가능-128.3km,"90,000원",f
47,평창 마띠엘펜션,5.0,자체픽업 가능-127.3km,"90,000원",f
48,평창 야생화테마펜션,2.0,자체픽업 가능-125km,"100,000원",f
49,평창 계방산로뎀나무펜션,5.0,135.8km,"80,000원",f
50,평창 에버누리 펜션,4.0,123km,"60,000원",f
51,평창 아침의소리펜션,3.5,자체픽업 가능-123.7km,"80,000원",f
52,평창 금당계곡 선녀와나무꾼 펜션,3.5,127.7km,"48,000원",f
53,평창 하얀풍차펜션,1.0,124km,예약마감,f
54,평창 솜다리펜션,4.5,120.8km,"100,000원",f
55,평창 오대산힐링타운펜션(은빛동),4.8,147.1km,"40,000원",f
56,평창 언더힐펜션,4.8,자체픽업 가능-123.7km,"70,000원",f
57,"평창 두남재700펜션(리조트,가족펜션)",5.0,157km,"80,000원",f
58,평창 쉼펜션,4.7,120.7km,"49,000원",f
59,평창 로카와델피노펜션,5.0,120.8km,"63,000원",f
60,평창 대관령엘도라도펜션,5.0,155.5km,"85,500원",f
61,"평창 봉쥬르펜션(애견동반,신축펜션)",4.4,124.6km,예약마감,f
62,평창 애비로드펜션,5.0,자체픽업 가능-116.3km,"100,000원",f
63,평창 평창강힐링하우스펜션,5.0,자체픽업 가능-130.3km,"119,000원",f
64,평창 금당계곡블루마운틴펜션,4.8,자체픽업 가능-128.5km,"70,000원",f
65,평창 동화속정원펜션,3.8,154.9km,"80,000원",f
66,평창 별마루펜션,3.5,자체픽업 가능-128km,"129,000원",f
67,평창 메이페어나르샤펜션,5.0,자체픽업 가능-120.3km,예약마감,f
68,평창 오대산힐링타운(물빛동)펜션,4.2,147.1km,"50,000원",f
69,평창 작은천국펜션,5.0,120.8km,"50,000원",f
70,평창 솔숲펜션(개별바베큐),4.3,자체픽업 가능-136.9km,"80,000원",f
71,평창 곰하우스펜션,4.7,128.4km,"100,000원",f
72,평창 더숲펜션,4.7,120.7km,"100,000원",f
73,평창 꿈꾸는다락방펜션,5.0,120.7km,"100,000원",f
74,평창 E3분장펜션,3.5,146.4km,"130,000원",f
75,평창 올독채펜션,4.0,126.3km,"220,000원",f
76,평창 그림펜션,4.8,자체픽업 가능-155.2km,"80,000원",f
77,평창 해피투데이펜션,4.2,자체픽업 가능-124.4km,"54,000원",f
78,평창 리버테라스펜션,3.5,자체픽업 가능-128.5km,"80,000원",f
79,평창 봉평별빛펜션,4.8,121.2km,"48,000원",f
80,평창 나르샤펜션,3.5,자체픽업 가능-128.5km,"80,000원",f
81,평창 아름다운세상펜션,3.5,125.9km,예약마감,f
82,평창 봉평물소리펜션,3.5,자체픽업 가능-123.6km,"40,000원",f
83,평창 아침이슬펜션,3.5,자체픽업 가능-120.9km,"80,000원",f
84,평창 나무와펜션,4.4,123.6km,"70,000원",f
85,평창 그림같은집펜션,3.5,자체픽업 가능-120.9km,"60,000원",f
86,평창 화이트캐슬펜션,5.0,자체픽업 가능-123.6km,"48,000원",f
87,평창 써니주니펜션,4.7,자체픽업 가능-129.3km,"89,000원",f
88,평창 휘슬스톱펜션,3.5,자체픽업 가능-128.7km,"80,000원",f
89,평창 선영아사랑해펜션,3.5,자체픽업 가능-118.2km,"110,000원",f
90,평창 더쉼펜션,3.5,118km,"80,000원",f
91,평창 밸리뷰펜션,3.5,124.4km,"80,000원",f
92,평창 강애산애펜션,3.5,124.3km,"120,000원",f
93,평창 쁘띠펜션,3.5,124.3km,"80,000원",f
94,평창 함초롬펜션,3.5,121.1km,"70,000원",f
95,평창 나모펜션,5.0,124.3km,"70,000원",f
96,평창 프라임존펜션,3.5,122.8km,"150,000원",f
97,평창 다섯난장이펜션,3.5,127.3km,"79,000원",f
98,평창 뷰707펜션,2.0,120.5km,"70,000원",f
99,평창 채울펜션,5.0,127.2km,"80,000원",f
100,평창 필그림펜션,3.5,자체픽업 가능-122km,"70,000원",f
101,평창 대관령양떼마을펜션,5.0,159.4km,"190,000원",f
102,평창 대관령하얀나무펜션,3.5,156.5km,"70,000원",f
103,"평창 펜스토리펜션(단체룸,커플룸완비)",3.5,자체픽업 가능-123.7km,"90,000원",f
104,평창 하늘가까이펜션,3.5,122.6km,"80,000원",f
105,평창 오해피펜션,5.0,118km,"90,000원",f
106,평창 이스턴파크펜션,3.5,133.8km,"50,000원",f
107,평창 대관령옛길펜션,3.0,157.7km,예약마감,f
108,평창 대관령에그게스트하우스,4.0,자체픽업 가능-151.2km,"57,000원",f
109,평창 대관령로뎀나무펜션,5.0,151.2km,"69,600원",f
110,평창 숲사잇길펜션,3.5,자체픽업 가능-146.3km,"100,000원",f
111,평창 가족사랑펜션,4.8,자체픽업 가능-120.9km,"70,000원",f
112,평창 스토리애견펜션,4.6,자체픽업 가능-124.5km,"79,000원",f
113,평창 노스텔지어펜션,4.7,124.5km,"70,000원",f
114,평창 몽샤우펜션,3.5,122.5km,"90,000원",f
115,평창 레몬트리펜션,4.0,120.8km,"45,000원",f
116,평창 들꽃가람펜션,3.5,135.5km,"100,000원",f
117,평창 태기산캠핑장펜션,3.5,120km,예약마감,f
118,평창 키스멧코티지펜션,5.0,자체픽업 가능-129.8km,"170,000원",f
