,name,score,loc,lowest_price,category
0,홍천 달꿈호텔,4.7,홍천 소방소 옆-85.5km,"50,000원",m
1,횡성 횡성무인텔(1대1Drive-In),4.3,91.1km,"55,000원",m
2,횡성 자바무인텔,4.7,101.5km,예약마감,m
3,횡성 사월애호텔,4.9,92.5km,예약마감,m
4,횡성 하루무인텔,4.7,100.1km,"50,000원",m
5,홍천 알프스,4.2,홍천 터미널 3분이내 거리-83.3km,"50,000원",m
6,홍천 화양강 호텔,4.6,홍천 종합운동장 인근-86.1km,"50,000원",m
7,홍천 CK,4.2,무궁화 공원 5분거리-82.9km,"45,000원",m
8,홍천 캐슬모텔,4.0,한서남궁억 기념관 인근-59.3km,"40,000원",m
9,홍천 첼로,3.5,화계 초등학교 10분이내 거-80.5km,"40,000원",m
10,횡성 알프스 대영 골프 빌리지,5.0,101km,예약마감,m
11,홍천 리조텔,4.0,64.5km,"60,000원",m
12,홍천 가리산드오모텔,4.7,98.2km,"50,000원",m
13,홍천 궁전,1.0,화계초등학교 10분이내 거리-80.6km,"40,000원",m
14,홍천 그린모텔,2.5,90.9km,"30,000원",m
15,홍천 우등장모텔,4.9,72.9km,"40,000원",m
16,소노벨 비발디파크 B · C (구 대명리조트 오크 · 파인),4.7,홍천군 서면-65.6km,"99,000원",h
17,소노벨 비발디파크 E (구 노블리안),5.0,대명리조트 비발디파크-65.6km,"320,000원",h
18,현대수 리조트 횡성,3.5,웰리힐리파크 스키장 차량 12분 거리-112.9km,예약마감,h
19,소노펠리체 빌리지 비발디파크 (구 소노빌리지),4.6,홍천군 서면-65.7km,"216,000원",h
20,소노펠리체 비발디파크 (구 소노펠리체),4.7,홍천군 서면-65.7km,"189,000원",h
21,소노벨 비발디파크 D (구 메이플),4.5,홍천군 서면-65.7km,"237,000원",h
22,웰리힐리파크,4.5,횡성군 둔내면-115.7km,예약마감,h
23,소노벨 비발디파크 A(구 대명리조트 체리),4.7,홍천군 서면-65.4km,예약마감,h
24,힐리언스 선마을,3.5,홍천 비발디파크 차량 15분-61km,예약마감,h
25,가람 리조트,4.8,가리산 인근-99km,"100,000원",h
26,알프스대영빌리지,4.8,횡성군 우천면-100.6km,예약마감,h
27,클럽캐슬 리조트,4.3,웰리힐리파크 스키장 차량 9분 거리-113.8km,예약마감,h
28,코레스코 치악 콘도 미니엄,3.4,횡성군 치악산-103km,"72,000원",h
29,홍천 픽션하우스펜션(MD추천),4.7,자체픽업 가능-69.8km,"70,000원",f
30,"홍천 레스팅힐풀빌라(신축,키즈,펜션)",5.0,98.5km,"450,000원",f
31,휘게리 홍천 잣나무숲카라반,3.5,102.5km,예약마감,f
32,휘게리 홍천 하우스(애견동반객실 보유),4.3,102.5km,"145,700원",f
33,홍천 우노하우스풀빌라,5.0,자체픽업 가능-106km,"250,000원",f
34,횡성 로즈오브샤론펜션(스키장 부근),4.5,자체픽업 가능-115.5km,"80,000원",f
35,횡성 페이지102풀빌라(히노끼탕),4.8,116km,"171,000원",f
36,홍천 토리아이키즈풀빌라앤글램핑,5.0,58.3km,"99,000원",f
37,홍천 구름속의산책키즈풀빌라,3.5,62.8km,"119,000원",f
38,홍천 더킴스풀빌라,4.7,64.9km,"140,000원",f
39,"홍천 안가여관펜션(독채보유,골프장인근)",4.8,65.4km,"59,000원",f
40,홍천 어느멋진날펜션(제트스파),4.8,자체픽업 가능-65.9km,"69,000원",f
41,홍천 보금자리펜션(개별바베큐),5.0,자체픽업 가능-67.2km,"66,000원",f
42,"홍천 몽블랑펜션(리버뷰,골프장인근)",4.9,67.5km,"65,000원",f
43,"홍천 마로니에펜션(스파펜션,홍천강)",4.0,마트픽업 가능-68.9km,"119,000원",f
44,홍천 라마리차펜션(MD추천),4.8,자체픽업 가능-70.4km,"69,000원",f
45,홍천 두드림펜션,4.7,자체픽업 가능-70.4km,"70,000원",f
46,홍천 아레나펜션.글램핑(개별화장실),4.7,자체픽업 가능-70.6km,"78,000원",f
47,홍천 라스뗄라펜션(MD추천),4.7,자체픽업 가능-70.7km,"78,000원",f
48,홍천 끌로펜션 (노천스파),4.6,71.1km,"79,000원",f
49,"홍천 드림원펜션(신축,풀빌라)",4.7,98.8km,"89,000원",f
50,"횡성 머쉬멜로우펜션(풀빌라,스파,애견)",4.7,자체픽업 가능-115.1km,"79,000원",f
51,"홍천 오르비스펜션(방역,독채)",4.9,자체픽업 가능-61.8km,"100,000원",f
52,홍천 빌리지736펜션,4.9,자체픽업 가능-70.7km,"220,000원",f
53,홍천 통나무펜션,4.8,96.9km,"60,000원",f
54,홍천 리베르테펜션(개별풀장보유),4.9,69km,"90,000원",f
55,"홍천 까사펠리스펜션(수영장,키즈까페)",4.6,71.1km,"100,000원",f
56,홍천 메이슨독채펜션(참나무불가마무료),3.5,67.7km,"350,000원",f
57,"홍천 공간펜션(독채, 비발디파크인근)",4.9,61.8km,"110,000원",f
58,"홍천 에즈펜션(애견동반,수영장,강)",4.9,69.2km,"59,000원",f
59,홍천 쉐네베르그 펜션,4.7,자체픽업 가능-69.1km,"60,000원",f
60,횡성 파인벨펜션(스파 독채 개별테라스),4.8,자체픽업 가능-115.1km,"50,000원",f
61,홍천 알파카스테이,4.6,87.9km,"180,000원",f
62,홍천 리버카라반펜션,4.8,71.2km,"110,000원",f
63,홍천 까사모로풀빌라,4.7,자체픽업 가능-68.9km,"150,000원",f
64,홍천 새연리조트글램핑펜션,5.0,88.3km,"59,000원",f
65,홍천 블루머핀펜션,1.0,66.1km,예약마감,f
66,홍천 150펜션,4.8,65.5km,"80,000원",f
67,홍천 듀하우스펜션,4.9,자체픽업 가능-72.8km,예약마감,f
68,홍천 용소계곡펜션,3.5,자체픽업 가능-104.3km,"80,000원",f
69,홍천 효블리하우스펜션,5.0,68km,"80,000원",f
70,횡성 별무리펜션,4.8,116.1km,"100,000원",f
71,홍천 휘바핀란드펜션,3.0,63.9km,"100,000원",f
72,홍천 애화랑풀빌라(바비큐무료제공),5.0,89.5km,"160,000원",f
73,홍천 낭만여행펜션,5.0,72km,"65,000원",f
74,홍천 소풍가는길펜션1학년,3.5,87.9km,"200,000원",f
75,홍천 소풍가는길펜션(2학년),3.5,87.9km,"200,000원",f
76,홍천 몽고몽고글램핑,3.5,72.6km,"150,000원",f
77,홍천 별캠펜션,5.0,61.6km,"70,000원",f
78,홍천 캠핑카라반,4.7,64.5km,"160,000원",f
79,홍천 청담힐하우스펜션,5.0,63km,"89,900원",f
80,홍천 리버샤인빌리지펜션,4.8,69.1km,"70,000원",f
81,홍천 숲속의웰빙황토펜션,3.5,88.2km,"80,000원",f
82,홍천 모곡레저타운펜션,2.0,59.7km,예약마감,f
83,홍천 강나루황토집펜션,3.5,68.9km,"60,000원",f
84,홍천 공작골펜션,3.5,96.2km,"80,000원",f
85,횡성 태기산아침의새소리펜션,4.0,116.4km,"50,000원",f
86,홍천 홍천강리오펜션,5.0,자체픽업 가능-76.9km,"80,000원",f
87,홍천 푸른별펜션,4.4,106.8km,예약마감,f
88,횡성 소담펜션,2.0,94.5km,"80,000원",f
89,홍천 모모펜션,4.5,70.2km,예약마감,f
90,횡성 코알라펜션,3.0,103.8km,예약마감,f
91,홍천 힐링올레펜션,4.8,87.8km,"91,000원",f
92,홍천 코스모스민박펜션,3.5,61.3km,"70,000원",f
93,홍천 노루목홍천강펜션,4.3,76km,"56,000원",f
94,홍천 목지가(나무뜨락)펜션,5.0,65.3km,"89,000원",f
95,홍천 예뜰펜션,5.0,94.1km,"80,000원",f
96,홍천 7080펜션,2.5,74.5km,"70,000원",f
97,홍천 쁘띠프라하펜션,4.8,자체픽업 가능-68km,"70,000원",f
98,횡성 헤이미쉬펜션,4.8,105.6km,"80,000원",f
99,홍천 미알레펜션,4.3,자체픽업 가능-67.9km,"130,000원",f
100,횡성 그린별펜션,4.8,자체픽업 가능-115.1km,"45,000원",f
101,홍천 힐하우스펜션,5.0,자체픽업 가능-96.8km,"250,000원",f
102,홍천 오즈펜션,3.5,67.7km,"250,000원",f
103,홍천 디바인리조트,4.4,73.2km,"110,000원",f
104,횡성 음악펜션,5.0,77.9km,"80,000원",f
105,횡성 시골나그네펜션,5.0,자체픽업 가능-102.3km,"40,000원",f
106,홍천 어린왕자펜션,4.6,자체픽업 가능-88.6km,예약마감,f
107,홍천 꽃집펜션,3.5,100.6km,"100,000원",f
108,홍천 망고숲펜션,3.5,100.6km,"100,000원",f
109,홍천 달빛소나타펜션,4.0,100.6km,"100,000원",f
110,홍천 너나우리펜션(애견동반가능),4.9,59.7km,"99,000원",f
111,횡성 소나무이야기펜션,4.7,자체픽업 가능-115.1km,"59,000원",f
112,홍천 OG펜션,4.8,자체픽업 가능-70.2km,"90,000원",f
113,횡성 제이드7펜션,4.3,104.8km,예약마감,f
114,홍천 SKY펜션(비발디파크입구),5.0,65.3km,"70,000원",f
115,횡성 별을쏘다펜션,3.5,자체픽업 가능-77.9km,"70,000원",f
116,홍천 감자펜션,4.7,자체픽업 가능-66.4km,"60,000원",f
117,횡성 알프스클럽펜션,4.8,자체픽업 가능-116.3km,예약마감,f
118,횡성 모꼬지펜션,5.0,86km,"119,000원",f
119,홍천 뜰펜션,4.7,자체픽업 가능-67km,"59,000원",f
120,홍천 수타계곡다락방펜션,5.0,90.2km,"350,000원",f
121,홍천 시실리펜션,4.7,자체픽업 가능-76km,"80,000원",f
122,"홍천 하이디펜션(힐링펜션,비발디파크)",4.7,자체픽업 가능-67.6km,"69,000원",f
123,홍천 길손과풀꽃펜션,3.5,105.9km,예약마감,f
124,홍천 풀빌라비요르크펜션,4.8,자체픽업 가능-68.2km,예약마감,f
125,홍천 강가의성펜션,5.0,자체픽업 가능-75.1km,예약마감,f
126,홍천 씨에스타쑤에노펜션,4.6,75.2km,예약마감,f
127,횡성 풀빌라헬로우펜션,5.0,117.4km,"350,000원",f
128,홍천 인마이라이프펜션,4.8,자체픽업 가능-68.5km,"112,000원",f
129,홍천 반디네허브펜션,4.8,75.7km,"80,000원",f
130,홍천 예닮힐링펜션(계곡앞),3.5,106.1km,"80,000원",f
131,횡성 숲속의사랑별펜션,4.8,자체픽업 가능-115.1km,"69,000원",f
132,횡성 햇빛둥지펜션,3.5,자체픽업 가능-104.6km,"100,000원",f
133,홍천 오즈의마법사펜션,4.5,자체픽업 가능-69.1km,"89,100원",f
134,홍천 멜로즈펜션,4.5,자체픽업 가능-62.7km,"100,000원",f
135,홍천 색채의숲펜션,4.0,자체픽업 가능-66km,"69,000원",f
136,홍천 아그리나펜션,5.0,자체픽업 가능-61.8km,"80,000원",f
137,홍천 넌감동이었어펜션,4.5,75.4km,"100,000원",f
138,"횡성 은빛여울목펜션(커플,개별바베큐)",5.0,자체픽업 가능-104.6km,"80,000원",f
139,홍천 꽃여울강변펜션,5.0,75.8km,"70,000원",f
140,횡성 숲속의바이올린펜션,3.5,자체픽업 가능-115.1km,"130,000원",f
141,홍천 오렌지페코펜션,4.0,자체픽업 가능-88.2km,"90,000원",f
142,홍천 행복한숲펜션(단체펜션),3.5,69.4km,"110,000원",f
143,홍천 해뜨는집펜션,3.5,87.8km,"96,000원",f
144,홍천 행복동산펜션,3.5,73km,예약마감,f
145,횡성 까사408펜션,4.0,115.6km,예약마감,f
146,횡성 다래골산방펜션,3.5,자체픽업 가능-104.5km,예약마감,f
147,홍천 무우헌펜션,3.5,58.7km,예약마감,f
148,홍천 쎄라비펜션(비발디파크),5.0,60.2km,예약마감,f
149,횡성 클럽프리모글램핑펜션,5.0,75km,"180,000원",f
150,홍천 리버힐펜션,3.5,69.3km,"85,000원",f
151,홍천 코코락유유펜션,5.0,77.9km,"80,000원",f
152,홍천 아침햇살펜션,3.5,67.4km,예약마감,f
153,홍천 썬호텔펜션,3.5,자체픽업 가능-64.5km,"55,000원",f
154,홍천 아이리스펜션,3.5,64.7km,"150,000원",f
155,홍천 리버벨리펜션,5.0,102km,"101,640원",f
156,횡성 달빛관광펜션,3.5,115.9km,"90,000원",f
157,홍천 토마토펜션,3.5,72.6km,"72,000원",f
158,홍천 꽃피는언덕펜션,3.5,58.4km,"60,000원",f
159,홍천 유로펜션,3.5,94.4km,"80,000원",f
160,홍천 욜로와펜션,5.0,자체픽업 가능-64.9km,예약마감,f
161,홍천 공작산푸른펜션,3.5,97.8km,"100,000원",f
162,횡성 동가래별빛펜션,3.5,97.4km,"70,000원",f
163,홍천 개팔자상팔자펜션(애견동반),4.8,65.5km,"89,000원",f
164,홍천 돌담집펜션,3.5,56.8km,"250,000원",f
165,홍천 코코애견펜션,5.0,71.2km,예약마감,f
166,횡성 꿈나무펜션,5.0,자체픽업 가능-115.1km,"70,000원",f
