,name,score,loc,lowest_price,category
0,인제 백담 여행,4.4,고원통 교차로 인근-131.8km,"30,000원",m
1,양구 현대모텔,4.1,109.2km,"50,000원",m
2,인제 인제호텔,3.8,121km,예약마감,m
3,인제 호텔여행,4.6,122.8km,"40,000원",m
4,양구 삼호장모텔,4.2,109km,"50,000원",m
5,철원 쉘,4.5,동송시외버스터미널 인근-73.8km,"45,000원",m
6,인제(원통) OST,3.5,원통터미널 3분거리-126.3km,"55,000원",m
7,철원 파레스,4.3,74.2km,"35,000원",m
8,인제 블루힐 모텔,3.5,107.3km,"50,000원",m
9,철원 궁,3.9,73.8km,예약마감,m
10,화천 그랑프리,3.2,89.3km,예약마감,m
11,인제(원통) 신라 모텔,3.5,강원 인제군 북면 원통로176번길 11-126.3km,예약마감,m
12,인제 킹스톤,4.6,126.5km,예약마감,m
13,양구 온천모텔,3.7,109.1km,"40,000원",m
14,인제스피디움,4.5,강원 인제-128km,"80,000원",h
15,베니키아 KCP 호텔,4.5,양구시외버스터미널 1.30km-108.9km,"80,000원",h
16,한탄리버스파 호텔,3.5,고석정 1분-74km,"114,000원",h
17,화천 오빌펜션,5.0,90.2km,예약마감,f
18,양구 윤가네펜션,4.0,113.4km,"80,000원",f
19,인제 백담여행펜션,3.5,131.8km,"40,000원",f
20,인제 냇강마을산촌황토펜션,5.0,127.5km,"40,000원",f
21,화천 배머리펜션,5.0,자체픽업 가능-90.2km,"80,000원",f
22,화천 꺼먹다리펜션,5.0,자체픽업 가능-92.5km,"100,000원",f
23,화천 산천어펜션,5.0,90km,"80,000원",f
24,화천 봉오리통나무집펜션,5.0,88.2km,"80,000원",f
25,화천 다가가다펜션,5.0,자체픽업 가능-89.7km,"100,000원",f
26,화천 써비스펜션,4.7,85.4km,"80,000원",f
27,인제 월학계곡펜션,4.3,125.1km,"80,000원",f
28,화천 토마토펜션,3.5,72.4km,"130,000원",f
29,화천 ABC펜션,4.0,90.2km,"80,000원",f
30,화천 자연누리펜션,3.5,72.8km,"110,000원",f
31,화천 뒤뜰계곡예쁜펜션,5.0,72.8km,"80,000원",f
32,화천 632펜션,4.5,자체픽업 가능-87.6km,"80,000원",f
33,화천 랜드펜션,4.8,자체픽업 가능-74.5km,"100,000원",f
