,name,score,loc,lowest_price,category,loc2
0,광주 용봉동 호텔 아그네스,4.6,전남대학교까지 차로 5분-264.1km,"40,000원",m,광주역/기아챔피언스필드/전대사거리/북구
1,광주 신안동 이끌림,4.6,광주역까지 차로 1분거리 눌러서 위치 확인하기-265.6km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
2,광주 신안동 이끌림 BUSINESS  HOTEL,4.8, 눌러서 위치확인 GO( )-265.6km,"45,000원",m,광주역/기아챔피언스필드/전대사거리/북구
3,광주 신안동 나폴리,4.6,광주역 1분 거리!-265.8km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
4,광주 신안동 호텔 거기조아,4.9,광주역 맞은편 도보 4분거리 눌러서 위치 확인하기-265.9km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
5,광주 신안동 K-boutique 호텔,4.8,전남대 차량 5분-266km,"50,000원",m,광주역/기아챔피언스필드/전대사거리/북구
6,광주 신안동 호텔 와,4.8,광주역 도보 3분-266km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
7,광주 신안동 여기서자자,4.9,"광주역 앞, 먹자골목 인근-266.1km",예약마감,m,광주역/기아챔피언스필드/전대사거리/북구
8,광주 중흥동 호텔세븐브릭스 광주역점,4.8,광주역 도보 7분-266.1km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
9,광주 중흥동 젠틀맨 드라이브인 무인텔(광주역점),4.6,광주역 1분거리 눌러서 위치 확인하기-266.3km,"40,000원",m,광주역/기아챔피언스필드/전대사거리/북구
10,광주 유동 거기조아 드라이브인 무인텔,4.9,광주역 도보 10분거리!!-266.3km,"40,000원",m,광주역/기아챔피언스필드/전대사거리/북구
11,광주 중흥동 여기조아 무인호텔,4.7,광주기아챔피언스필드 차량5분-266.5km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
12,광주 신안동 러브스토리,4.8,눌러서 위치 확인하기-266km,"30,000원",m,광주역/기아챔피언스필드/전대사거리/북구
13,광주 중흥동 세종호텔,4.5,광주역 2분 거리-266.1km,"30,000원",m,광주역/기아챔피언스필드/전대사거리/북구
14,광주 운암동 STAY 휴,4.7,전남대 차량 6분-264.9km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
15,광주 신안동 나비야 드라이브인 무인텔,4.3,광주 신안동 광주역 부근-265.9km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
16,광주 신안동 제우스,4.8,광주역 주변 / 전남대 인근 눌러서 위치 확인하기-266km,"30,000원",m,광주역/기아챔피언스필드/전대사거리/북구
17,광주 신안동 더자,4.7,광주기아챔피언스필드까지 차로 3분 이내 눌러서 위치 확인하기-265.8km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
18,광주 신안동 드림,4.2,광주 신안동 광주역 근처 위치-265.7km,"25,000원",m,광주역/기아챔피언스필드/전대사거리/북구
19,광주 운암동 여기조아 무인호텔,4.9,문화예술회관 건너편 위치!  눌러서 위치 확인 GO -264.9km,"50,000원",m,광주역/기아챔피언스필드/전대사거리/북구
20,광주 신안동 수피아&아리아 드라이브인 무인텔,4.8,신안동 먹자골목에 위치!!!!!  눌러서 위치 확인하기-265.8km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
21,광주 두암동 일번지 무인호텔,4.8,광주역 차량 10분-264.5km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
22,광주 신안동 HOTEL STAY 38,4.9,전남대 차량 9분-266km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
23,광주 신안동 마쥬무인텔,4.1,"기아챔피언스필드, 전남대까지 차로 10분 이내-265.8km","40,000원",m,광주역/기아챔피언스필드/전대사거리/북구
24,광주 신안동 아드리아,4.5,"광주역 5분, 신안동 먹자골목 위치 눌러서 위치 확인하기-265.9km","25,000원",m,광주역/기아챔피언스필드/전대사거리/북구
25,광주 신안동 쿡,4.9,1호선 양동시장역 도보10분 눌러서 위치 확인하기-265.9km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
26,광주 각화동 YAM 동광주점,4.8,동광주IC에서 차로 1분거리 (627m)-263.9km,"40,500원",m,광주역/기아챔피언스필드/전대사거리/북구
27,광주 운암동 소풍,4.9,광주 문화예술회관 바로 앞 눌러서 위치 확인하기-264.9km,"40,000원",m,광주역/기아챔피언스필드/전대사거리/북구
28,광주 신안동 카톡,4.8,"광주역까지 약 0.5km, 차로 1분 거리  눌러서 위치 확인 GO -265.7km","27,000원",m,광주역/기아챔피언스필드/전대사거리/북구
29,광주 운암동 비엔날레호텔,4.5,기아챔피언스필드까지 차로 2분거리 눌러서 위치 확인하기-264.9km,"40,000원",m,광주역/기아챔피언스필드/전대사거리/북구
30,광주 신안동 YAJA 광주역점,4.5,"광주역까지 400m, 자동차로 1분거리-265.9km","35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
31,광주 두암동 마법의 성,4.4,광주 무등도서관 뒷편에 위치-264.4km,"35,000원",m,광주역/기아챔피언스필드/전대사거리/북구
32,광주 신안동 스카이,4.1,광주역 도보 3분 위치-266.1km,"25,000원",m,광주역/기아챔피언스필드/전대사거리/북구
33,광주 운암동 샤르망,3.8,"유스퀘어, 종합버스터미널까지 차량 4분-265km","30,000원",m,광주역/기아챔피언스필드/전대사거리/북구
34,광주 신안동 해피데이,4.9,광주역 도보 5분-266km,"25,000원",m,광주역/기아챔피언스필드/전대사거리/북구
