,name,score,loc,lowest_price,category,loc2
0,광주 상무 호텔 수,4.5,"상무지구 중심가,시청 인근,먹자골목 앞-267.1km","55,000원",m,상무지구/금호지구/유스퀘어/서구
1,광주 상무 호텔 카르마,4.8,상무지구 중심가 위치 / 먹자골목 부근-267.1km,"60,000원",m,상무지구/금호지구/유스퀘어/서구
2,광주 상무 부띠끄호텔와인,4.5,운천저수지 바로 앞 위치-267.6km,"46,000원",m,상무지구/금호지구/유스퀘어/서구
3,광주 상무 호텔 갤러리(HOTEL GALLERY),4.6,"상무지구 중심가위치, 김대중컨벤션1km-267.6km","50,000원",m,상무지구/금호지구/유스퀘어/서구
4,광주 상무 퀸호텔,3.8,상무역 도보로 6분 눌러서 위치 확인하기-267.7km,"50,000원",m,상무지구/금호지구/유스퀘어/서구
5,광주 상무 YAJA 광주상무점,5.0,광주시청 차량 4분-267.7km,"65,000원",m,상무지구/금호지구/유스퀘어/서구
6,광주 금호 YAM 광주금호점,4.8,금호지구 먹자골목-269.5km,"53,000원",m,상무지구/금호지구/유스퀘어/서구
7,광주 풍암동 S,4.9,광주 월드컵 경기장 도보 8분거리-270.1km,"45,000원",m,상무지구/금호지구/유스퀘어/서구
8,광주 농성동 호텔 어반라이프(LIFE&BUSINESS HOTEL),4.8,유스퀘어 도보 5분 거리-266.3km,"90,000원",m,상무지구/금호지구/유스퀘어/서구
9,광주 화정동 더알아보다,3.5,눌러서 위치확인-266.6km,예약마감,m,상무지구/금호지구/유스퀘어/서구
10,광주 화정동 스퀘어,4.6,광주종합버스터미널 도보3분눌러서위치확인-266.6km,"45,000원",m,상무지구/금호지구/유스퀘어/서구
11,광주 상무 호텔 맨하탄,4.5,광주 치평동 상무지구 위치-267km,"40,000원",m,상무지구/금호지구/유스퀘어/서구
12,광주 상무 앨리스 비즈니스 호텔,4.4,컨벤션센터(차량3분)/시청(차량3분)-267.1km,"60,000원",m,상무지구/금호지구/유스퀘어/서구
13,광주 상무 상지호텔,4.2,상무지구 인근-267.3km,"43,000원",m,상무지구/금호지구/유스퀘어/서구
14,광주 상무 샤인호텔,4.7,5.18 기념공원 인근 위치-267.3km,"40,500원",m,상무지구/금호지구/유스퀘어/서구
15,광주 상무 EQ,4.5,운천역 도보 7분-267.5km,"60,000원",m,상무지구/금호지구/유스퀘어/서구
16,광주 상무 드라마,4.6,"상무역 인근, 먹자골목 중심 위치 !-267.6km","35,000원",m,상무지구/금호지구/유스퀘어/서구
17,광주 상무 더블유 라운지호텔 (W LOUNGE HOTEL),4.6,상무지구 중심가 위치-267.6km,"55,000원",m,상무지구/금호지구/유스퀘어/서구
18,광주 상무 M,4.8,"상무지구 중심가 위치, 상무-운천역 중심-267.6km","45,000원",m,상무지구/금호지구/유스퀘어/서구
19,광주 상무 호텔 메이킹(HOTEL MAKING),4.7,상무역 5번출구 도보 4분 눌러서위치보기-267.7km,"60,000원",m,상무지구/금호지구/유스퀘어/서구
