,name,score,loc,lowest_price,category,loc2
0,광주 첨단 싸이버파크,4.5,메가박스 인근 눌러서 위치 확인하기-259.7km,"25,000원",m,첨단지구/하남지구/송정역/광산구
1,광주 첨단 더자라 무인호텔,4.9,메가박스 첨단 도보 1분-259.7km,예약마감,m,첨단지구/하남지구/송정역/광산구
2,광주 첨단 OX 무인텔,4.7,쌍암공원에서 도보 3분 거리-259.7km,"35,000원",m,첨단지구/하남지구/송정역/광산구
3,광주 첨단 페라리 벤틀리 호텔,4.8,첨단지구 메가박스 바로 옆 위치-259.7km,"60,000원",m,첨단지구/하남지구/송정역/광산구
4,광주 첨단 시티호텔,4.6,첨단과학기술원 도보 6분-259.8km,"39,000원",m,첨단지구/하남지구/송정역/광산구
5,광주 첨단 애플무인호텔,4.5,첨단메가박스 옆/24시간대실가능_현장결제-259.8km,"35,000원",m,첨단지구/하남지구/송정역/광산구
6,광주 첨단 일번지호텔,4.7,"과학기술원, 산업단지 내 위치 눌러서 위치 확인하기-259.8km","40,000원",m,첨단지구/하남지구/송정역/광산구
7,광주 첨단 1번지 무인텔,4.7,광주 첨단 메가박스 인근-259.8km,"40,000원",m,첨단지구/하남지구/송정역/광산구
8,광주 첨단 HOTEL W,4.8,광주 쌍암동 첨단1지구 위치-260km,"50,000원",m,첨단지구/하남지구/송정역/광산구
9,광주 첨단 호텔 초이스,4.6,첨단2동 주민센터 인근-260.3km,"45,000원",m,첨단지구/하남지구/송정역/광산구
10,광주 하남 비지니스호텔 야후,4.5,하남 메가박스 차량 4분-266.3km,"35,000원",m,첨단지구/하남지구/송정역/광산구
11,광주 하남 T,4.5,광주 광산구 우산동 위치 눌러서 위치 확인하기-266.3km,"35,000원",m,첨단지구/하남지구/송정역/광산구
12,광주 하남 일번지 비지니스 호텔,4.8,광주여대 차로 3분 거리-266.3km,"50,000원",m,첨단지구/하남지구/송정역/광산구
13,광주 하남 어반스테이 호텔,4.7,광주여대 4분 거리-266.5km,"50,000원",m,첨단지구/하남지구/송정역/광산구
14,광주 하남 이끌림 호텔,4.7,한국소방안전원 정문 앞  눌러서 위치 확인 GO -266.5km,"40,000원",m,첨단지구/하남지구/송정역/광산구
15,광주 하남 MVP 비지니스 호텔,4.3,소방안전협회광주전남지부 인근 눌러서 위치 확인하기-266.5km,"40,000원",m,첨단지구/하남지구/송정역/광산구
16,광주 하남 YAJA 광주하남점 (광주광역시),4.7,광주소방안전협회 정문앞 ▷눌러서 위치확인-266.6km,"45,000원",m,첨단지구/하남지구/송정역/광산구
17,광주 송정역 호텔 더솔,4.7,광주 송정역 도보로 7분 거리  눌러서 위치 확인 GO!! -268.6km,"55,000원",m,첨단지구/하남지구/송정역/광산구
18,광주 첨단 아바타호텔,4.5,쌍암공원 도보 5분-260km,"30,000원",m,첨단지구/하남지구/송정역/광산구
