,name,score,loc,lowest_price,category,loc2
0,광주 계림동 라이크호텔,4.8,광주역 차량 4분-265.9km,"40,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
1,광주 충장로 호텔 STAY (구 STAY 1),4.9,광주 국립아시아문화전당 도보 5분-267.5km,"55,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
2,광주 충장로 호텔 듀(HOTEL DUU),4.8,빛고을시민회관 도보 2분-267.6km,"45,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
3,광주 충장로 일번지 브띠끄호텔,4.8,충장로 거리 인근-267.6km,"50,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
4,광주 충장로 이끌림,4.7,광주 국립아시아문화전당 부근-268km,"35,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
5,광주 백운동 여기어때,4.4,남구청 도보 7분-269km,"35,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
6,광주 백운동 호텔 더 힐(HOTEL THE HILL),4.7,광주 남구청 건너편 위치-269.2km,"50,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
7,광주 동명동 리버호텔,3.5,눌러서 위치확인-267.3km,예약마감,m,충장로/대인시장/국립아시아문화전당/동구/남구
8,광주 충장로 파레스호텔,4.3,롯데시네마 충장로점 인근 위치-267.7km,"34,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
9,광주 충장로 S호텔,4.7,문화전당역까지 2분거리!-267.9km,"40,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
10,광주 충장로 워커힐호텔,3.5,눌러서 위치확인-268.1km,예약마감,m,충장로/대인시장/국립아시아문화전당/동구/남구
11,광주 백운동 OK호텔,4.6,남구청 도보 3분-269.2km,"35,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
12,광주 충장로 YAJA 광주충장로점,4.7,"광주 1호선 금남로4가역 1번출구 차로4분거리(도보8분), 눌러서 위치 보기-267.8km","35,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
13,광주 충장로 티파니 무인텔,4.7,광주 웨딩의거리 인근-267.9km,예약마감,m,충장로/대인시장/국립아시아문화전당/동구/남구
14,광주 충장로 쟈스민,4.7,충장로거리 내 위치 눌러서 위치 확인하기-267.8km,"25,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
15,광주 충장로 윈드밀,4.6,충장로 시내 위치 눌러서 위치 확인하기-267.8km,"30,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
16,광주 충장로 첫번째 부티끄 호텔,4.7,충장로 시내 인근-268.4km,"35,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
17,광주 충장로 이끌림 비즈니스호텔,4.7,268km,"50,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
18,광주 충장로 TOP CASTLE HOTEL,4.6, 충장로 내 위치 자세히 보기 클릭-267.8km,"40,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
19,광주 충장로 J 무인텔,4.7,전남대병원 앞 눌러서 위치 확인하기-268.6km,"30,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
20,광주 충장로 보보스,4.7,남광주역 3번출구 도보5분-268.6km,"30,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
21,광주 충장로 허브,4.5,문화전당역 3번출구 방향 (위치보기)-268.1km,"30,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
22,광주 충장로 호텔 디바인 (HOTEL DEVINE),4.7,전대병원 도보 1분/문화전당역 도보 3분-268.5km,"45,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
23,광주 충장로 호텔 더루아,4.6,광주 국립아시아문화전당 부근-268km,"45,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
24,광주 충장로 디자인 I,4.2,메가박스 광주 충장로점 인근 위치 눌러서 위치 확인하기-267.9km,"30,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
25,광주 충장로 골드브라운호텔,4.8,광주 충장로 중심상권 내에 위치-268km,"40,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
26,광주 대인동 호텔 하루,4.7,광주롯데백화점 부근 눌러서 위치 확인하기-266.8km,"35,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
27,광주 충장로 호텔 샤르망(SHARMANT),4.3,금남로4가역 눌러서 위치 확인하기-267.8km,예약마감,m,충장로/대인시장/국립아시아문화전당/동구/남구
28,광주 방림동 Coo,4.7,남광주 시장 / 남구청 주변 눌러서 위치 확인하기-269.3km,"30,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
29,광주 충장로 리젠시,4.8,전남대학교 병원 인근-268.4km,"28,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
30,광주 충장로 YAM 광주구시청점,4.8,"전대 병원 인근, ▶눌러서 위치보기-268.5km","33,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
31,광주 대인동 호텔 더자(HOTEL THE ZA),4.8,금남로 5가 롯데백화점 뒷편 위치-266.8km,"30,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
32,광주 주월동 어썸 부띠크 호텔,4.8,"남구청 2분, 봉선동 먹자골목 3분 <-눌러서 위치 확인하기!!-269.4km","50,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
33,광주 백운동 프린스,4.7,광주 남구 백운동 위치 눌러서 위치 확인하기-269.2km,"25,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
34,광주 방림동 샤이닝,4.7,남광주시장까지 차로 4분거리-269.2km,예약마감,m,충장로/대인시장/국립아시아문화전당/동구/남구
35,광주 월산동 로얄,4.5,월산5동주민센터 도보3분-268.2km,"30,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
36,광주 월산동 루즈,4.0,광주 남구 월산동 위치-268km,"35,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
37,광주 백운동 야후,4.5,남구청 근처 -269.2km,"24,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
38,광주 산수동 황토,4.6,전남대학교 차량 12분-266.7km,예약마감,m,충장로/대인시장/국립아시아문화전당/동구/남구
39,광주 주월동 국제 비즈니스호텔 W,4.9,남구청 도보 2분-269.4km,"55,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
40,광주 백운동 세레나데,3.5,남구청 도보 5분-269.1km,"35,000원",m,충장로/대인시장/국립아시아문화전당/동구/남구
41,광주ACC스테이호텔(구 ACC스테이1호텔),4.7,동구 빛고을시민회관 도보 3분-267.5km,"59,000원",h,충장로/대인시장/국립아시아문화전당/동구/남구
42,광주 비즈니스 호텔 듀,4.1,광주 충장로 안에 위치-267.6km,"50,000원",h,충장로/대인시장/국립아시아문화전당/동구/남구
43,광주 파레스 호텔,3.4,금남로4가역 1번출구 도보 6분-267.7km,"36,000원",h,충장로/대인시장/국립아시아문화전당/동구/남구
44,광주 ACC 디자인호텔,4.7,광주 충장로 안에 위치-267.6km,"99,000원",h,충장로/대인시장/국립아시아문화전당/동구/남구
45,광주 호텔 벤틀리관광호텔 충장로점,4.3,광주 시내 중심 금남로1가 ACC아시아문화전당 5분-268.1km,"90,000원",h,충장로/대인시장/국립아시아문화전당/동구/남구
46,광주 이끌림 비지니스호텔,3.5,광주광역시 충장로 인근-268km,예약마감,h,충장로/대인시장/국립아시아문화전당/동구/남구
47,광주 이끌림호텔,3.5,광주광역시 충장로 인근-268km,예약마감,h,충장로/대인시장/국립아시아문화전당/동구/남구
48,광주 디바인호텔,4.8,남광주역 도보 3분-268.5km,"58,830원",h,충장로/대인시장/국립아시아문화전당/동구/남구
49,광주 국제 비즈니스호텔 W,4.1,남광주역 2.31km 자동차로 7분 소요-269.4km,"62,500원",h,충장로/대인시장/국립아시아문화전당/동구/남구
50,광주 groundfour 게스트하우스,4.6,광주 문화전당역-267.5km,"50,000원",g,충장로/대인시장/국립아시아문화전당/동구/남구
51,광주 오아시타 호스텔,5.0,267.4km,"70,000원",g,충장로/대인시장/국립아시아문화전당/동구/남구
52,광주 145 게스트하우스,4.6,267.2km,"60,000원",g,충장로/대인시장/국립아시아문화전당/동구/남구
