,name,score,loc,lowest_price,category,loc2
0,경산 이츠,4.6,정평역 번화가 중심/Coway 공기청정기-249.6km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
1,경산 그랜드,4.8,옥산동 중심 위치 지하 주차장 완비-249.5km,"40,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
2,경산 챰,4.4,경산 시외버스정류장 부근-250.3km,"30,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
3,경산 OK (오케이),4.5,세스코정제휴점 / 경산시청 바로앞-250.8km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
4,경산 쉼표,4.7,세스코 #호텔침구#공기청정기#냉난방-250.8km,"40,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
5,경산 러브웨이,4.8,경산시청 2분 거리-250.9km,"30,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
6,경산 TOP (탑),4.6,☆전객실#세스코방역/스카이뷰/TV넷플릭스-250.9km,"40,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
7,경산 별천지,4.6,경산쇼핑센터근처/연박EVENT/55인치TV/가성비추천/냉난방Good/  위치 Click-250.6km,"30,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
8,경산 렉시,4.6,경산시청 3분거리 눌러서 위치보기-250.6km,"30,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
9,경산 엔젤,4.6,#경산시외버스터미널 / 임당역 근처 / 홈플러스 근처 /경산 스타벅스 근처  위치 Cli-250.2km,"30,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
10,경산 투데이,4.8,넷플릭스/노하드PC/스낵바/스타일러-250.8km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
11,경산 피아노,4.7,#경산역 엄청 가까움 #배틀그라운드 #전객실 노하드PC-250.7km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
12,경산 W 굿타임,4.3,"경산역,정평역 인근  옥산동 최고시설-249.5km","35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
13,경산 탑투,4.7,옥산동 위치! 눌러서 위치확인-249.8km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
14,경산 리베라,4.7,옥산동 위치 / 눌러서 위치확인-249.6km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
15,경산 휴,4.8,옥산동 HOT place 위치 #눌러서 위치보기-249.6km,"37,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
16,경산 M 무인텔,4.8,경산역 2분 / 스타디움 15분 / 경산도서관 및 여성회관 인근-250.9km,"40,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
17,경산 짝 무인텔,4.8,경산시외버스터미널 인근위치-250.8km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
18,경산 SOME (썸),4.8,경산시외버스터미널 / 눌러서 위치확인-250.9km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
19,경산 영남대 (Business)호텔 히든,4.5,영남대학가 근처 HOT PLACE 눌러서 위치보세용 -250.4km,"40,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
20,경산 영남대 버킹검,4.6,영남대5분거리/편의점바로앞 HOT PLACE 눌러서 위치보기-250.3km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
21,경산 더 베스트,4.9,경산역 5분/스타디움15분/수성못 20분-249.8km,"55,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
22,경산 플러스 온천,4.7,경산시청에서 10분거리(위치보기)-253.1km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
23,경산 호텔 크라페,4.8,#눌러서 위치보기(클릭)-251.1km,"50,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
24,경산 페르가모,4.5,#스파월풀/경산시장 근처  눌러서 위치보기-251.1km,"30,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
25,경산 하양,4.5,경산 산업단지 옆 위치-250.6km,"45,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
26,경산 영남대 로마의휴일,4.2,영남대역5출구15분거리 #눌러서위치보기-250.3km,"40,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
27,경산 블레스,4.8,#눌러서 위치보기-250.5km,"25,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
28,경산 힐링,4.6,#경산시청과 경산시장 중간지점에 위치-250.8km,"30,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
29,경산 젠,5.0,249.6km,예약마감,m,경산(영남대/대구대/갓바위/하양/진량/자인)
30,경산 킹,4.4,250.9km,"25,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
31,경산 IC,4.6,250km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
32,경산 영남대 가을동화,4.4,영남대학가 근처-250.3km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
33,경산 올레,4.2,250.3km,"30,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
34,경산 붐(Boom),4.0,253.1km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
35,경산 옥산 초콜릿,4.3,249.8km,"40,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
36,경산 영남대 초콜릿,4.1,영남대학가 근처-250.3km,"35,000원",m,경산(영남대/대구대/갓바위/하양/진량/자인)
37,경산 경산관광펜션,4.6,253.2km,"49,000원",f,경산(영남대/대구대/갓바위/하양/진량/자인)
38,경산 경산펜션,3.5,253.2km,"100,000원",f,경산(영남대/대구대/갓바위/하양/진량/자인)
