,name,score,loc,lowest_price,category,loc2
0,경주 더에이스,4.7,✨경주/포항/영천 눌러서 위치보기✨-267.8km,"45,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
1,경주 케이 관광호텔,3.9,보문관광단지 20분 이내-277.2km,"40,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
2,경주 엔젤,4.4,경주시외버스터미널 5분 (✔️위치보기)-277.6km,"35,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
3,경주 마도카,4.7,경주 핫플의 중심에 위치(클릭)-277.7km,"40,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
4,경주 J 부티크 호텔,4.7,️ Best 안전숙소 ️ 방역 완료 / 경주고속버스터미널에서 도보 5분거리 !!-277.7km,"50,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
5,경주 아이콘,4.5,⭐방역실시 안전숙소⭐시외버스터미널 인근-277.7km,"40,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
6,경주 쇼,4.6,경주버스터미널/황리단길/첨성대(위치보기)-277.7km,"45,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
7,경주 소울메이트,4.3,방역완료 안전숙소버스터미널/황리단길/경주역 인근 눌러서 위치보기-277.8km,"40,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
8,경주 넘버25 경주터미널점,4.8,"경주의 중심, 눌러서 위치보기-277.9km","60,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
9,경주 쉼,4.2,⭐방역 안심숙소⭐시청/황리단길 차량 5분-278km,"42,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
10,경주 YAM 경주시청점,4.8,경주시청 인근-278.1km,"50,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
11,경주 보문 자라(ZARA),4.7,경주 보문단지 인근 #눌러서 지도보기-283.5km,"40,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
12,경주 아디오스 MINI HOTEL,4.8,4월 신규오픈! 조식제공/황리단길인근-276.2km,"45,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
13,경주 아루 미니호텔,4.6,경주시외버스터미널 8분(위치보기)-276.3km,"35,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
14,경주 호텔 나무,4.8,방역완료 고속터미널 바로 근처 / 황리단길 4분거리-277.7km,"50,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
15,경주 더 씨엘(CL),4.8,경주시외버스터미널 바로 앞!!! 눌러서 위치보기-277.8km,"45,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
16,경주 달러,4.4,경주 고속버스터미널 인근 눌러서 위치보기-278km,"35,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
17,경주 보문 호텔 여기어때 경주보문점,5.0,보문 관광 단지 안 ! (✔️위치보기)-283.5km,"40,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
18,경주 오투,3.9,"불국사,보문단지,동궁월지(위치보기)-289.5km","40,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
19,경주 보문 씨엘(CL) 호텔,4.7,✨BEST 안심숙소✨경주월드 도보5분 황리단길 차량 15분 #눌러서 위치확인-283.6km,"50,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
20,경주 YOLO (욜로) 무인텔,4.7,불국사 부근-290.2km,"40,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
21,경주 블루모아,4.4,BEST 안전숙소버스터미널 도보1분 황리단길 5분 #눌러서 위치보기-277.8km,"37,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
22,경주 K 명품 호텔,4.7,경주고속버스터미널까지 차로 10분거리 눌러서 위치보기-284.2km,"50,000원",m,경주(보문단지/황리단길/불국사/양남/감포/안강)
