,name,score,loc,lowest_price,category,loc2
0,구미 봉곡동 HOTEL 컨티뉴,4.8,#구미지방법원 도보3분 위치Click-198.6km,"50,000원",m,구미
1,구미 인동 GM(지엠),4.8,#구미 인동 교차로 도보 3분거리-208.7km,"40,000원",m,구미
2,구미 봉곡동 첼로,4.4,#구미지방법원 위치Click(비즈니스)-198.6km,"33,000원",m,구미
3,구미 원평동 온(ON),4.6,#구미역 도보 1분 거리(게이밍/가성비)-201.4km,"50,000원",m,구미
4,구미 금오산 한솔파크빌리지,4.5,#금오랜드 도보 5분거리(단체가성비)-202.1km,"30,000원",m,구미
5,구미 금오산모텔,4.5,#금오랜드까지 1분(비즈니스힐링숙소)-202.1km,"35,000원",m,구미
6,구미 원평동 호텔su(수),4.7,#구미 종합버스 터미널인근 도보 5분-202.4km,"30,000원",m,구미
7,구미 원평동 호텔 루비,4.6,#구미버스터미널 도보4분 위치Click-202.6km,"35,000원",m,구미
8,구미 원평동 호텔 Khan(칸),4.8,#구미 종합 터미널 인근 도보 4분거리-202.7km,"40,000원",m,구미
9,구미 원평동 호텔V(브이),4.7,#구미 종합 버스 터미널 인근 도보 3분-202.7km,"40,000원",m,구미
10,구미 원평동 호텔V2(브이투),4.6,#구미 종합 버스 터미널 인근 도보 3분-202.7km,"30,000원",m,구미
11,구미 원평동 비앤비,4.5,#구미종합터미널 도보5분 위치(비즈니스)-202.8km,"40,000원",m,구미
12,구미 원평동 힙,4.6,#구미종합터미널 도보 8분거리위치보기-202.8km,"24,000원",m,구미
13,구미 원평동 Yes(예스),4.8,#종합버스터미널 인근 3분 위치Click-202.9km,"30,000원",m,구미
14,구미 옥계 WM,4.6,#옥계교 인근3분거리 위치(비즈니스전용)-205.4km,"50,000원",m,구미
