,name,score,loc,lowest_price,category,loc2
0,칠곡 석적 비너스,4.5,부영아파트 주점골목 인근-210km,"27,000원",m,김천/칠곡/성주
1,칠곡 석적 쇼,3.5,산업단지 인근! (눌러서 위치보기)-210.1km,"40,000원",m,김천/칠곡/성주
2,칠곡 석적 썸,5.0,구미시청 자동차 10분-210.1km,"30,000원",m,김천/칠곡/성주
3,칠곡 팔공산 Q 무인텔,4.8,"#인근 핫플 카페트리팜, 80COFFEE 등 차량 4분거리!  #팔공산 위치 눌러보기-228km","40,000원",m,김천/칠곡/성주
4,김천 베네치아,4.3,#눌러서 위치보기-191.4km,예약마감,m,김천/칠곡/성주
5,김천 아포 시크릿 무인텔,4.6,김천 아포농공단지 차량 1분-193.3km,"35,000원",m,김천/칠곡/성주
6,김천 예스,4.4,김천(구미)역 차량 13분거리(위치보기)-194.9km,"23,000원",m,김천/칠곡/성주
7,칠곡 팔공산 W 1실1주차 무인텔,4.6,가좌삼거리 인근위치입니다.-227.9km,"35,000원",m,김천/칠곡/성주
8,칠곡 왜관 젠퍼스,4.7,칠곡 왜관읍에 위치한 모텔-216.6km,"35,000원",m,김천/칠곡/성주
9,김천 호텔 윈,4.9,#눌러서위치보기-191.5km,예약마감,m,김천/칠곡/성주
10,칠곡 팔공산 S(에스),4.4,블루데이식물원 인근위치-227.4km,"25,000원",m,김천/칠곡/성주
11,김천 호텔 이상,4.7,김천구미역까지 도보10분거리 눌러서 위치보기-194.8km,"80,000원",m,김천/칠곡/성주
12,김천 첼로,4.6,김천역 차량 2분거리(위치보기)-190km,예약마감,m,김천/칠곡/성주
13,김천 비앤비,4.8,김천역 근처! 숙소 위치 눌러보기-189.9km,"50,000원",m,김천/칠곡/성주
14,김천 나비야,4.0,김천역-190km,예약마감,m,김천/칠곡/성주
15,김천 아미가,4.6,김천 IC에서 3분 거리-189.9km,예약마감,m,김천/칠곡/성주
16,김천 원,4.5,교동교사거리 2분 거리-189.9km,"35,000원",m,김천/칠곡/성주
17,김천 수,3.7,김천역 부근-190km,예약마감,m,김천/칠곡/성주
18,성주 풍경 무인텔,4.6,성주일반산업단지 인근위치입니다.-217km,"40,000원",m,김천/칠곡/성주
19,김천 E,4.2,김천구미 ktx역 근처 숙소-192.9km,"35,000원",m,김천/칠곡/성주
20,김천 YS 무인텔,4.7,#오봉저수지#남김천IC#김천혁신도시#출장객환영-199.9km,"30,000원",m,김천/칠곡/성주
21,김천 프라미스,4.7,김천공용버스터미널 8분-190km,예약마감,m,김천/칠곡/성주
