,name,score,loc,lowest_price,category,loc2
0,문경 더 베스트 호텔,4.1,고급인테리어&금연객실/관광단지NO.1 숙소/드라마세트장근처 위치 Click-134.5km,"70,000원",m,문경/상주/영주/예천/군위/의성/봉화
1,상주 호텔 아리아,4.8,안마의자/공기청정기/스타일러 상주터미널옆-166.2km,"50,000원",m,문경/상주/영주/예천/군위/의성/봉화
2,예천 파라다이스 호텔,4.6,#NEW리모델링/사우나/비즈니스/먹자골목/예천군청 바로 앞 위치 Click-167.6km,예약마감,m,문경/상주/영주/예천/군위/의성/봉화
3,영주 호텔위즈,4.6,#New리모델링 영주역근처 위치보기-170.4km,"80,000원",m,문경/상주/영주/예천/군위/의성/봉화
4,상주 M 무인텔,4.5,남상주IC 차량 12분거리위치Click-177.1km,"29,900원",m,문경/상주/영주/예천/군위/의성/봉화
5,문경 시크릿 온천,4.6,#온천수100%/1실1주차/넓은객실/할인혜택/비데/문경버스터미널 근처  위치 Click-138.9km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
6,문경 시티 호텔,4.4,#New Open/라텍스침구/System냉난방/소독(필)/메가박스 근처  위치 Click-154.7km,"45,000원",m,문경/상주/영주/예천/군위/의성/봉화
7,문경 샵,4.4,3070게이밍룸오픈/전객실넷플릭스이용가능-154.7km,"37,000원",m,문경/상주/영주/예천/군위/의성/봉화
8,문경 E,4.1,점촌역 도보 2분-154.8km,예약마감,m,문경/상주/영주/예천/군위/의성/봉화
9,영주 케이스 비지니스 호텔,4.6,배틀그라운드넷플릭스당구대안마의자영주역근처-170.3km,"50,000원",m,문경/상주/영주/예천/군위/의성/봉화
10,문경 소풍,4.3,문경대학교 4분 거리-150.1km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
11,문경 올레,4.2,#파티룸/자전거여행/가성비/전기차충전 점촌역 근처 위치 Click-154.9km,"30,000원",m,문경/상주/영주/예천/군위/의성/봉화
12,예천 K 무인텔,4.9,#비데/스파월풀/1실1주차/컵라면증정/가성비 곤충엑스포 근처 위치 Click-168.3km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
13,문경 점촌 뉴,4.2,점촌역 도보 2분-154.9km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
14,상주 맥스(MAX),4.6,#고급침구/야경View/비대면System/가성비숙소 상주터미널 차로3분 위치 Click-165km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
15,문경 명품 호텔 건일라,4.7,문경 버스터미널 1km-139.1km,"60,000원",m,문경/상주/영주/예천/군위/의성/봉화
16,상주 탑,4.7,#미러룸/객실냉난방Good/간편스낵바/상주터미널/먹자골목 근처 위치 Click-166.3km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
17,문경 점촌 텐,4.5,#정말넓은객실&주차장/가성비/비즈니스/객실냉난방Good/문경점촌역 근처 위치Click-154.9km,"35,000원",m,문경/상주/영주/예천/군위/의성/봉화
18,상주 비앤비,4.8,상주종합버스터미널 1분 거리-166.3km,예약마감,m,문경/상주/영주/예천/군위/의성/봉화
19,영주 부띠끄 오늘,4.6,#영주 버스 공용터미널-169.8km,"50,000원",m,문경/상주/영주/예천/군위/의성/봉화
20,예천 비앤비,4.6,예천 군청 1분 거리-167.6km,예약마감,m,문경/상주/영주/예천/군위/의성/봉화
21,상주 굿,4.4,상주종합버스터미널 인근 위치  눌러서 위치보기-166.4km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
22,문경 온천 호텔,5.0,문경온천 인근위치입니다.-138.7km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
23,영주 산책 무인텔,4.7,영주 동양대 인근-160.1km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
24,영주 휴 스테이 무인텔,4.7,동양대삼거리 인근-159.9km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
25,상주 하야트,4.8,#공기청정기/비대면System/비즈니스전용/가성비/상주터미널근처  위치Click-166.3km,예약마감,m,문경/상주/영주/예천/군위/의성/봉화
26,문경 호텔W,5.0,# 세탁실 구비 / 문경 최고 넓은 객실 / 트윈베드 / 전 객실 더블베드 구비-154.7km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
27,문경 비앤비,4.8,점촌역 바로앞 / 눌러서 위치보기-154.8km,예약마감,m,문경/상주/영주/예천/군위/의성/봉화
28,문경 퀸,4.6,# 점촌시내버스터미널 도보 5분 거리-154.6km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
29,영주 드라마,4.3,#영주365 시장 근처 !!드라마!! 눌러서 위치보기-169.7km,"35,000원",m,문경/상주/영주/예천/군위/의성/봉화
30,문경 점촌 아모르 무인텔,4.5,#1실1주차/욕조/스크린영화/가성비/시트교체/비데/점촌역 근처  위치 Click-154.9km,"50,000원",m,문경/상주/영주/예천/군위/의성/봉화
31,문경 점촌 씨(C),4.2,#스파월풀/미러룸/할인쿠폰/로데오거리 근처  위치 Click-154.8km,"45,000원",m,문경/상주/영주/예천/군위/의성/봉화
32,영주 알토 호텔,4.8,#영주역 #영주무섬마을 #영주부석사-170.7km,"60,000원",m,문경/상주/영주/예천/군위/의성/봉화
33,영주 캐슬(CASTLE),4.6,"#영주 대표 모텔, 캐슬입니다-170.3km","40,000원",m,문경/상주/영주/예천/군위/의성/봉화
34,상주 발리,4.0,#눌러서 위치보기-166.3km,"35,000원",m,문경/상주/영주/예천/군위/의성/봉화
35,영주 발리,4.6,영주역 5분 이내-170km,예약마감,m,문경/상주/영주/예천/군위/의성/봉화
36,의성 펜션 휴 무인텔,4.3,#미러룸/1실1주차/넓은욕조/휴양지/낙동감댐근처/낙단보 위치 Click-180.4km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
37,영주 희방,3.5,152.9km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
38,문경 아리랑 호텔,4.4,138.7km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
39,영주 보라,2.9,영주역 인근위치입니다.-170.7km,"30,000원",m,문경/상주/영주/예천/군위/의성/봉화
40,영주 E,4.4,중앙시장 인근(위치보기)-169.7km,"30,000원",m,문경/상주/영주/예천/군위/의성/봉화
41,영주 크리스탈,4.7,영주 남부육거리 인근 위치-170.5km,예약마감,m,문경/상주/영주/예천/군위/의성/봉화
42,영주 모텔2010,4.3,#백룡사-152.9km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
43,상주 수,4.0,상주종합버스터미널 인근 100M 위치-166.3km,예약마감,m,문경/상주/영주/예천/군위/의성/봉화
44,영주 에코,3.7,국민은행 영주지점 인근-169.9km,"40,000원",m,문경/상주/영주/예천/군위/의성/봉화
45,의성 탑산약수온천,3.3,의성IC 차량 6분-202.3km,"35,000원",m,문경/상주/영주/예천/군위/의성/봉화
46,영주 프린스,3.7,#구성공원운동장-170.1km,"35,000원",m,문경/상주/영주/예천/군위/의성/봉화
47,영주 제우스,3.5,롯데시네마 인근-169.6km,예약마감,m,문경/상주/영주/예천/군위/의성/봉화
48,의성 E,3.3,의성군청 인근-205.6km,"35,000원",m,문경/상주/영주/예천/군위/의성/봉화
49,문경 IMT,4.0,154.7km,"45,000원",m,문경/상주/영주/예천/군위/의성/봉화
