,name,score,loc,lowest_price,category,loc2
0,안동 퀸(Queen) 호텔,4.4,경북도청신도시 Click-176km,"55,000원",m,안동(경북도청/하회마을)
1,안동 제이스,4.6,옥동사거리 근처 위치  (위치보기)-191.6km,예약마감,m,안동(경북도청/하회마을)
2,안동 옥동 리치,4.6,#세스코(CESCO)/공기청정기/넓은주차/옥동 사거리 바로근처 위치Click-191.8km,"50,000원",m,안동(경북도청/하회마을)
3,안동 캐슬(CASTLE),4.4,#넷플릭스/스파월풀/안마의자/고급침구/안동 찜닭골목/안동역/문화의거리 근처click-192.9km,"60,000원",m,안동(경북도청/하회마을)
4,안동 넘버25 안동역점,4.7,#코로나(필)소독/스타일러/넷플릭스이용!-193.6km,예약마감,m,안동(경북도청/하회마을)
5,안동 누리다 호텔,4.8,#2PC배그 문화의거리근처  Click-193.9km,"40,000원",m,안동(경북도청/하회마을)
6,안동 인(IN) 무인텔,4.7, 동악골 위치 Click-195.4km,"50,000원",m,안동(경북도청/하회마을)
7,안동 옥동 킹,4.2,옥동사거리 인근 위치-191.6km,"38,000원",m,안동(경북도청/하회마을)
8,안동 수산궁,4.0,"#스피드K소독/깔끔한객실/안동KT근처/태화오거리 인근 ,눌러서위치보기-192.4km","40,000원",m,안동(경북도청/하회마을)
9,안동 호텔궁,4.6,#청소친구(필증)소독방역/River뷰/복층테라스/안동병원 인근 위치 위치Click-192.4km,"50,000원",m,안동(경북도청/하회마을)
10,안동 올인,4.6,#소독(안동방역공사)/안동법원근처/식당가인근/정상동근처  위치Click-194.9km,예약마감,m,안동(경북도청/하회마을)
11,안동 센트럴,4.5,"안동역과 맘모스 빵집,안동찜닭거리 인근-193.5km","40,000원",m,안동(경북도청/하회마을)
12,안동 호텔 나인,4.2,#옥동사거리 인근위치/호텔식침구/완벽방음/특별한무드룸/한옥온돌룸/가성비 위치  Click-191.8km,"45,000원",m,안동(경북도청/하회마을)
13,안동 꿈의궁전,4.5,안동구시장(찜닭골목/막창골목/150m)-193.2km,예약마감,m,안동(경북도청/하회마을)
14,안동 포인트(Point),4.7,안동역 인근위치-193.6km,"40,000원",m,안동(경북도청/하회마을)
