,name,score,loc,lowest_price,category,loc2
0,울릉 나리 펜션,3.5,천부해중전망대 10분거리 #Cilck위치-348km,"100,000원",m,울릉도
1,울릉 더함하우스,3.5,"죽암몽돌해수욕장까지 293m, 도보로 4분거리-348.8km",예약마감,m,울릉도
2,울릉 칸,3.5,저동 여객선 터미널 도보 5분-350.4km,예약마감,m,울릉도
3,울릉 힐링 호텔,5.0,눌러서 위치보기-350.5km,"60,000원",m,울릉도
4,울릉 호텔 위드 U,4.7,울릉도 최고급 시설 위치 눌러보기-350.6km,"35,000원",m,울릉도
5,울릉 황제 호텔,4.3,울릉도 저동 여객선 터미널 1분 -350.6km,예약마감,m,울릉도
6,울릉 청우,3.5,"내수전몽돌해변에서 차량 6분거리, 눌러서 위치보기-350.6km","60,000원",m,울릉도
7,울릉 아라 호텔,4.3,울릉도 저동 여객선터미널 1분 거리-350.6km,"60,000원",m,울릉도
8,울릉 우창호텔,3.5,독도 전망대 케이블카 도보 10분 이내-350.4km,예약마감,m,울릉도
9,울릉 에이스,4.0,#울릉여객 터미널에서 도보로 5분거리 눌러서 위치보기-350.3km,"60,000원",m,울릉도
10,울릉 동해,3.5,연박(2박)이용시 9만원으로 이용가능 자세한 사항은 전화부탁드립니다.-350.4km,"50,000원",m,울릉도
11,울릉 섬마을 펜션,3.5,#태하향목관광모노레일 근처 눌러서 위치보기-340.7km,"110,000원",m,울릉도
12,울릉도 99펜션,3.5,자체픽업 가능-348.3km,"100,000원",f,울릉도
13,울릉도 울릉공항펜션,3.3,자체픽업 가능-348.2km,"90,000원",f,울릉도
14,울릉도 일등펜션,4.8,자체픽업 가능-348.2km,"110,000원",f,울릉도
15,울릉도 해오름펜션,3.5,350.4km,"120,000원",f,울릉도
16,울릉도 산새소리펜션,3.5,347.4km,"150,000원",f,울릉도
17,울릉도 윤아농원펜션,5.0,자체픽업 가능-347.9km,"80,000원",f,울릉도
