,name,score,loc,lowest_price,category,loc2
0,청송 갤러리,4.6,펜션형모텔/갤러리/주왕산 근처 (클릭)-226.7km,"40,000원",m,울진/영덕/청송
1,영덕 강구항 YAM 영덕강구터미널점,4.7,"강구대게시장, 오포리해변 인근-254.6km","50,000원",m,울진/영덕/청송
2,영덕 강구항 명품,4.3,@강구항의 랜드마크 눌러서 위치보기-254.7km,"50,000원",m,울진/영덕/청송
3,영덕 호텔 여기어때 영덕강구항점,4.8,영덕 해변가 최고의 오션뷰(위치보기️)-255.2km,"60,000원",m,울진/영덕/청송
4,울진 HOTEL 더좋은,4.4,BEST 오션뷰 (눌러서 위치보기)-226.8km,"50,000원",m,울진/영덕/청송
5,울진 무인모텔 9,4.8,망양정해수욕장까지 차량4분(위치보기️)-227.5km,"60,000원",m,울진/영덕/청송
6,영덕 리베라,2.5,삼사해상공원 위치/강구항 차량 4분-255.3km,"45,000원",m,울진/영덕/청송
7,영덕 강구항 인투,4.6,#남호 해변 인근 #장사해수욕장 6KM-256.4km,"55,000원",m,울진/영덕/청송
8,청송 S,4.3,주왕산등산/편백룸 추천 부곡리회관 인근-226.3km,"40,000원",m,울진/영덕/청송
9,울진 늘봄 부띠끄,4.6,#봉평해수욕장 #죽변시외버스정류장-226.5km,"50,000원",m,울진/영덕/청송
10,영덕 뷰(VIEW),4.2,#삼사해상공원 인근-255.7km,"30,000원",m,울진/영덕/청송
11,영덕 강구항 리아,4.5,예약문의는 전화로 가능합니다-254.8km,예약마감,m,울진/영덕/청송
12,영덕 강구항 스테이,4.4,영덕 해파랑공원 바로 맞은편 위치 최고 오션뷰!-255.4km,"50,000원",m,울진/영덕/청송
13,울진 후포항 호텔 후,4.8,"수협위판장까지 바로 앞 위치, 먹자골목 인접-243.6km","180,000원",m,울진/영덕/청송
14,청송 백운장 모텔,4.6,#강변View가 좋은곳/호텔식비품/고급침구/객실냉난방Good/청송시내근처 위치Click-226km,"45,000원",m,울진/영덕/청송
15,울진 예스,4.7,부구터미널 인근위치입니다.-221.3km,"50,000원",m,울진/영덕/청송
16,영덕 동해해상관광호텔,3.6,삼사해상공원 인근-255.7km,"29,000원",m,울진/영덕/청송
17,울진 동아,4.1,봉평해수욕장 코앞! 눌러서 위치보기-226.5km,"35,000원",m,울진/영덕/청송
18,울진 백암고려온천호텔,4.1,온정종합터미널까지 도보로 4분 #눌러서위치보기-232.5km,"50,000원",m,울진/영덕/청송
19,울진 우진파크,4.8,#부구터미널-218.8km,"50,000원",m,울진/영덕/청송
20,울진 엔젤 무인카,4.8,#함부로 애틋하게 촬영지 도보 5분 거리 -221km,"50,000원",m,울진/영덕/청송
21,영덕 강구항 클라우드 호텔,4.4,포리해수욕장 인근 전객실 오션뷰-255.2km,"55,000원",m,울진/영덕/청송
22,울진 해돋이,4.4,#봉평해수욕장까지 차로 1분 거리-226.5km,"35,000원",m,울진/영덕/청송
23,울진 백암 태백 온천,5.0,백암 온천단지 내 위치-232.3km,"50,000원",m,울진/영덕/청송
24,울진 굿모닝,3.8,죽변항 인근/봉평 해수욕장 앞(위치보기)-226.3km,"40,000원",m,울진/영덕/청송
25,영덕 씨(Sea Motel),4.1,#오포리해변 #강구대교-255.6km,"50,000원",m,울진/영덕/청송
26,영덕 쇼,4.2,#영해 버스터미널 #대진해수욕장-246.6km,"50,000원",m,울진/영덕/청송
27,울진 편지 무인텔,3.5,#후포항 #후포항 여객터미널-242.1km,예약마감,m,울진/영덕/청송
28,울진 썬,4.6,부구터미널 1분 -221.3km,예약마감,m,울진/영덕/청송
29,영덕 고래불,4.7,# 고래불해수욕장 / 고래불 국민 야영장/ 영해만세시장-243.9km,"40,000원",m,울진/영덕/청송
30,영덕 야시 펜션&모텔,5.0,#장사해수욕장 #화진해수욕장-259.7km,"70,000원",m,울진/영덕/청송
31,울진 고래꿈 호텔,3.9,봉평해수욕장-227.1km,"45,000원",m,울진/영덕/청송
32,영덕 식스,4.7,#영해 버스터미널-246.7km,"50,000원",m,울진/영덕/청송
33,울진 에이스,4.6,#눌러서 위치보기-221.2km,"40,000원",m,울진/영덕/청송
34,영덕 오션뷰 호텔,3.5,#영덕 삼사해상공원-255.6km,"60,000원",m,울진/영덕/청송
35,울진 백암 스프링스 호텔,3.5,232.3km,"53,000원",m,울진/영덕/청송
36,울진 죽변 비취,4.4, 눌러서 위치보기-226.5km,예약마감,m,울진/영덕/청송
37,울진 덕구온천호텔,4.5,덕구계곡 약 차량 1분-214.2km,"95,200원",h,울진/영덕/청송
38,울진 덕구온천리조트,4.6,덕구계곡 약 차량 1분-214.2km,"100,800원",h,울진/영덕/청송
39,한화리조트 백암온천,4.3,온정 종합터미널 600m-232.2km,"81,000원",h,울진/영덕/청송
40,소노벨 청송 (구 청송대명리조트),4.8,청송군 주왕산관광단지-233.3km,"105,000원",h,울진/영덕/청송
41,울진 코오롱 금강송 에코리움,3.5,소광리노인회관 도보 1분-211.4km,예약마감,h,울진/영덕/청송
42,시포트 리조트,4.7,죽도산 차량 약 3분 거리-251.6km,"79,000원",h,울진/영덕/청송
43,영덕 오션비치 리조트,4.8,경상북도 삼사해상공원 및 강구항 차량 약 5분-255.4km,예약마감,h,울진/영덕/청송
44,울진 고래꿈호텔,2.8,봉평해수욕장 3.73km-227.1km,예약마감,h,울진/영덕/청송
45,영덕 힐링턴 리조트,4.4,영덕군 부경방파제-259.7km,"130,000원",h,울진/영덕/청송
46,영덕 비사이드풀빌라펜션(신축),4.8,자체픽업 가능-243.8km,"250,000원",f,울진/영덕/청송
47,영덕 시포트리조트펜션,5.0,251.6km,"79,000원",f,울진/영덕/청송
48,영덕 빠담빠담펜션(오션뷰),4.6,256.4km,"49,000원",f,울진/영덕/청송
49,영덕 해림펜션,4.7,255.2km,"70,000원",f,울진/영덕/청송
50,영덕 바다산책펜션,4.7,255.2km,"80,000원",f,울진/영덕/청송
51,영덕 개미똥꾸펜션,3.9,255km,"80,000원",f,울진/영덕/청송
52,영덕 해오름펜션,3.5,243km,"300,000원",f,울진/영덕/청송
