,name,score,loc,lowest_price,category,loc2
0,포항 대잠동 넘버25 포항대잠점,4.7,포항 시외버스터미널 도보 1분-274.6km,"45,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
1,포항 상도동 vinn HAUS,4.7,포항터미널 초 인근 눌러서 위치보기-274.9km,"40,500원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
2,포항 해도동 아리아 비즈니스호텔,4.8,포스코단지 건너편/출장객 최적의 위치-276.4km,"45,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
3,포항 대잠동 투겐하트 호텔,4.8,시외버스터미널 바로앞 위치! 도보 3분거리 -274.6km,"40,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
4,포항 대잠동 수비즈텔,4.4,#눌러서 위치보기-274.7km,"36,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
5,포항 대잠동 호텔 라인,4.9,포항 시외버스터미널 바로앞(위치보기)-274.7km,"35,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
6,포항 대잠동 호텔 플레이(PLAY),4.6,＃포항 시외버스 터미널 인근 # 조식제공-274.8km,"40,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
7,포항 상도동 XYM1,4.5,"포항시외버스터미널, 홈플러스 도보 1분-275.1km","35,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
8,포항 해도동 올레 무인텔,4.6,죽도시장/포스코/포항 고속버스터미널 초인근-275.2km,"40,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
9,포항 오천 오렌지무인텔,4.4,"포항 최고넓은방 보유,메가박스 남포항인근-281.2km","40,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
10,포항 문덕 엘리,4.7,문덕온천 차로 2분거리-282.4km,"45,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
11,포항 문덕 Boutique XYM,4.8,포항 철강 산업단지 인근-282.5km,"50,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
12,포항 오천 몬타나,4.7,문덕교 인근위치 : ) 럭셔리와 편안함을 담았다 !-282.9km,"45,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
13,포항 문덕 히트(HIT),4.2,포항공항 인근 위치(위치보기)-282.4km,"38,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
14,포항 대잠동 에비앙 카무인텔,4.8,포항시외버스터미널 도보 5분-274.7km,"40,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
15,포항 대도동 WOW,4.4,포항 형산강 & 문화예술회관 인근 위치-275.8km,"35,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
16,포항 상도동 보금자리,4.3,포항 시외버스터미널 인근 위치-275km,"33,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
17,포항 오천 S 무인텔,4.9, 오어사 둘레길 바로 앞  넓~은 바베큐장 구비 : )  군인 우대  !-283.2km,"35,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
18,포항 오천 Q 카무인텔,4.5,#오어사둘레길 차량 5분위치보기-283.1km,"35,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
19,포항 대잠동 Hotel BOM,4.9,신축오픈 포항터미널 도보로 1분 -274.7km,"60,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
20,포항 대잠동 YOLO (욜로),4.3,포항 MBC 바로 맞은편 (위치보기)-274.6km,"35,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
21,포항 상도동 르네상스 호텔,4.7,1시 체크인! 3시 체크아웃! 르네상스!-274.9km,"50,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
22,포항 대잠동 HOTEL 노블리온(NOBLION),4.6,시외버스터미널 인근 Grand Open-274.8km,"70,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
23,포항 대잠동 제타(ZETA),4.3,#포항터미널 도보 4분거리 #죽도시장 차로 5분거리 #눌러서 위치보기-274.7km,"40,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
24,포항 대도동 화이트,4.7,포스코 형산강 문화예술회관 인근 -275.9km,"35,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
25,포항 대잠동 윌,4.6,포항 시외버스터미널 포항시청 포항MBC 인근 -274.5km,"30,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
26,YAM 포항터미널점,4.8,"포항시외버스터미널, 시청, MBC 인근-274.5km","45,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
27,포항 상도동 애니,4.8,포항시외버스터미널 인근위치-275.4km,"30,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
28,포항 문덕 쇼,4.8,오천읍민 운동장에서 차로 7분거리-282.5km,"50,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
29,포항 해도동 히든(HIDDEN),4.7,형산강 인근위치 !  약 7분거리 : )-276.2km,"40,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
30,포항 문덕 아이,4.7,"# 2019.05 리모델링 완료 !, 편안함을 제공해 드리는 아이입니다 : )-282.4km","45,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
31,포항 문덕 YAM 포항문덕점,4.8,남포항 IC 3km 차량 5분거리-282.5km,"60,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
32,포항 상도동 호텔 팰리스,4.8,시외버스터미널/송도해수욕장 인근(클릭)-274.9km,"50,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
33,포항 대잠동 스타,4.6,포항시외버스터미널 도보7분  #눌러서 위치보기 -274.8km,"40,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
34,포항 해도동 Hotel A1 (3호점),4.9,오픈행사#최대33%할인#20.07오픈신축-275.3km,"50,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
35,포항 해도동 블랙,4.7,#포스코 대교 인근위치 눌러서 위치확인-276km,"45,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
36,포항 대잠동 야호,4.6,포항 시외버스 터미널 도보 5분-274.6km,"30,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
37,포항 오천 파티락 무인텔,4.7,포항철강 산업단지 인근(위치보기)-281.2km,"45,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
38,포항 상도동 잉카의 작은마을,4.5,포항시외버스터미널 인근(위치보기)-274.9km,"32,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
39,포항 해도동 금호,3.3,형산강 부근 위치(위치보기)-275.7km,"30,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
40,포항 상도동 맥스,3.2,포항 홈플러스 인근(위치보기)-274.9km,"35,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
41,포항 대잠동 섹소폰,3.8,포항 시외버스터미널 부근(위치 확인)-274.6km,"35,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
42,포항 대잠동 굿가이,4.4,포항시외버스터미널 바로앞(위치보기)-274.8km,"40,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
43,포항 대잠동 비즈니스 A,3.1,포항 시외버스터미널 부근(위치보기)-274.5km,"45,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
44,포항 대잠동 제니스,4.8,포항터미널까지 차로4분거리(위치보기)-274.6km,"35,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
45,포항 대잠동 허브,4.5,포항 시외버스터미널 도보 7분(위치보기)-274.6km,"25,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
46,포항 대잠동 HOTEL VALLAS,4.9,시외버스터미널 1분 거리(위치보기)-274.7km,"56,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
47,포항 송도 스타,4.6,포항 송도해수욕장 차량 1분(위치보기)-275.3km,"50,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
48,포항 상도동 뉴그랜드,3.0,"포항 시외버스터미널, 포항종합운동장 인근-275.4km","35,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
49,포항 상도동 킹덤,5.0,시외버스터미널 인근 (눌러서 위치보기)-274.9km,"40,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
50,포항 대잠동 호산장,3.9,포항시외버스터미널까지 도보7분(위치보기)-274.6km,"22,000원",m,포항/남구(시청/시외버스터미널/구룡포/쌍사/문덕/오천)
