,name,score,loc,lowest_price,category,loc2
0,포항 영일대 비앤비 호텔,4.3,영일대 해수욕장 도보 1분-273.7km,"45,000원",m,포항/북구(영일대/죽도시장/여객터미널/송도)
1,포항 영일대 엔비치(N-beach),4.4,영일대 해수욕장 바로 앞-273.8km,"55,000원",m,포항/북구(영일대/죽도시장/여객터미널/송도)
2,포항 YAJA 포항여객터미널점,4.8,영일대해수욕장도보2분 여객터미널 도보3분-274km,"45,000원",m,포항/북구(영일대/죽도시장/여객터미널/송도)
3,포항 죽도동 르 이데아 호텔,4.8,죽도시장 인근 위치 -274.4km,"60,000원",m,포항/북구(영일대/죽도시장/여객터미널/송도)
4,포항 동빈동 G7,4.8,죽도시장 바로 앞 위치<<  전 객실 공기청정기 완비 ️-274.6km,"50,000원",m,포항/북구(영일대/죽도시장/여객터미널/송도)
5,포항 죽도동 11AVENUE(11에비뉴),4.7,죽도시장 인근 위치 # 약 4분거리-274.7km,"50,000원",m,포항/북구(영일대/죽도시장/여객터미널/송도)
6,포항 죽도동 YAJA 포항 쌍용사거리점,4.8,"쌍용사거리, 포항시외버스터미널 도보2분-274.9km","45,000원",m,포항/북구(영일대/죽도시장/여객터미널/송도)
7,포항 장성동 Hotel 라우스데오,4.5,"영일대해수욕장 차량 5분거리, 위치보기-273.3km","50,000원",m,포항/북구(영일대/죽도시장/여객터미널/송도)
8,포항 영일대 베네시안(VS),3.5,눌러서 위치확인-274km,예약마감,m,포항/북구(영일대/죽도시장/여객터미널/송도)
9,포항 영일대 HOTEL LILY(릴리),4.2,영일대 해수욕장이 바로 앞-274km,"35,000원",m,포항/북구(영일대/죽도시장/여객터미널/송도)
10,포항 영일대 돌핀스,4.5,영일대 해수욕장 앞(위치보기)-274km,"50,000원",m,포항/북구(영일대/죽도시장/여객터미널/송도)
11,포항 죽도동 호텔 원,4.7,"죽도시장 도보5분, 영일만야시장 도보3분-274.2km","50,000원",m,포항/북구(영일대/죽도시장/여객터미널/송도)
12,포항 죽도동 Degine Hotel 2NE1,4.5,#죽도시장 도보5분 (눌러서 위치보기)-274.3km,"50,000원",m,포항/북구(영일대/죽도시장/여객터미널/송도)
